approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
TRUE,,1,Incredible Edible Bristol (Temple Meads),Incredible Edible,vegetables,urban-growing,51.449,-2.581,Incredible Edible Bristol (Temple Meads) in the Avon area.,"A location in the former Avon county (Bristol, Bath, N. Somerset, S. Glos) for community growing or wild foraging.",6;7;8;9,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"incredible edible, avon, foraging, community",0,0,0,,,Summer,,,Bristol,Bristol,Bristol,Avon,BS1 6QF
TRUE,,2,Dame Emily Park Community Orchard,Community Orchard,fruits,tree-fruits,51.441,-2.605,Dame Emily Park Community Orchard in the Avon area.,"A location in the former Avon county (Bristol, Bath, N. Somerset, S. Glos) for community growing or wild foraging.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, avon, foraging, community",0,0,0,,,Summer/Autumn,,,Bedminster,Bedminster,Bedminster,Avon,BS3 3BN
TRUE,,3,Incredible Edible Bristol (Millennium Square),Incredible Edible,herbs,urban-growing,51.45,-2.6,Incredible Edible Bristol (Millennium Square) in the Avon area.,"A location in the former Avon county (Bristol, Bath, N. Somerset, S. Glos) for community growing or wild foraging.",6;7;8;9,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"incredible edible, avon, foraging, community",0,0,0,,,Summer,,,Bristol,Bristol,Bristol,Avon,BS1 5DB
TRUE,,4,St Werburghs City Farm (Hedges),Community Garden,fruits,hedgerow,51.472,-2.578,St Werburghs City Farm (Hedges) in the Avon area.,"A location in the former Avon county (Bristol, Bath, N. Somerset, S. Glos) for community growing or wild foraging.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community garden, avon, foraging, community",0,0,0,,,Summer/Autumn,,,Bristol,Bristol,Bristol,Avon,BS2 9YJ
TRUE,,5,Narroways Nature Reserve Blackberries,Foraging,fruits,scrubland,51.475,-2.575,Narroways Nature Reserve Blackberries in the Avon area.,"A location in the former Avon county (Bristol, Bath, N. Somerset, S. Glos) for community growing or wild foraging.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, avon, foraging, community",0,0,0,,,Summer/Autumn,,,St Werburghs,St Werburghs,St Werburghs,Avon,BS2 9XT
TRUE,,6,Windmill Hill City Farm Orchard,Community Orchard,fruits,tree-fruits,51.443,-2.592,Windmill Hill City Farm Orchard in the Avon area.,"A location in the former Avon county (Bristol, Bath, N. Somerset, S. Glos) for community growing or wild foraging.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, avon, foraging, community",0,0,0,,,Summer/Autumn,,,Bristol,Bristol,Bristol,Avon,BS3 4EA
TRUE,,7,Incredible Edible Bristol (Gaol Ferry),Incredible Edible,vegetables,urban-growing,51.445,-2.598,Incredible Edible Bristol (Gaol Ferry) in the Avon area.,"A location in the former Avon county (Bristol, Bath, N. Somerset, S. Glos) for community growing or wild foraging.",6;7;8;9,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"incredible edible, avon, foraging, community",0,0,0,,,Summer,,,Southville,Southville,Southville,Avon,BS3 1JZ
TRUE,,8,Horfield Community Orchard,Community Orchard,fruits,tree-fruits,51.488,-2.585,Horfield Community Orchard in the Avon area.,"A location in the former Avon county (Bristol, Bath, N. Somerset, S. Glos) for community growing or wild foraging.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, avon, foraging, community",0,0,0,,,Summer/Autumn,,,Horfield,Horfield,Horfield,Avon,BS7 8PF
TRUE,,9,Incredible Edible Bristol (The Bearpit),Incredible Edible,herbs,urban-growing,51.459,-2.593,Incredible Edible Bristol (The Bearpit) in the Avon area.,"A location in the former Avon county (Bristol, Bath, N. Somerset, S. Glos) for community growing or wild foraging.",6;7;8;9,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"incredible edible, avon, foraging, community",0,0,0,,,Summer,,,Bristol,Bristol,Bristol,Avon,BS1 3LY
TRUE,,10,Metford Road Community Orchard,Community Orchard,fruits,tree-fruits,51.471,-2.612,Metford Road Community Orchard in the Avon area.,"A location in the former Avon county (Bristol, Bath, N. Somerset, S. Glos) for community growing or wild foraging.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, avon, foraging, community",0,0,0,,,Summer/Autumn,,,Redland,Redland,Redland,Avon,BS6 7LD
TRUE,,11,Brandon Hill Wild Garlic,Foraging,herbs,woodland,51.453,-2.606,Brandon Hill Wild Garlic in the Avon area.,"A location in the former Avon county (Bristol, Bath, N. Somerset, S. Glos) for community growing or wild foraging.",3;4;5,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, avon, foraging, community",0,0,0,,,Spring,,,Bristol,Bristol,Bristol,Avon,BS8 1BT
TRUE,,12,Incredible Edible Bristol (Station Road),Incredible Edible,vegetables,urban-growing,51.478,-2.585,Incredible Edible Bristol (Station Road) in the Avon area.,"A location in the former Avon county (Bristol, Bath, N. Somerset, S. Glos) for community growing or wild foraging.",6;7;8;9,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"incredible edible, avon, foraging, community",0,0,0,,,Summer,,,Montpelier,Montpelier,Montpelier,Avon,BS6 5EE
TRUE,,13,Hartcliffe Community Orchard,Community Orchard,fruits,tree-fruits,51.405,-2.595,Hartcliffe Community Orchard in the Avon area.,"A location in the former Avon county (Bristol, Bath, N. Somerset, S. Glos) for community growing or wild foraging.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, avon, foraging, community",0,0,0,,,Summer/Autumn,,,Hartcliffe,Hartcliffe,Hartcliffe,Avon,BS13 0BY
TRUE,,14,Old Market Edible Planters,Incredible Edible,herbs,urban-growing,51.456,-2.582,Old Market Edible Planters in the Avon area.,"A location in the former Avon county (Bristol, Bath, N. Somerset, S. Glos) for community growing or wild foraging.",6;7;8;9,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"incredible edible, avon, foraging, community",0,0,0,,,Summer,,,Bristol,Bristol,Bristol,Avon,BS2 0HB
TRUE,,15,Troopers Hill Blackberries,Foraging,fruits,heathland,51.455,-2.535,Troopers Hill Blackberries in the Avon area.,"A location in the former Avon county (Bristol, Bath, N. Somerset, S. Glos) for community growing or wild foraging.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, avon, foraging, community",0,0,0,,,Summer/Autumn,,,St George,St George,St George,Avon,BS5 8BL
TRUE,,16,Fishponds Community Orchard,Community Orchard,fruits,tree-fruits,51.482,-2.525,Fishponds Community Orchard in the Avon area.,"A location in the former Avon county (Bristol, Bath, N. Somerset, S. Glos) for community growing or wild foraging.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, avon, foraging, community",0,0,0,,,Summer/Autumn,,,Fishponds,Fishponds,Fishponds,Avon,BS16 3UA
TRUE,,17,Incredible Edible Bristol (Quakers Friars),Incredible Edible,vegetables,urban-growing,51.458,-2.586,Incredible Edible Bristol (Quakers Friars) in the Avon area.,"A location in the former Avon county (Bristol, Bath, N. Somerset, S. Glos) for community growing or wild foraging.",6;7;8;9,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"incredible edible, avon, foraging, community",0,0,0,,,Summer,,,Bristol,Bristol,Bristol,Avon,BS1 3BU
TRUE,,18,Royate Hill Viaduct Berries,Foraging,fruits,scrubland,51.468,-2.552,Royate Hill Viaduct Berries in the Avon area.,"A location in the former Avon county (Bristol, Bath, N. Somerset, S. Glos) for community growing or wild foraging.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, avon, foraging, community",0,0,0,,,Summer/Autumn,,,Easton,Easton,Easton,Avon,BS5 6RN
TRUE,,19,Stockwood Open Space Sloes,Foraging,fruits,scrubland,51.408,-2.535,Stockwood Open Space Sloes in the Avon area.,"A location in the former Avon county (Bristol, Bath, N. Somerset, S. Glos) for community growing or wild foraging.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, avon, foraging, community",0,0,0,,,Summer/Autumn,,,Stockwood,Stockwood,Stockwood,Avon,BS14 8SJ
TRUE,,20,Arnos Vale Cemetery Hazelnuts,Foraging,nuts,woodland,51.442,-2.565,Arnos Vale Cemetery Hazelnuts in the Avon area.,"A location in the former Avon county (Bristol, Bath, N. Somerset, S. Glos) for community growing or wild foraging.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, avon, foraging, community",0,0,0,,,Summer/Autumn,,,Bristol,Bristol,Bristol,Avon,BS4 3EW
TRUE,,21,Bath Community Orchard (Broadmoor),Community Orchard,fruits,tree-fruits,51.358,-2.385,Bath Community Orchard (Broadmoor) in the Avon area.,"A location in the former Avon county (Bristol, Bath, N. Somerset, S. Glos) for community growing or wild foraging.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, avon, foraging, community",0,0,0,,,Summer/Autumn,,,Bath,Bath,Bath,Avon,BA2 2PR
TRUE,,22,Incredible Edible Bath (Planters),Incredible Edible,vegetables,urban-growing,51.382,-2.362,Incredible Edible Bath (Planters) in the Avon area.,"A location in the former Avon county (Bristol, Bath, N. Somerset, S. Glos) for community growing or wild foraging.",6;7;8;9,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"incredible edible, avon, foraging, community",0,0,0,,,Summer,,,Bath,Bath,Bath,Avon,BA1 1EE
TRUE,,23,Keynsham Memorial Park Orchard,Community Orchard,fruits,tree-fruits,51.412,-2.495,Keynsham Memorial Park Orchard in the Avon area.,"A location in the former Avon county (Bristol, Bath, N. Somerset, S. Glos) for community growing or wild foraging.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, avon, foraging, community",0,0,0,,,Summer/Autumn,,,Keynsham,Keynsham,Keynsham,Avon,BS31 2BL
TRUE,,24,River Avon Path Wild Garlic,Foraging,herbs,riverbank,51.395,-2.425,River Avon Path Wild Garlic in the Avon area.,"A location in the former Avon county (Bristol, Bath, N. Somerset, S. Glos) for community growing or wild foraging.",3;4;5,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, avon, foraging, community",0,0,0,,,Spring,,,Saltford,Saltford,Saltford,Avon,BS31 3BA
TRUE,,25,Primrose Hill Community Orchard,Community Orchard,fruits,tree-fruits,51.398,-2.375,Primrose Hill Community Orchard in the Avon area.,"A location in the former Avon county (Bristol, Bath, N. Somerset, S. Glos) for community growing or wild foraging.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, avon, foraging, community",0,0,0,,,Summer/Autumn,,,Bath,Bath,Bath,Avon,BA1 2SN
TRUE,,26,Radstock Edible Garden,Incredible Edible,vegetables,urban-growing,51.292,-2.445,Radstock Edible Garden in the Avon area.,"A location in the former Avon county (Bristol, Bath, N. Somerset, S. Glos) for community growing or wild foraging.",6;7;8;9,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"incredible edible, avon, foraging, community",0,0,0,,,Summer,,,Radstock,Radstock,Radstock,Avon,BA3 3QG
TRUE,,27,Greyfield Wood Wild Garlic,Foraging,herbs,woodland,51.315,-2.515,Greyfield Wood Wild Garlic in the Avon area.,"A location in the former Avon county (Bristol, Bath, N. Somerset, S. Glos) for community growing or wild foraging.",3;4;5,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, avon, foraging, community",0,0,0,,,Spring,,,High Littleton,High Littleton,High Littleton,Avon,BS39 6YE
