approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,1,Wat Tyler Country Park Orchard,Community Orchard,fruits,tree-fruits,51.552,0.505,Heritage Essex fruit varieties.,"The park features a traditional orchard area with heritage apples and pears, managed for education and public picking.",8;9;10,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"apples, pears",55,0,0,,grapes.clerk.poet,Autumn,,http://googleusercontent.com/maps.google.com/bas1,Pitsea Hall Lane,Pitsea,Basildon,Essex,SS16
True,,2,Vange Creek Samphire,Coastal Foraging,vegetables,coastal-greens,51.545,0.495,Salt marsh greens near the creek.,Marsh samphire and sea aster can be found on the tidal mudflats of the Vange Creek and marshes.,6;7;8,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,"samphire, sea aster",32,0,0,,salt.marsh.paths,Summer,,http://googleusercontent.com/maps.google.com/bas2,Vange Marshes,Vange,Basildon,Essex,SS16
True,,3,Langdon Hills Sweet Chestnuts,Wild Foraging,nuts,woodland-nuts,51.542,0.415,Ancient woodland nut gathering.,Mature sweet chestnut trees are abundant in the wooded sections of Westley Heights and Marks Hill.,10;11,https://images.unsplash.com/photo-1543362906-acfc16c67564?w=512&q=80,chestnuts,48,0,0,,trees.nut.heights,Autumn,,http://googleusercontent.com/maps.google.com/bas3,High Road,Langdon Hills,Basildon,Essex,SS16
True,,4,Incredible Edible Basildon - Town Centre,Incredible Edible,vegetables,street-planters,51.572,0.458,Urban herbs and veg.,Community planters located in the town centre featuring culinary herbs and seasonal greens.,5;6;7;8,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"herbs, kale",21,0,0,,grow.share.town,Summer,,http://googleusercontent.com/maps.google.com/bas4,St Martin's Square,Basildon,Town Centre,Essex,SS14
True,,5,Northlands Park Blackberries,Wild Foraging,fruits,berries,51.585,0.495,Lakeside bramble picking.,Extensive blackberry bushes line the perimeters of the fishing lakes and woodland walks.,8;9,https://images.unsplash.com/photo-1464306208223-e0b4495a5553?w=512&q=80,blackberries,24,0,0,,berry.lake.view,Summer,,http://googleusercontent.com/maps.google.com/bas5,Felmores,Pitsea,Basildon,Essex,SS13
True,,6,Noak Bridge Wild Garlic,Wild Foraging,vegetables,wild-greens,51.595,0.442,Wooded stream-side garlic.,The damp wooded edges near the Wash and local nature reserve paths are hotspots for spring wild garlic.,3;4;5,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,garlic,31,0,0,,river.garlic.paths,Spring,,http://googleusercontent.com/maps.google.com/bas6,Wash Road,Noak Bridge,Basildon,Essex,SS15
True,,7,Gloucester Park Elder,Wild Foraging,fruits,berries,51.575,0.445,Urban park elderflower.,Abundant elder bushes for flowers and berries grow along the wilder park fringes near the sporting village.,6;9,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,elder,12,0,0,,park.elder.bloom,Summer/Autumn,,http://googleusercontent.com/maps.google.com/bas7,Broadmayne,Basildon,Town Centre,Essex,SS14
True,,8,Wickford Memorial Park Orchard,Community Orchard,fruits,tree-fruits,51.612,0.518,Memorial fruit garden.,"A community-planted orchard featuring a mix of apple, cherry, and plum trees.",7;8;9,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"apples, cherries, plums",19,0,0,,fruit.park.share,Summer/Autumn,,http://googleusercontent.com/maps.google.com/bas8,Rettendon View,Wickford,Basildon,Essex,SS11
True,,9,Bowers Gifford Sloes,Wild Foraging,fruits,hedgerow-fruit,51.565,0.535,Marsh-edge blackthorn.,Blackthorn bushes lining the quiet lanes and field boundaries are perfect for autumn sloe gathering.,10;11,https://images.unsplash.com/photo-1441974231531-c6227db76b6e?w=512&q=80,sloes,14,0,0,,lane.sloe.gin,Autumn,,http://googleusercontent.com/maps.google.com/bas9,Church Road,Bowers Gifford,Basildon,Essex,SS13
True,,10,Kingswood Incredible Edible Planters,Incredible Edible,vegetables,street-planters,51.562,0.448,Estate herb project.,Community planters featuring hardy herbs and salad leaves near the local shops.,5;6;7;8,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"herbs, salad",8,0,0,,grow.local.estate,Summer,,http://googleusercontent.com/maps.google.com/bas10,Clay Hill Road,Basildon,Kingswood,Essex,SS16
True,,11,Laindon Common Hazelnuts,Wild Foraging,nuts,woodland-nuts,51.568,0.405,Common nut gathering.,Hazel trees are found in the hedgerows and woodland copses across the common.,9;10,https://images.unsplash.com/photo-1507750545-0909477b819e?w=512&q=80,hazelnuts,15,0,0,,hazel.path.common,Autumn,,http://googleusercontent.com/maps.google.com/bas11,Noak Hill Road,Laindon,Basildon,Essex,SS15
True,,12,Pitsea Mount Wild Plums,Wild Foraging,fruits,tree-fruits,51.558,0.508,Hillside bullace and plums.,Occasional wild plum and cherry trees can be found along the scrubland paths leading up the mount.,8;9,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,plums,11,0,0,,plum.hill.view,Autumn,,http://googleusercontent.com/maps.google.com/bas12,Mountnessing Road,Pitsea,Basildon,Essex,SS13
True,,13,River Crouch Sea Beet (Fringe),Coastal Foraging,vegetables,coastal-greens,51.625,0.515,Wild spinach by the river.,Wild sea beet can be gathered from the sea walls along the Crouch near Wickford's northern fringe.,3;4;5;6;7;8,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,sea beet,9,0,0,,river.beet.salty,Spring/Summer,,http://googleusercontent.com/maps.google.com/bas13,Lower Crouch Road,Wickford,Basildon Fringe,Essex,SS11
True,,14,Nevendon Park Rosehips,Wild Foraging,fruits,hedgerow-fruit,51.588,0.472,Urban hedge hips.,The wilder perimeter hedges provide a good crop of rosehips and hawthorn haws.,9;10,https://images.unsplash.com/photo-1441974231531-c6227db76b6e?w=512&q=80,"rosehips, haws",5,0,0,,rose.park.path,Autumn,,http://googleusercontent.com/maps.google.com/bas14,Nevendon Road,Basildon,Nevendon,Essex,SS13
True,,15,Eversley Wild Greens,Wild Foraging,vegetables,wild-greens,51.582,0.515,Meadow sorrel and mint.,Find wild sorrel and watermint in the damp green spaces bordering the industrial estates.,5;6;7;8,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,"sorrel, mint",7,0,0,,green.mead.mint,Summer,,http://googleusercontent.com/maps.google.com/bas15,Eversley Road,Pitsea,Basildon,Essex,SS13
