approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,1,Luton Community Orchard,Community Orchard,fruits,tree-fruits,51.885,-0.401,Located at People's Park. Features traditional apple and pear varieties man...,Located at People's Park. Features traditional apple and pear varieties managed by local volunteers.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham051.885,-0.401",Luton,Luton,Luton,Bedfordshire,LU2 7HL
True,,2,Bedford Incredible Edible,Urban Foraging,vegetables,street-planters,52.136,-0.466,Public planters along the Embankment and town center with free-to-pick herb...,Public planters along the Embankment and town center with free-to-pick herbs and seasonal greens.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.136,-0.466",Bedford,Bedford,Bedford,Bedfordshire,MK40 1RA
True,,3,Dunstable Downs Edges,Nature Reserve,wild,mixed-forage,51.871,-0.548,"Chalk grassland edges providing wild thyme, marjoram, and blackberries in l...","Chalk grassland edges providing wild thyme, marjoram, and blackberries in late summer.",,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham051.871,-0.548",Dunstable,Dunstable,Dunstable,Bedfordshire,LU6 2GY
True,,4,Biggleswade Community Orchard,Community Orchard,fruits,tree-fruits,52.085,-0.265,Set in Eagle Farm Park. A young orchard with community access to various fr...,Set in Eagle Farm Park. A young orchard with community access to various fruit trees.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.085,-0.265",Biggleswade,Biggleswade,Biggleswade,Bedfordshire,SG18 0AL
True,,5,Leighton Buzzard Incredible Edible,Urban Foraging,vegetables,street-planters,51.916,-0.662,"Planters near the library and High Street growing herbs, tomatoes, and stra...","Planters near the library and High Street growing herbs, tomatoes, and strawberries.",,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham051.916,-0.662",Leighton Buzzard,Leighton Buzzard,Leighton Buzzard,Bedfordshire,LU7 1DD
True,,6,Maulden Wood Foraging,Woodland,wild,woodland,52.038,-0.435,"Large woodland area known for sweet chestnuts, elderberries, and seasonal f...","Large woodland area known for sweet chestnuts, elderberries, and seasonal fungi.",,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.038,-0.435",Maulden,Maulden,Maulden,Bedfordshire,MK45 2BB
True,,7,Kempston Community Orchard,Community Orchard,fruits,tree-fruits,52.115,-0.495,Located at Addison Howard Park. Traditional fruit trees open for public har...,Located at Addison Howard Park. Traditional fruit trees open for public harvesting.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.115,-0.495",Kempston,Kempston,Kempston,Bedfordshire,MK42 7AL
True,,8,Sandy Smith Nature Reserve Edges,Nature Reserve,wild,hedgerow,52.025,-0.415,Boundary hedges with high yields of blackberries and sloes.,Boundary hedges with high yields of blackberries and sloes.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.025,-0.415",Clophill,Clophill,Clophill,Bedfordshire,MK45 4BT
True,,9,Houghton Regis Incredible Edible,Urban Foraging,vegetables,street-planters,51.905,-0.525,Community planters at Bedford Square with herbs and edible flowers.,Community planters at Bedford Square with herbs and edible flowers.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham051.905,-0.525",Houghton Regis,Houghton Regis,Houghton Regis,Bedfordshire,LU5 5DT
True,,10,Woburn Sands Woodland Edges,Woodland,nuts,woodland,52.012,-0.648,Paths through the woods offering sweet chestnuts and beech nuts.,Paths through the woods offering sweet chestnuts and beech nuts.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.012,-0.648",Woburn Sands,Woburn Sands,Woburn Sands,Bedfordshire,MK17 8QD
