approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,1,Belfast City Hospital Planters,Incredible Edible,vegetables,street-planters,54.589,-5.942,Edible herb garden for the community.,"Publicly accessible planters featuring rosemary, mint, and seasonal greens near the hospital entrance.",4;5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,herbs,19,0,0,,,Spring/Summer,,http://googleusercontent.com/maps.google.com/belfast1,Lisburn Road,Belfast,South Belfast,Antrim,BT9
True,,2,Cave Hill Hazelnuts,Wild Foraging,nuts,woodland-nuts,54.645,-5.958,Woodland foraging with a view.,Hazel trees are scattered throughout the lower wooded slopes of Cave Hill Country Park.,9;10,https://images.unsplash.com/photo-1507750545-0909477b819e?w=512&q=80,hazelnuts,42,0,0,,,Autumn,,http://googleusercontent.com/maps.google.com/belfast2,Antrim Road,Belfast,North Belfast,Antrim,BT15
True,,3,Helen's Bay Seaweed,Coastal Foraging,vegetables,coastal-greens,54.675,-5.733,Coastal dulse and sea lettuce.,Excellent spot for gathering dulse and other edible seaweeds from the rocks at low tide.,5;6;7;8,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,"dulse, seaweed",28,0,0,,,Summer,,http://googleusercontent.com/maps.google.com/belfast3,Belfast Lough Path,Helen's Bay,Greater Belfast,Down,BT19
True,,4,Victoria Park Orchard,Community Orchard,fruits,tree-fruits,54.605,-5.888,Heritage fruit trees in East Belfast.,Established community orchard featuring local apple varieties available for public picking.,8;9;10,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,apples,23,0,0,,,Autumn,,http://googleusercontent.com/maps.google.com/belfast4,Park Avenue,Belfast,East Belfast,Down,BT4
True,,5,Lagan Towpath Wild Garlic,Wild Foraging,vegetables,wild-greens,54.565,-5.945,Dense banks of Ramsons.,The wooded banks along the River Lagan are covered in wild garlic during the spring months.,3;4;5,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,garlic,55,0,0,,,Spring,,http://googleusercontent.com/maps.google.com/belfast5,Stranmillis Embankment,Belfast,South Belfast,Antrim,BT9
True,,6,Comber Greenway Blackberries,Wild Foraging,fruits,berries,54.592,-5.865,Miles of urban brambles.,"A former railway line now acting as a green corridor, perfect for blackberry picking.",8;9,https://images.unsplash.com/photo-1464306208223-e0b4495a5553?w=512&q=80,blackberries,36,0,0,,,Summer,,http://googleusercontent.com/maps.google.com/belfast6,Beersbridge Road Access,Belfast,East Belfast,Down,BT5
True,,7,Incredible Edible Cloughfern,Incredible Edible,vegetables,street-planters,54.662,-5.918,Community vegetable beds.,"Raised beds along the road featuring kale, chard, and herbs for the local community.",5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"kale, herbs",15,0,0,,,Summer,,http://googleusercontent.com/maps.google.com/belfast7,Doagh Road,Newtownabbey,North Belfast Fringe,Antrim,BT37
True,,8,Minnowburn Sweet Chestnuts,Wild Foraging,nuts,woodland-nuts,54.545,-5.941,National Trust woodland nuts.,Historic woodland site with mature sweet chestnut trees near the Terrace Hill area.,10;11,https://images.unsplash.com/photo-1543362906-acfc16c67564?w=512&q=80,chestnuts,21,0,0,,,Autumn,,http://googleusercontent.com/maps.google.com/belfast8,Minnowburn Beeches,Belfast,South Belfast,Down,BT8
True,,9,Ormeau Park Fruit Trees,Community Orchard,fruits,tree-fruits,54.582,-5.912,Public plums and apples.,Scattered fruit trees found in the wilder sections of Belfast's oldest municipal park.,8;9,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"plums, apples",31,0,0,,,Autumn,,http://googleusercontent.com/maps.google.com/belfast9,Ormeau Road,Belfast,South Belfast,Down,BT7
True,,10,Holywood Shore Samphire,Coastal Foraging,vegetables,coastal-greens,54.644,-5.845,Marsh samphire on the mudflats.,Found on the muddy shores of Belfast Lough. Best gathered in early summer.,6;7;8,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,samphire,12,0,0,,,Summer,,http://googleusercontent.com/maps.google.com/belfast10,Holywood Promenade,Holywood,Greater Belfast,Down,BT18
True,,11,Belvoir Forest Sloes,Wild Foraging,fruits,hedgerow-fruit,54.561,-5.928,Abundant blackthorn bushes.,The hedgerows around the forest perimeter provide heavy crops of sloes.,10;11,https://images.unsplash.com/photo-1441974231531-c6227db76b6e?w=512&q=80,sloes,14,0,0,,,Autumn,,http://googleusercontent.com/maps.google.com/belfast11,Belvoir Drive,Belfast,South Belfast,Down,BT8
True,,12,Divis Mountain Bilberries,Wild Foraging,fruits,berries,54.608,-6.012,Wild blaeberries on the heath.,Low-growing wild berries found across the heathland of Divis and Black Mountain.,7;8,https://images.unsplash.com/photo-1464306208223-e0b4495a5553?w=512&q=80,bilberries,27,0,0,,,Summer,,http://googleusercontent.com/maps.google.com/belfast12,Divis Road,Belfast,West Belfast,Antrim,BT17
True,,13,Incredible Edible Rathcoole,Incredible Edible,vegetables,street-planters,54.658,-5.925,Urban herb and salad planters.,"Public planters containing seasonal vegetables, maintained for public use.",5;6;7;8,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"herbs, salad",11,0,0,,,Summer,,http://googleusercontent.com/maps.google.com/belfast13,Derrycoole Way,Newtownabbey,North Belfast Fringe,Antrim,BT37
