approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,1,Reading Community Orchard,Community Orchard,fruits,tree-fruits,51.455,-0.982,"Located at Waterloo Meadows. Features a variety of apple, pear, and plum tr...","Located at Waterloo Meadows. Features a variety of apple, pear, and plum trees managed for the public.",,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham051.455,-0.982",Reading,Reading,Reading,Berkshire,RG1 7TR
True,,2,Maidenhead Incredible Edible,Urban Foraging,vegetables,street-planters,51.522,-0.722,Community planters near the library and town center with free-to-pick herbs...,Community planters near the library and town center with free-to-pick herbs and seasonal vegetables.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham051.522,-0.722",Maidenhead,Maidenhead,Maidenhead,Berkshire,SL6 1QU
True,,3,Windsor Great Park Edges,Woodland,nuts,woodland,51.462,-0.608,Extensive areas for gathering sweet chestnuts and beech nuts along public b...,Extensive areas for gathering sweet chestnuts and beech nuts along public boundary paths.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham051.462,-0.608",Windsor,Windsor,Windsor,Berkshire,SL4 2HT
True,,4,Slough Incredible Edible,Urban Foraging,vegetables,street-planters,51.511,-0.595,Urban growing project at Salt Hill Park and town center with edible perenni...,Urban growing project at Salt Hill Park and town center with edible perennials and herbs.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham051.511,-0.595",Slough,Slough,Slough,Berkshire,SL1 1XW
True,,5,Newbury Community Orchard,Community Orchard,fruits,tree-fruits,51.405,-1.322,Located at Goldwell Park. Historic and local apple varieties open for commu...,Located at Goldwell Park. Historic and local apple varieties open for community picking.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham051.405,-1.322",Newbury,Newbury,Newbury,Berkshire,RG14 1DJ
True,,6,Bracknell Incredible Edible,Urban Foraging,vegetables,street-planters,51.416,-0.748,Public planters in the town center featuring herbs and pollinator-friendly ...,Public planters in the town center featuring herbs and pollinator-friendly edibles.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham051.416,-0.748",Bracknell,Bracknell,Bracknell,Berkshire,RG12 1JX
True,,7,Snelsmore Common,Nature Reserve,wild,hedgerow,51.435,-1.332,Heathland and woodland edges with abundant blackberries and bilberries (sea...,Heathland and woodland edges with abundant blackberries and bilberries (seasonal).,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham051.435,-1.332",Newbury,Newbury,Newbury,Berkshire,RG14 3BU
True,,8,Wokingham Community Orchard,Community Orchard,fruits,tree-fruits,51.412,-0.835,Located at Elms Field. A central spot for residents to enjoy and harvest fr...,Located at Elms Field. A central spot for residents to enjoy and harvest fresh fruit.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham051.412,-0.835",Wokingham,Wokingham,Wokingham,Berkshire,RG40 2RE
True,,9,Thatcham Nature Discovery Centre Edges,Nature Reserve,wild,hedgerow,51.395,-1.265,"Lakeside paths with heavy crops of elderberries, blackberries, and sloes.","Lakeside paths with heavy crops of elderberries, blackberries, and sloes.",,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham051.395,-1.265",Thatcham,Thatcham,Thatcham,Berkshire,RG19 3FU
True,,10,Hungerford Common,Nature Reserve,wild,mixed-forage,51.412,-1.505,"Grazed common land with wild apples, hawthorn berries, and blackberries.","Grazed common land with wild apples, hawthorn berries, and blackberries.",,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham051.412,-1.505",Hungerford,Hungerford,Hungerford,Berkshire,RG17 0JJ
True,,11,Eton Wick Community Orchard,Community Orchard,fruits,tree-fruits,51.492,-0.638,Village orchard project managed for community use and biodiversity.,Village orchard project managed for community use and biodiversity.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham051.492,-0.638",Eton Wick,Eton Wick,Eton Wick,Berkshire,SL4 6NE
True,,12,Swinley Forest Foraging,Woodland,wild,woodland,51.375,-0.735,Extensive pine forest with pockets of deciduous trees offering chestnuts an...,Extensive pine forest with pockets of deciduous trees offering chestnuts and berries.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham051.375,-0.735",Bracknell,Bracknell,Bracknell,Berkshire,RG12 7QW
True,,13,Crowthorne Community Orchard,Community Orchard,fruits,tree-fruits,51.365,-0.795,Small orchard space near the Morgan Recreation Ground for local picking.,Small orchard space near the Morgan Recreation Ground for local picking.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham051.365,-0.795",Crowthorne,Crowthorne,Crowthorne,Berkshire,RG45 7LR
