approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,1,Lyndale Community Orchard,Community Orchard,fruits,tree-fruits,53.308,-2.965,Great place for apples in Woodchurch Estate.,"Located within the boundaries of Woodchurch Estate, this spot is known for its seasonal apples. A popular local patch for foragers in Birkenhead. Please pick only what you need and leave enough for wildlife.",9;10,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"apples, fruits, foraging",43,0,0,,tree.leaf.green,Autumn,GVMQ+52 Birkenhead,"https://www.google.com/maps/search/?api=1&query=53.308,-2.965","Woodchurch Estate, Birkenhead",Birkenhead,Woodchurch Estate,Wirral / Merseyside,CH49 7NY
True,,2,Bentinck Street Wellbeing Garden,Community Orchard,fruits,tree-fruits,53.391,-3.023,Great place for pears in Claughton Hill.,"Located within the boundaries of Claughton Hill, this spot is known for its seasonal pears. A popular local patch for foragers in Birkenhead. Please pick only what you need and leave enough for wildlife.",7;8;9,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,"pears, fruits, foraging",29,0,0,,tree.leaf.green,Summer/Autumn,GVMQ+25 Birkenhead,"https://www.google.com/maps/search/?api=1&query=53.391,-3.023","Claughton Hill, Birkenhead",Birkenhead,Claughton Hill,Wirral / Merseyside,CH43 7RQ
True,,3,Edward Kemp Garden,Wild Foraging,vegetables,herbs,53.398,-3.041,Great place for herbs in Victoria Park.,"Located within the boundaries of Victoria Park, this spot is known for its seasonal herbs. A popular local patch for foragers in Birkenhead. Please pick only what you need and leave enough for wildlife.",4;5;6;7;8,https://images.unsplash.com/photo-1464226184884-fa280b87c399?w=512&q=80,"herbs, vegetables, foraging",36,0,0,,tree.leaf.green,Summer,GVMQ+63 Birkenhead,"https://www.google.com/maps/search/?api=1&query=53.398,-3.041","Victoria Park, Birkenhead",Birkenhead,Victoria Park,Wirral / Merseyside,CH42 1NR
True,,4,Wallasey Fringe Elderberries Spot,Wild Foraging,fruits,hedgerow-fruit,53.42065,-3.04709,Great place for elderberries in Wallasey Fringe.,"Located within the boundaries of Wallasey Fringe, this spot is known for its seasonal elderberries. A popular local patch for foragers in Birkenhead. Please pick only what you need and leave enough for wildlife.",8;9;10,https://images.unsplash.com/photo-1441974231531-c6227db7816c?w=512&q=80,"elderberries, fruits, foraging",46,0,0,,tree.leaf.green,Late Summer/Autumn,GVMQ+20 Birkenhead,"https://www.google.com/maps/search/?api=1&query=53.42064963892589,-3.047085247581932","Wallasey Fringe, Birkenhead",Birkenhead,Wallasey Fringe,Wirral / Merseyside,CH45 4NW
True,,5,Arrowe Park Hazelnuts Spot,Wild Foraging,nuts,wild-nuts,53.3777,-3.08779,Great place for hazelnuts in Arrowe Park.,"Located within the boundaries of Arrowe Park, this spot is known for its seasonal hazelnuts. A popular local patch for foragers in Birkenhead. Please pick only what you need and leave enough for wildlife.",9;10,https://images.unsplash.com/photo-1464226184884-fa280b87c399?w=512&q=80,"hazelnuts, nuts, foraging",45,0,0,,tree.leaf.path,Autumn,GVMQ+67 Birkenhead,"https://www.google.com/maps/search/?api=1&query=53.37770048313499,-3.0877928231384937","Arrowe Park, Birkenhead",Birkenhead,Arrowe Park,Wirral / Merseyside,CH49 5LW
True,,6,Rock Ferry Waterfront Wild Garlic Spot,Wild Foraging,vegetables,wild-garlic,53.36517,-3.00354,Great place for wild garlic in Rock Ferry Waterfront.,"Located within the boundaries of Rock Ferry Waterfront, this spot is known for its seasonal wild garlic. A popular local patch for foragers in Birkenhead. Please pick only what you need and leave enough for wildlife.",3;4;5,https://images.unsplash.com/photo-1441974231531-c6227db7816c?w=512&q=80,"wild garlic, vegetables, foraging",32,0,0,,tree.leaf.path,Spring,GVMQ+58 Birkenhead,"https://www.google.com/maps/search/?api=1&query=53.36516758005505,-3.0035370174122717","Rock Ferry Waterfront, Birkenhead",Birkenhead,Rock Ferry Waterfront,Wirral / Merseyside,CH42 1PF
True,,7,Wallasey Fringe Nettles Spot,Wild Foraging,vegetables,herbs,53.41728,-3.04837,Great place for nettles in Wallasey Fringe.,"Located within the boundaries of Wallasey Fringe, this spot is known for its seasonal nettles. A popular local patch for foragers in Birkenhead. Please pick only what you need and leave enough for wildlife.",4;5;6;7,https://images.unsplash.com/photo-1550989460-0adf9ea622e2?w=512&q=80,"nettles, vegetables, foraging",7,0,0,,tree.leaf.root,Spring/Summer,GVMQ+96 Birkenhead,"https://www.google.com/maps/search/?api=1&query=53.417283629367226,-3.048370029161283","Wallasey Fringe, Birkenhead",Birkenhead,Wallasey Fringe,Wirral / Merseyside,CH45 4NW
True,,8,Birkenhead Park Nettles Spot,Wild Foraging,vegetables,herbs,53.3932,-3.038,Great place for nettles in Birkenhead Park.,"Located within the boundaries of Birkenhead Park, this spot is known for its seasonal nettles. A popular local patch for foragers in Birkenhead. Please pick only what you need and leave enough for wildlife.",4;5;6;7,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"nettles, vegetables, foraging",17,0,0,,tree.leaf.park,Spring/Summer,GVMQ+75 Birkenhead,"https://www.google.com/maps/search/?api=1&query=53.39319628926509,-3.0379979420414593","Birkenhead Park, Birkenhead",Birkenhead,Birkenhead Park,Wirral / Merseyside,CH41 4HY
True,,9,Woodchurch Estate Sweet Chestnuts Spot,Wild Foraging,nuts,wild-nuts,53.37864,-3.08225,Great place for sweet chestnuts in Woodchurch Estate.,"Located within the boundaries of Woodchurch Estate, this spot is known for its seasonal sweet chestnuts. A popular local patch for foragers in Birkenhead. Please pick only what you need and leave enough for wildlife.",9;10,https://images.unsplash.com/photo-1464226184884-fa280b87c399?w=512&q=80,"sweet chestnuts, nuts, foraging",29,0,0,,tree.leaf.park,Autumn,GVMQ+16 Birkenhead,"https://www.google.com/maps/search/?api=1&query=53.37863698299964,-3.0822453389948574","Woodchurch Estate, Birkenhead",Birkenhead,Woodchurch Estate,Wirral / Merseyside,CH49 7NY
True,,10,Oxton Arno Elderflower Spot,Wild Foraging,vegetables,herbs,53.38817,-3.05052,Great place for elderflower in Oxton Arno.,"Located within the boundaries of Oxton Arno, this spot is known for its seasonal elderflower. A popular local patch for foragers in Birkenhead. Please pick only what you need and leave enough for wildlife.",4;5;6;7,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"elderflower, vegetables, foraging",31,0,0,,tree.leaf.soil,Spring/Summer,GVMQ+97 Birkenhead,"https://www.google.com/maps/search/?api=1&query=53.38816974335154,-3.0505179945401273","Oxton Arno, Birkenhead",Birkenhead,Oxton Arno,Wirral / Merseyside,CH43 2LB
