approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,1,Jewellery Quarter Planters,Incredible Edible,vegetables,street-planters,52.484,-1.906,Community herbs in urban street planters.,"Incredible Edible JQ project provides free rosemary, thyme, and mint in raised beds.",4;5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,herbs,12,0,0,,,Spring/Summer,,"https://maps.google.com/?q=52.484,-1.906","Vyse Street, JQ",Birmingham,Central,West Midlands,B18
True,,2,Cannon Hill Park Orchard,Community Orchard,fruits,tree-fruits,52.453,-1.902,Heritage apple and pear trees.,Publicly accessible fruit trees located near the MAC center. Please pick only what you need.,8;9;10,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,apples,25,0,0,,,Autumn,,"https://maps.google.com/?q=52.453,-1.902",Edgbaston Road,Birmingham,South,West Midlands,B12
True,,3,Sutton Park Hazels,Wild Foraging,nuts,woodland-nuts,52.564,-1.842,Woodland hazelnut gathering area.,Extensive hazel groves found near the Holly Hurst area of the park.,9;10,https://images.unsplash.com/photo-1507750545-0909477b819e?w=512&q=80,hazelnuts,18,0,0,,,Autumn,,"https://maps.google.com/?q=52.564,-1.842",Sutton Park,Sutton Coldfield,North,West Midlands,B74
True,,4,Digbeth Canal Sea Beet,Riparian Foraging,vegetables,wild-greens,52.476,-1.884,Wild greens growing along the canal towpath.,Hardy greens found along the Grand Union Canal towpath near Fazeley St.,5;6;7,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,greens,7,0,0,,,Summer,,"https://maps.google.com/?q=52.476,-1.884",Fazeley Street,Birmingham,East,West Midlands,B5
True,,5,Lickey Hills Bilberries,Wild Foraging,fruits,berries,52.388,-2.008,Wild bilberries (whinberries) on the slopes.,Low-growing berries found across the heathland areas of the Lickey Hills.,7;8,https://images.unsplash.com/photo-1464306208223-e0b4495a5553?w=512&q=80,berries,40,0,0,,,Summer,,"https://maps.google.com/?q=52.388,-2.008",Warren Lane,Rednal,South West,West Midlands,B45
True,,6,Moseley Bog Wild Garlic,Wild Foraging,vegetables,wild-greens,52.441,-1.861,Ancient woodland garlic patches.,Massive carpets of wild garlic available in the spring. Follow the boardwalks.,3;4;5,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,garlic,32,0,0,,,Spring,,"https://maps.google.com/?q=52.441,-1.861",Yardley Wood Rd,Moseley,South,West Midlands,B13
True,,7,Stirchley Fruit Trail,Community Orchard,fruits,berries,52.428,-1.921,Urban fruit path with berries and plums.,Part of the Stirchley 'Incredible Edible' route along the Rea Valley Path.,7;8;9,https://images.unsplash.com/photo-1441974231531-c6227db76b6e?w=512&q=80,plums,15,0,0,,,Summer,,"https://maps.google.com/?q=52.428,-1.921",Rea Valley Path,Stirchley,South,West Midlands,B30
True,,8,Bournville Walnut Trees,Wild Foraging,nuts,woodland-nuts,52.431,-1.936,Public walnut trees in parkland.,Scattered walnut trees found in the parkland around the Cadbury factory.,9;10,https://images.unsplash.com/photo-1543362906-acfc16c67564?w=512&q=80,walnuts,9,0,0,,,Autumn,,"https://maps.google.com/?q=52.431,-1.936",Linden Road,Bournville,South,West Midlands,B30
True,,9,Handsworth Park Elder,Wild Foraging,fruits,berries,52.508,-1.926,Elderflowers and berries.,Large elder shrubs line the perimeter of the lake and cricket pitch.,6;9,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,elder,5,0,0,,,Summer,,"https://maps.google.com/?q=52.508,-1.926",Holly Road,Handsworth,North West,West Midlands,B20
True,,10,Cotteridge Park Orchard,Community Orchard,fruits,tree-fruits,52.417,-1.929,Community-run traditional orchard.,Managed by Friends of Cotteridge Park. Open for local harvesting.,8;9,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,apples,11,0,0,,,Autumn,,"https://maps.google.com/?q=52.417,-1.929",Franklin Rd,Cotteridge,South,West Midlands,B30
