approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
TRUE,,1,Corporation Park Community Orchard,Community Orchard,fruits,tree-fruits,53.753,-2.492,Heritage apple trees in Corporation Park.,"A collection of apple and pear trees in the walled garden area of Corporation Park. Fruit is free to pick for visitors throughout the autumn season.",8;9;10,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"apples, pears",0,0,0,,,,Autumn,,https://www.bwfoodalliance.org.uk/join-local-growing-groups/,Dukes Brow,Blackburn,Revidge,Lancashire,BB2 6EA
TRUE,,2,Witton Country Park Blackberries,Wild Foraging,fruits,scrubland,53.762,-2.528,Brambles along the woodland edges at Witton Country Park.,"Extensive blackberry brambles line the footpaths and woodland margins throughout Witton Country Park. Plentiful picking from late August into October.",8;9;10,https://images.unsplash.com/photo-1464306208223-e0b4495a5553?w=512&q=80,blackberries,0,0,0,,,,Summer/Autumn,,https://www.blackburn.gov.uk/parks-and-open-spaces,Witton Park,Blackburn,Witton,Lancashire,BB2 2TP
TRUE,,3,Incredible Edible Blackburn (Town Centre),Incredible Edible,vegetables,street-planters,53.748,-2.482,Edible planters in Blackburn town centre.,"Community-maintained raised planters near the market and Cathedral Quarter growing herbs, kale and edible flowers for free picking.",5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"herbs, kale, edible flowers",0,0,0,,,,Summer,,https://www.incredibleedible.org.uk/network/incredible-edible-blackburn,Church Street,Blackburn,Town Centre,Lancashire,BB1 5AL
TRUE,,4,Witton Country Park Sloes,Wild Foraging,fruits,hedgerow,53.760,-2.522,Blackthorn hedgerows throughout Witton Country Park.,"Dense blackthorn bushes in the park's open areas produce heavy crops of sloes each autumn. Best picked after the first frost in October.",10;11,https://images.unsplash.com/photo-1441974231531-c6227db76b6e?w=512&q=80,sloes,0,0,0,,,,Autumn,,https://www.blackburn.gov.uk/parks-and-open-spaces,Preston Old Road,Blackburn,Witton,Lancashire,BB2 2TP
TRUE,,5,Ewood Allotments Surplus Stall,Allotment Surplus,vegetables,allotment,53.734,-2.492,Honesty-box surplus veg from Ewood allotments.,"Plot holders put out surplus vegetables including beans, courgettes and tomatoes on a free-sharing table at the allotment entrance during the growing season.",6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"vegetables, tomatoes",0,0,0,,,,Summer/Autumn,,https://www.blackburn.gov.uk/allotments,Bolton Road,Blackburn,Ewood,Lancashire,BB2 4JD
TRUE,,6,Billinge Wood Wild Garlic,Wild Foraging,vegetables,woodland,53.768,-2.505,Wild garlic in the ancient woodland of Billinge Wood.,"Carpets of wild garlic cover the floor of Billinge Wood each spring. The woodland is best visited in April when the white flowers are in bloom.",3;4;5,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,wild garlic,0,0,0,,,,Spring,,https://www.blackburn.gov.uk/parks-and-open-spaces,Billinge Wood,Blackburn,Pleasington,Lancashire,BB2 6QR
TRUE,,7,Pleasington Playing Fields Elderberries,Wild Foraging,fruits,scrubland,53.743,-2.535,Elder trees along the hedgerows at Pleasington.,"Elder trees grow along the hedgerows and field margins surrounding Pleasington Playing Fields. Elderflower in June and berries from late August.",6;8;9,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,"elderflower, elderberries",0,0,0,,,,Summer/Autumn,,https://www.blackburn.gov.uk/parks-and-open-spaces,Pleasington Lane,Blackburn,Pleasington,Lancashire,BB2 5JQ
TRUE,,8,Blackburn Community Growing Hub (Bastwell),Community Garden,vegetables,urban-growing,53.755,-2.468,Community veg beds with free surplus produce in Bastwell.,"A neighbourhood growing project with raised beds producing seasonal vegetables. Surplus is placed on a sharing table at the site entrance throughout summer.",6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"vegetables, herbs",0,0,0,,,,Summer/Autumn,,https://www.bwfoodalliance.org.uk/join-local-growing-groups/,Whalley Range,Blackburn,Bastwell,Lancashire,BB1 5ER
TRUE,,9,Darwen Moor Bilberries,Wild Foraging,fruits,heathland,53.698,-2.502,Bilberries on the open moorland above Darwen.,"Wild bilberries ripen across the heather moorland of Darwen Moor in mid to late summer. Best picked in July and August on the paths around Darwen Tower.",7;8,https://images.unsplash.com/photo-1464306208223-e0b4495a5553?w=512&q=80,bilberries,0,0,0,,,,Summer,,https://www.blackburn.gov.uk/parks-and-open-spaces,Darwen Moor,Darwen,Darwen,Lancashire,BB3 0LQ
TRUE,,10,Audley Range Incredible Edible Planters,Incredible Edible,herbs,street-planters,53.757,-2.472,Edible herb planters on Audley Range.,"Volunteer-maintained street planters growing rosemary, mint, chives and parsley. Residents and passers-by are encouraged to take what they need.",5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"rosemary, mint, chives, parsley",0,0,0,,,,Summer,,https://www.incredibleedible.org.uk/network/incredible-edible-blackburn,Audley Range,Blackburn,Audley,Lancashire,BB1 1TF
