approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,1,Stanley Park Community Orchard,Community Orchard,fruits,tree-fruits,53.818,-3.025,Managed orchard area within Stanley Park featuring apple and pear trees ava...,Managed orchard area within Stanley Park featuring apple and pear trees available for public harvesting.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=53.818,-3.025",Blackpool,Blackpool,Blackpool,Lancashire,FY3 9HU
True,,2,Incredible Edible Blackpool (Central),Urban Foraging,vegetables,street-planters,53.815,-3.052,Active community planters in the town centre featuring free herbs and seaso...,Active community planters in the town centre featuring free herbs and seasonal vegetables for local pickers.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=53.815,-3.052",Blackpool,Blackpool,Blackpool,Lancashire,FY1 1AB
True,,3,Coastal Foraging (Bispham Foreshore),Coastal Foraging,wild,coastal,53.852,-3.055,Rocky shoreline area offering sea beet and maritime wild radish along the u...,Rocky shoreline area offering sea beet and maritime wild radish along the upper beach sections.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=53.852,-3.055",Bispham,Bispham,Bispham,Lancashire,FY2 9AE
True,,4,Marton Mere Nature Reserve Foraging,Nature Reserve,wild,mixed-forage,53.805,-2.995,"Lakeside paths offering elderberries, blackberries, and hawthorn berries in...","Lakeside paths offering elderberries, blackberries, and hawthorn berries in autumn.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=53.805,-2.995",Blackpool,Blackpool,Blackpool,Lancashire,FY4 4XN
True,,5,Watson Road Park Edible Garden,Urban Foraging,vegetables,street-planters,53.785,-3.035,"Community-led edible garden space with herbs, fruit bushes, and seasonal gr...","Community-led edible garden space with herbs, fruit bushes, and seasonal greens.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=53.785,-3.035",Blackpool,Blackpool,Blackpool,Lancashire,FY4 2EE
True,,6,Incredible Edible Blackpool (Layton),Urban Foraging,vegetables,street-planters,53.828,-3.035,Raised beds near local shops providing free culinary herbs and edible peren...,Raised beds near local shops providing free culinary herbs and edible perennials.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=53.828,-3.035",Layton,Layton,Layton,Lancashire,FY3 7BW
True,,7,Salisbury Woodland Foraging,Woodland,wild,woodland,53.815,-3.018,Quiet woodland area offering hazelnuts and late summer blackberries.,Quiet woodland area offering hazelnuts and late summer blackberries.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=53.815,-3.018",Blackpool,Blackpool,Blackpool,Lancashire,FY3 9PZ
True,,8,Devonshire Road Rock Gardens Edges,Public Park,wild,mixed-forage,53.832,-3.045,Park peripheral paths with fruit-bearing bushes and wild garlic patches (sp...,Park peripheral paths with fruit-bearing bushes and wild garlic patches (spring).,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=53.832,-3.045",Blackpool,Blackpool,Blackpool,Lancashire,FY1 2QE
True,,9,Incredible Edible Blackpool (Revoe),Urban Foraging,vegetables,street-planters,53.808,-3.048,Community growing spots in the Revoe area with free edible plants and herbs...,Community growing spots in the Revoe area with free edible plants and herbs.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=53.808,-3.048",Blackpool,Blackpool,Blackpool,Lancashire,FY1 5AQ
True,,10,Highfield Park Fruit Hedges,Public Park,wild,hedgerow,53.782,-3.025,Linear paths with wild fruit bushes and elder trees integrated into the par...,Linear paths with wild fruit bushes and elder trees integrated into the park edges.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=53.782,-3.025",Blackpool,Blackpool,Blackpool,Lancashire,FY4 3JZ
True,,11,Incredible Edible Blackpool (St Annes Border),Urban Foraging,vegetables,street-planters,53.765,-3.028,Public planters on the southern edge of Blackpool providing free herbs and ...,Public planters on the southern edge of Blackpool providing free herbs and veg.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=53.765,-3.028",Blackpool,Blackpool,Blackpool,Lancashire,FY8 2RN
True,,12,Kincraig Lake Nature Reserve Foraging,Nature Reserve,wild,mixed-forage,53.862,-3.032,"Nature reserve offering blackberries, sloes, and rosehips along the circula...","Nature reserve offering blackberries, sloes, and rosehips along the circular paths.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=53.862,-3.032",Blackpool,Blackpool,Blackpool,Lancashire,FY2 0PJ
True,,13,Incredible Edible Blackpool (Grange Park),Urban Foraging,vegetables,street-planters,53.835,-3.028,Raised beds and planters in the Grange Park community featuring free season...,Raised beds and planters in the Grange Park community featuring free seasonal produce.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=53.835,-3.028",Blackpool,Blackpool,Blackpool,Lancashire,FY3 7RW
True,,14,Boundary Park Wild Edges,Public Park,wild,mixed-forage,53.822,-3.005,Boundary scrub area offering elderberries and abundant blackberry picking.,Boundary scrub area offering elderberries and abundant blackberry picking.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=53.822,-3.005",Blackpool,Blackpool,Blackpool,Lancashire,FY3 7HL
