approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,1,Slades Farm Community Garden & Orchard,Community Orchard,fruits,tree-fruits,50.755,-1.895,Community garden featuring a variety of fruit trees and bushes managed by l...,Community garden featuring a variety of fruit trees and bushes managed by local volunteers for public harvesting.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.755,-1.895",Bournemouth,Bournemouth,Bournemouth,Dorset,BH10 4EP
True,,2,Incredible Edible Bournemouth (Charminster),Urban Foraging,vegetables,street-planters,50.742,-1.875,"Active community planters along Charminster Road featuring free herbs, char...","Active community planters along Charminster Road featuring free herbs, chard, and seasonal greens.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.742,-1.875",Bournemouth,Bournemouth,Bournemouth,Dorset,BH8 8RP
True,,3,Hengistbury Head Coastal Foraging,Coastal Foraging,wild,coastal,50.715,-1.758,"Nature reserve and coastline offering sea beet, sea kale, and various edibl...","Nature reserve and coastline offering sea beet, sea kale, and various edible seaweeds like dulse.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.715,-1.758",Bournemouth,Bournemouth,Bournemouth,Dorset,BH6 4EW
True,,4,Lower Gardens Edible Edges,Public Park,wild,mixed-forage,50.718,-1.878,Historic parkland with boundary paths offering fruit bushes and wild herbs ...,Historic parkland with boundary paths offering fruit bushes and wild herbs integrated into the landscaping.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.718,-1.878",Bournemouth,Bournemouth,Bournemouth,Dorset,BH1 2AQ
True,,5,Redhill Park Foraging Edges,Public Park,wild,mixed-forage,50.758,-1.882,"Park with shaded boundary paths offering wild garlic (spring), elderberries...","Park with shaded boundary paths offering wild garlic (spring), elderberries, and blackberries.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.758,-1.882",Bournemouth,Bournemouth,Bournemouth,Dorset,BH9 2SW
True,,6,Stour Valley Nature Reserve Foraging,Nature Reserve,wild,river-forage,50.772,-1.895,"Linear park along the River Stour offering wild garlic, elder, and blackber...","Linear park along the River Stour offering wild garlic, elder, and blackberries in abundance.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.772,-1.895",Bournemouth,Bournemouth,Bournemouth,Dorset,BH9 3PP
True,,7,Incredible Edible Bournemouth (Winton),Urban Foraging,vegetables,street-planters,50.748,-1.885,Community growing spots in Winton providing free vegetables and herbs for l...,Community growing spots in Winton providing free vegetables and herbs for local residents.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.748,-1.885",Bournemouth,Bournemouth,Bournemouth,Dorset,BH9 2BT
True,,8,Queens Park Woodland,Public Park,wild,woodland,50.738,-1.848,"Woodland area offering hazelnuts, sweet chestnuts, and late summer berries.","Woodland area offering hazelnuts, sweet chestnuts, and late summer berries.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.738,-1.848",Bournemouth,Bournemouth,Bournemouth,Dorset,BH8 9BY
True,,9,Incredible Edible Bournemouth (Boscombe),Urban Foraging,vegetables,street-planters,50.725,-1.835,Raised beds and planters near Boscombe market featuring culinary herbs and ...,Raised beds and planters near Boscombe market featuring culinary herbs and seasonal greens.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.725,-1.835",Boscombe,Boscombe,Boscombe,Dorset,BH1 4BT
True,,10,Muscliffe Park Community Orchard,Community Orchard,fruits,tree-fruits,50.775,-1.875,Publicly accessible orchard within the park featuring traditional apple and...,Publicly accessible orchard within the park featuring traditional apple and pear varieties.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.775,-1.875",Bournemouth,Bournemouth,Bournemouth,Dorset,BH9 3NY
True,,11,Turbary Common Foraging,Nature Reserve,wild,mixed-forage,50.765,-1.932,"Heathland and scrub trails with sloes, blackberries, and autumn berries.","Heathland and scrub trails with sloes, blackberries, and autumn berries.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.765,-1.932",Bournemouth,Bournemouth,Bournemouth,Dorset,BH11 8LH
