approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
TRUE,,1,Brighton Community Orchard (Racehill),Community Orchard,fruits,tree-fruits,50.835,-0.112,Large community orchard on the edge of the South Downs. Features over 200 f...,"Large community orchard on the edge of the South Downs. Features over 200 fruit trees including apples, pears, and plums.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.835,-0.112",Brighton,Brighton,Brighton,East Sussex,BN2 5WB
TRUE,,2,Stanmer Park Foraging,Public Park,wild,woodland,50.868,-0.102,"Vast parkland offering elderberries, blackberries, and wild garlic. Home to...","Vast parkland offering elderberries, blackberries, and wild garlic. Home to many heritage fruit trees.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.868,-0.102",Brighton,Brighton,Brighton,East Sussex,BN1 9PZ
TRUE,,3,Preston Park Edible Hedges,Public Park,wild,hedgerow,50.841,-0.145,Boundary hedges featuring blackberries and elderberries accessible to the p...,Boundary hedges featuring blackberries and elderberries accessible to the public.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.841,-0.145",Brighton,Brighton,Brighton,East Sussex,BN1 6SD
TRUE,,4,Incredible Edible Brighton (Station),Urban Foraging,vegetables,street-planters,50.829,-0.141,Planters near the station entrance with free herbs and seasonal vegetables.,Planters near the station entrance with free herbs and seasonal vegetables.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.829,-0.141",Brighton,Brighton,Brighton,East Sussex,BN1 3XP
TRUE,,5,Hove Park Community Orchard,Community Orchard,fruits,tree-fruits,50.842,-0.168,Small orchard space within the park managed for public fruit harvesting.,Small orchard space within the park managed for public fruit harvesting.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.842,-0.168",Hove,Hove,Hove,East Sussex,BN3 7PN
TRUE,,6,Whitehawk Hill Foraging,Nature Reserve,wild,mixed-forage,50.828,-0.115,"Chalk grassland edges offering wild thyme, marjoram, and blackberries.","Chalk grassland edges offering wild thyme, marjoram, and blackberries.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.828,-0.115",Brighton,Brighton,Brighton,East Sussex,BN2 5FJ
TRUE,,7,Coastal Foraging (Black Rock),Coastal Foraging,wild,coastal,50.815,-0.105,"Shoreline areas offering sea beet, sea kale, and rock samphire on the upper...","Shoreline areas offering sea beet, sea kale, and rock samphire on the upper beach.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.815,-0.105",Brighton,Brighton,Brighton,East Sussex,BN2 1EN
TRUE,,8,Hollingdean Community Orchard,Community Orchard,fruits,tree-fruits,50.848,-0.128,A neighborhood orchard project providing free fruit to the local community.,A neighborhood orchard project providing free fruit to the local community.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.848,-0.128",Brighton,Brighton,Brighton,East Sussex,BN1 7BE
TRUE,,9,Incredible Edible Hove (Church Rd),Urban Foraging,vegetables,street-planters,50.828,-0.172,Raised beds along Church Road featuring herbs and edible flowers.,Raised beds along Church Road featuring herbs and edible flowers.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.828,-0.172",Hove,Hove,Hove,East Sussex,BN3 2BE
TRUE,,10,Wild Park Foraging,Public Park,wild,mixed-forage,50.855,-0.115,"Large nature reserve area with abundant blackberries, sloes, and rosehips.","Large nature reserve area with abundant blackberries, sloes, and rosehips.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.855,-0.115",Brighton,Brighton,Brighton,East Sussex,BN1 9JR
TRUE,,11,Brighton Permaculture Trust Orchard,Community Orchard,fruits,tree-fruits,50.871,-0.105,Specialist orchard at Stanmer Park focusing on Sussex heritage apple variet...,Specialist orchard at Stanmer Park focusing on Sussex heritage apple varieties.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.871,-0.105",Stanmer,Stanmer,Stanmer,East Sussex,BN1 9PZ
TRUE,,12,Incredible Edible Brighton (Level),Urban Foraging,vegetables,street-planters,50.829,-0.132,Planters at The Level featuring free herbs and seasonal greens.,Planters at The Level featuring free herbs and seasonal greens.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.829,-0.132",Brighton,Brighton,Brighton,East Sussex,BN1 4ZN
TRUE,,13,Woodingdean Community Orchard,Community Orchard,fruits,tree-fruits,50.838,-0.075,Community orchard project managed for public fruit gathering.,Community orchard project managed for public fruit gathering.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.838,-0.075",Woodingdean,Woodingdean,Woodingdean,East Sussex,BN2 6BA
TRUE,,14,Sheepcote Valley Foraging,Nature Reserve,wild,mixed-forage,50.825,-0.102,Valley slopes offering abundant elderberries and blackberries.,Valley slopes offering abundant elderberries and blackberries.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.825,-0.102",Brighton,Brighton,Brighton,East Sussex,BN2 5TS
