approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
TRUE,,1,Horfield Community Orchard,Community Orchard,fruits,tree-fruits,51.485,-2.592,Horfield Community Orchard in Horfield.,"A location in Bristol offering free community-grown food or wild foraging opportunities, from urban street planters to ancient woodlands.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, bristol, sustainable, edible-city",0,0,0,,,Summer/Autumn,,,Horfield,Horfield,Horfield,Bristol,BS7 8PF
TRUE,,2,Windmill Hill City Farm Orchard,Community Orchard,fruits,tree-fruits,51.442,-2.595,Windmill Hill City Farm Orchard in Bedminster.,"A location in Bristol offering free community-grown food or wild foraging opportunities, from urban street planters to ancient woodlands.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, bristol, sustainable, edible-city",0,0,0,,,Summer/Autumn,,,Bedminster,Bedminster,Bedminster,Bristol,BS3 4EA
TRUE,,3,Incredible Edible Bristol (Station Planters),Incredible Edible,vegetables,urban-growing,51.449,-2.581,Incredible Edible Bristol (Station Planters) in Temple Meads.,"A location in Bristol offering free community-grown food or wild foraging opportunities, from urban street planters to ancient woodlands.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"incredible edible, bristol, sustainable, edible-city",0,0,0,,,Summer/Autumn,,,Temple Meads,Temple Meads,Temple Meads,Bristol,BS1 6QF
TRUE,,4,The Metford Road Community Orchard,Community Orchard,fruits,tree-fruits,51.472,-2.605,The Metford Road Community Orchard in Redland.,"A location in Bristol offering free community-grown food or wild foraging opportunities, from urban street planters to ancient woodlands.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, bristol, sustainable, edible-city",0,0,0,,,Summer/Autumn,,,Redland,Redland,Redland,Bristol,BS6 7LL
TRUE,,5,St Werburghs City Farm Edible Walkway,Community Garden,fruits,mixed-produce,51.475,-2.575,St Werburghs City Farm Edible Walkway in St Werburghs.,"A location in Bristol offering free community-grown food or wild foraging opportunities, from urban street planters to ancient woodlands.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community garden, bristol, sustainable, edible-city",0,0,0,,,Summer/Autumn,,,St Werburghs,St Werburghs,St Werburghs,Bristol,BS2 9YJ
TRUE,,6,Millennium Square Edible Planters,Incredible Edible,herbs,urban-growing,51.449,-2.6,Millennium Square Edible Planters in Bristol Harbourside.,"A location in Bristol offering free community-grown food or wild foraging opportunities, from urban street planters to ancient woodlands.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"incredible edible, bristol, sustainable, edible-city",0,0,0,,,Summer/Autumn,,,Bristol Harbourside,Bristol Harbourside,Bristol Harbourside,Bristol,BS1 5DB
TRUE,,7,Hartcliffe Community Orchard,Community Orchard,fruits,tree-fruits,51.405,-2.595,Hartcliffe Community Orchard in Hartcliffe.,"A location in Bristol offering free community-grown food or wild foraging opportunities, from urban street planters to ancient woodlands.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, bristol, sustainable, edible-city",0,0,0,,,Summer/Autumn,,,Hartcliffe,Hartcliffe,Hartcliffe,Bristol,BS13 0HR
TRUE,,8,Dame Emily Park Community Orchard,Community Orchard,fruits,tree-fruits,51.441,-2.608,Dame Emily Park Community Orchard in Bedminster.,"A location in Bristol offering free community-grown food or wild foraging opportunities, from urban street planters to ancient woodlands.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, bristol, sustainable, edible-city",0,0,0,,,Summer/Autumn,,,Bedminster,Bedminster,Bedminster,Bristol,BS3 3BN
TRUE,,9,Royate Hill Community Orchard,Community Orchard,fruits,tree-fruits,51.468,-2.552,Royate Hill Community Orchard in Eastville.,"A location in Bristol offering free community-grown food or wild foraging opportunities, from urban street planters to ancient woodlands.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, bristol, sustainable, edible-city",0,0,0,,,Summer/Autumn,,,Eastville,Eastville,Eastville,Bristol,BS5 6UA
TRUE,,10,Knowle West Edible Landscaping,Incredible Edible,fruits,urban-growing,51.425,-2.585,Knowle West Edible Landscaping in Knowle West.,"A location in Bristol offering free community-grown food or wild foraging opportunities, from urban street planters to ancient woodlands.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"incredible edible, bristol, sustainable, edible-city",0,0,0,,,Summer/Autumn,,,Knowle West,Knowle West,Knowle West,Bristol,BS4 1NL
TRUE,,11,The Hub Lockleaze Orchard,Community Orchard,fruits,tree-fruits,51.492,-2.572,The Hub Lockleaze Orchard in Lockleaze.,"A location in Bristol offering free community-grown food or wild foraging opportunities, from urban street planters to ancient woodlands.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, bristol, sustainable, edible-city",0,0,0,,,Summer/Autumn,,,Lockleaze,Lockleaze,Lockleaze,Bristol,BS7 9FB
TRUE,,12,Stockwood Open Space Orchard,Community Orchard,fruits,tree-fruits,51.415,-2.545,Stockwood Open Space Orchard in Stockwood.,"A location in Bristol offering free community-grown food or wild foraging opportunities, from urban street planters to ancient woodlands.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, bristol, sustainable, edible-city",0,0,0,,,Summer/Autumn,,,Stockwood,Stockwood,Stockwood,Bristol,BS14 8SJ
TRUE,,13,Bristol University Edible Garden,Community Garden,vegetables,urban-growing,51.458,-2.602,Bristol University Edible Garden in Clifton.,"A location in Bristol offering free community-grown food or wild foraging opportunities, from urban street planters to ancient woodlands.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community garden, bristol, sustainable, edible-city",0,0,0,,,Summer/Autumn,,,Clifton,Clifton,Clifton,Bristol,BS8 1TH
TRUE,,14,Fishponds Community Orchard,Community Orchard,fruits,tree-fruits,51.482,-2.531,Fishponds Community Orchard in Fishponds.,"A location in Bristol offering free community-grown food or wild foraging opportunities, from urban street planters to ancient woodlands.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, bristol, sustainable, edible-city",0,0,0,,,Summer/Autumn,,,Fishponds,Fishponds,Fishponds,Bristol,BS16 3TW
