approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
TRUE,,1,Aylesbury Community Orchard,Community Orchard,fruits,tree-fruits,51.815,-0.812,Aylesbury Community Orchard in Aylesbury.,"A location in Buckinghamshire for community food growing or wild foraging, from the Chiltern Hills to the river valleys.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, buckinghamshire, foraging, community",0,0,0,,,Summer/Autumn,,,Aylesbury,Aylesbury,Aylesbury,Buckinghamshire,HP20 1ST
TRUE,,2,High Wycombe Edible Garden,Community Garden,vegetables,urban-growing,51.628,-0.751,High Wycombe Edible Garden in High Wycombe.,"A location in Buckinghamshire for community food growing or wild foraging, from the Chiltern Hills to the river valleys.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community garden, buckinghamshire, foraging, community",0,0,0,,,Summer/Autumn,,,High Wycombe,High Wycombe,High Wycombe,Buckinghamshire,HP11 2LY
TRUE,,3,Chesham Community Orchard,Community Orchard,fruits,tree-fruits,51.705,-0.612,Chesham Community Orchard in Chesham.,"A location in Buckinghamshire for community food growing or wild foraging, from the Chiltern Hills to the river valleys.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, buckinghamshire, foraging, community",0,0,0,,,Summer/Autumn,,,Chesham,Chesham,Chesham,Buckinghamshire,HP5 1AG
TRUE,,4,Incredible Edible Buckingham (Market Hill),Incredible Edible,herbs,urban-growing,51.998,-0.985,Incredible Edible Buckingham (Market Hill) in Buckingham.,"A location in Buckinghamshire for community food growing or wild foraging, from the Chiltern Hills to the river valleys.",6;7;8;9,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"incredible edible, buckinghamshire, foraging, community",0,0,0,,,Summer,,,Buckingham,Buckingham,Buckingham,Buckinghamshire,MK18 1JX
TRUE,,5,Stony Stratford Edible Planters,Incredible Edible,vegetables,urban-growing,52.058,-0.852,Stony Stratford Edible Planters in Milton Keynes.,"A location in Buckinghamshire for community food growing or wild foraging, from the Chiltern Hills to the river valleys.",6;7;8;9,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"incredible edible, buckinghamshire, foraging, community",0,0,0,,,Summer,,,Milton Keynes,Milton Keynes,Milton Keynes,Buckinghamshire,MK11 1BE
TRUE,,6,Wolverton Community Orchard,Community Orchard,fruits,tree-fruits,52.065,-0.815,Wolverton Community Orchard in Milton Keynes.,"A location in Buckinghamshire for community food growing or wild foraging, from the Chiltern Hills to the river valleys.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, buckinghamshire, foraging, community",0,0,0,,,Summer/Autumn,,,Milton Keynes,Milton Keynes,Milton Keynes,Buckinghamshire,MK12 5AU
TRUE,,7,Amersham Old Town Orchard,Community Orchard,fruits,tree-fruits,51.668,-0.618,Amersham Old Town Orchard in Amersham.,"A location in Buckinghamshire for community food growing or wild foraging, from the Chiltern Hills to the river valleys.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, buckinghamshire, foraging, community",0,0,0,,,Summer/Autumn,,,Amersham,Amersham,Amersham,Buckinghamshire,HP7 0DQ
TRUE,,8,Marlow Community Edibles,Incredible Edible,herbs,urban-growing,51.572,-0.778,Marlow Community Edibles in Marlow.,"A location in Buckinghamshire for community food growing or wild foraging, from the Chiltern Hills to the river valleys.",6;7;8;9,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"incredible edible, buckinghamshire, foraging, community",0,0,0,,,Summer,,,Marlow,Marlow,Marlow,Buckinghamshire,SL7 1AU
TRUE,,9,Great Missenden Parish Orchard,Community Orchard,fruits,tree-fruits,51.702,-0.705,Great Missenden Parish Orchard in Great Missenden.,"A location in Buckinghamshire for community food growing or wild foraging, from the Chiltern Hills to the river valleys.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, buckinghamshire, foraging, community",0,0,0,,,Summer/Autumn,,,Great Missenden,Great Missenden,Great Missenden,Buckinghamshire,HP16 0AZ
TRUE,,10,Haddenham Community Orchard,Community Orchard,fruits,tree-fruits,51.765,-0.925,Haddenham Community Orchard in Haddenham.,"A location in Buckinghamshire for community food growing or wild foraging, from the Chiltern Hills to the river valleys.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, buckinghamshire, foraging, community",0,0,0,,,Summer/Autumn,,,Haddenham,Haddenham,Haddenham,Buckinghamshire,HP17 8EE
TRUE,,11,Winslow Community Garden,Community Garden,fruits,mixed-produce,51.942,-0.882,Winslow Community Garden in Winslow.,"A location in Buckinghamshire for community food growing or wild foraging, from the Chiltern Hills to the river valleys.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community garden, buckinghamshire, foraging, community",0,0,0,,,Summer/Autumn,,,Winslow,Winslow,Winslow,Buckinghamshire,MK18 3DR
TRUE,,12,Beaconsfield Edible Bed,Incredible Edible,herbs,urban-growing,51.612,-0.645,Beaconsfield Edible Bed in Beaconsfield.,"A location in Buckinghamshire for community food growing or wild foraging, from the Chiltern Hills to the river valleys.",6;7;8;9,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"incredible edible, buckinghamshire, foraging, community",0,0,0,,,Summer,,,Beaconsfield,Beaconsfield,Beaconsfield,Buckinghamshire,HP9 1LW
TRUE,,13,Newport Pagnell Community Orchard,Community Orchard,fruits,tree-fruits,52.088,-0.725,Newport Pagnell Community Orchard in Milton Keynes.,"A location in Buckinghamshire for community food growing or wild foraging, from the Chiltern Hills to the river valleys.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, buckinghamshire, foraging, community",0,0,0,,,Summer/Autumn,,,Milton Keynes,Milton Keynes,Milton Keynes,Buckinghamshire,MK16 8ER
TRUE,,14,Olney Community Orchard,Community Orchard,fruits,tree-fruits,52.155,-0.702,Olney Community Orchard in Olney.,"A location in Buckinghamshire for community food growing or wild foraging, from the Chiltern Hills to the river valleys.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, buckinghamshire, foraging, community",0,0,0,,,Summer/Autumn,,,Olney,Olney,Olney,Buckinghamshire,MK46 4BA
TRUE,,15,Wendover Canal Path Foraging,Foraging,fruits,hedgerow,51.765,-0.738,Wendover Canal Path Foraging in Wendover.,"A location in Buckinghamshire for community food growing or wild foraging, from the Chiltern Hills to the river valleys.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, buckinghamshire, foraging, community",0,0,0,,,Summer/Autumn,,,Wendover,Wendover,Wendover,Buckinghamshire,HP22 6DW
TRUE,,16,Princes Risborough Fruit Trees,Community Orchard,fruits,tree-fruits,51.722,-0.835,Princes Risborough Fruit Trees in Princes Risborough.,"A location in Buckinghamshire for community food growing or wild foraging, from the Chiltern Hills to the river valleys.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, buckinghamshire, foraging, community",0,0,0,,,Summer/Autumn,,,Princes Risborough,Princes Risborough,Princes Risborough,Buckinghamshire,HP27 0DR
TRUE,,17,Burnham Beeches (Edible Boundaries),Foraging,nuts,woodland,51.562,-0.628,Burnham Beeches (Edible Boundaries) in Burnham.,"A location in Buckinghamshire for community food growing or wild foraging, from the Chiltern Hills to the river valleys.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, buckinghamshire, foraging, community",0,0,0,,,Summer/Autumn,,,Burnham,Burnham,Burnham,Buckinghamshire,SL2 3PS
