approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,1,Midsummer Common Fruit Trees,Community Orchard,fruits,tree-fruits,52.211,0.128,Apples and pears on the common.,"Publicly accessible fruit trees located along the edges of the common, near the River Cam.",8;9;10,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"apples, pears",28,0,0,,,Autumn,,http://googleusercontent.com/maps.google.com/camb1,Victoria Avenue,Cambridge,City Centre,Cambridgeshire,CB4
True,,2,Paradise Nature Reserve Wild Garlic,Wild Foraging,vegetables,wild-greens,52.195,0.112,Wetland wild garlic patches.,A marshy woodland area along the Cam where wild garlic (ramsons) thrives in the spring.,3;4;5,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,garlic,45,0,0,,,Spring,,http://googleusercontent.com/maps.google.com/camb2,Lammas Land,Cambridge,Newnham,Cambridgeshire,CB3
True,,3,Incredible Edible Romsey Town,Incredible Edible,vegetables,street-planters,52.198,0.148,Community planters on Mill Road.,"Pavement-side planters featuring rosemary, mint, and seasonal vegetables for local residents.",5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,herbs,33,0,0,,,Summer,,http://googleusercontent.com/maps.google.com/camb3,Mill Road,Cambridge,Romsey,Cambridgeshire,CB1
True,,4,Trumpington Community Orchard,Community Orchard,fruits,tree-fruits,52.175,0.118,Managed community fruit space.,A volunteer-run orchard with over 40 varieties of local heritage apples.,8;9;10,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,apples,52,0,0,,,Autumn,,http://googleusercontent.com/maps.google.com/camb4,Foster Road,Cambridge,Trumpington,Cambridgeshire,CB2
True,,5,Wandlebury Country Park Nuts,Wild Foraging,nuts,woodland-nuts,52.158,0.182,Sweet chestnuts and hazelnuts.,The wooded perimeter of the hill fort contains several mature nut-bearing trees.,9;10,https://images.unsplash.com/photo-1507750545-0909477b819e?w=512&q=80,"chestnuts, hazelnuts",21,0,0,,,Autumn,,http://googleusercontent.com/maps.google.com/camb5,Gog Magog Hills,Cambridge,Stapleford,Cambridgeshire,CB22
True,,6,Cambridge University Botanic Garden Edibles,Community Orchard,fruits,tree-fruits,52.193,0.126,Edible garden border.,Public-facing borders near the entrance often feature edible plantings and herbs.,6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"herbs, fruit",18,0,0,,,Summer,,http://googleusercontent.com/maps.google.com/camb6,Brookside,Cambridge,City Centre,Cambridgeshire,CB2
True,,7,Stourbridge Common Elder,Wild Foraging,fruits,berries,52.218,0.155,Elderflower and berry picking.,Dense hedgerows along the towpath provide heavy yields of elderflower and berries.,6;9,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,elder,14,0,0,,,Summer/Autumn,,http://googleusercontent.com/maps.google.com/camb7,Riverside,Cambridge,Fen Ditton Fringe,Cambridgeshire,CB5
True,,8,Gog Magog Sloes,Wild Foraging,fruits,hedgerow-fruit,52.162,0.178,Blackthorn bushes on the hills.,The high chalk ground offers excellent conditions for sloe picking in the autumn.,10;11,https://images.unsplash.com/photo-1441974231531-c6227db76b6e?w=512&q=80,sloes,11,0,0,,,Autumn,,http://googleusercontent.com/maps.google.com/camb8,Babraham Road,Cambridge,Gog Magogs,Cambridgeshire,CB22
True,,9,Darwin College Walnuts,Urban Foraging,nuts,woodland-nuts,52.201,0.114,Riverside walnuts.,Mature walnut trees overhang the public paths near the Mill Pond and island area.,9;10,https://images.unsplash.com/photo-1543362906-acfc16c67564?w=512&q=80,walnuts,26,0,0,,,Autumn,,http://googleusercontent.com/maps.google.com/camb9,Silver Street,Cambridge,City Centre,Cambridgeshire,CB3
True,,10,Coldham's Common Blackberries,Wild Foraging,fruits,berries,52.205,0.158,Urban bramble picking.,A vast common with long stretches of blackberry bushes along the cycle paths.,8;9,https://images.unsplash.com/photo-1464306208223-e0b4495a5553?w=512&q=80,blackberries,19,0,0,,,Summer,,http://googleusercontent.com/maps.google.com/camb10,Coldham's Lane,Cambridge,Cherry Hinton,Cambridgeshire,CB1
True,,11,Incredible Edible Eddington,Incredible Edible,vegetables,street-planters,52.222,0.095,Sustainability-focused urban growing.,Edible landscaping in the new development featuring communal herbs and fruit bushes.,5;6;7;8,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"herbs, berries",15,0,0,,,Summer,,http://googleusercontent.com/maps.google.com/camb11,Eddington Avenue,Cambridge,North West Cambridge,Cambridgeshire,CB3
True,,12,Cherry Hinton Chalk Pits Rosehips,Wild Foraging,fruits,hedgerow-fruit,52.178,0.168,Wild berries in the pits.,Nature reserve with wild rose and hawthorn berries in a unique chalk soil environment.,9;10,https://images.unsplash.com/photo-1441974231531-c6227db76b6e?w=512&q=80,"rosehips, haws",9,0,0,,,Autumn,,http://googleusercontent.com/maps.google.com/camb12,Limekiln Road,Cambridge,Cherry Hinton,Cambridgeshire,CB1
True,,13,Fen Ditton River Greens,Riparian Foraging,vegetables,wild-greens,52.225,0.165,Fenland wild fennel.,Wild fennel and wild celery can be found along the riverbanks heading toward the Fens.,6;7;8,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,"fennel, celery",12,0,0,,,Summer,,http://googleusercontent.com/maps.google.com/camb13,Green End,Fen Ditton,East Cambridge,Cambridgeshire,CB5
True,,14,Coton Orchard Access Path,Wild Foraging,fruits,tree-fruits,52.208,0.075,Fringe orchard windfalls.,Public footpaths passing through/near historic orchards often have available windfalls.,8;9;10,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,apples,16,0,0,,,Autumn,,http://googleusercontent.com/maps.google.com/camb14,Cambridge Road,Coton,West Cambridge,Cambridgeshire,CB23
True,,15,Brampton Wood Samphire (Inland Alternative),Riparian Foraging,vegetables,wild-greens,52.325,-0.255,Fenland 'coastal' greens.,"Though a bit further out, the saline Fen soils host coastal-style plants like Sea Aster in damp spots.",6;7;8,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,sea aster,5,0,0,,,Summer,,http://googleusercontent.com/maps.google.com/camb15,Brampton,Huntingdon,Cambs Fringe,Cambridgeshire,PE28
