approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
TRUE,,1,Trumpington Community Orchard,Community Orchard,fruits,tree-fruits,52.175,0.118,Trumpington Community Orchard in Cambridgeshire.,"A location in Cambridgeshire for community growing or wild foraging, from the high-tech city orchards to the wild Fens.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, cambridgeshire, foraging, community",0,0,0,,,Summer/Autumn,,,Cambridge,Cambridge,Cambridge,Cambridgeshire,CB2 9LH
TRUE,,2,Midsummer Common Orchard,Community Orchard,fruits,tree-fruits,52.212,0.132,Midsummer Common Orchard in Cambridgeshire.,"A location in Cambridgeshire for community growing or wild foraging, from the high-tech city orchards to the wild Fens.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, cambridgeshire, foraging, community",0,0,0,,,Summer/Autumn,,,Cambridge,Cambridge,Cambridge,Cambridgeshire,CB4 1AS
TRUE,,3,Incredible Edible Wisbech (Planters),Incredible Edible,vegetables,urban-growing,52.665,0.162,Incredible Edible Wisbech (Planters) in Cambridgeshire.,"A location in Cambridgeshire for community growing or wild foraging, from the high-tech city orchards to the wild Fens.",6;7;8;9,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"incredible edible, cambridgeshire, foraging, community",0,0,0,,,Summer,,,Wisbech,Wisbech,Wisbech,Cambridgeshire,PE13 1AS
TRUE,,4,Coton Village Orchard,Community Orchard,fruits,tree-fruits,52.215,0.062,Coton Village Orchard in Cambridgeshire.,"A location in Cambridgeshire for community growing or wild foraging, from the high-tech city orchards to the wild Fens.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, cambridgeshire, foraging, community",0,0,0,,,Summer/Autumn,,,Coton,Coton,Coton,Cambridgeshire,CB23 7PL
TRUE,,5,Incredible Edible Huntingdon,Incredible Edible,herbs,urban-growing,52.332,-0.185,Incredible Edible Huntingdon in Cambridgeshire.,"A location in Cambridgeshire for community growing or wild foraging, from the high-tech city orchards to the wild Fens.",6;7;8;9,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"incredible edible, cambridgeshire, foraging, community",0,0,0,,,Summer,,,Huntingdon,Huntingdon,Huntingdon,Cambridgeshire,PE29 3RP
TRUE,,6,Cherry Hinton Hall Orchard,Community Orchard,fruits,tree-fruits,52.188,0.165,Cherry Hinton Hall Orchard in Cambridgeshire.,"A location in Cambridgeshire for community growing or wild foraging, from the high-tech city orchards to the wild Fens.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, cambridgeshire, foraging, community",0,0,0,,,Summer/Autumn,,,Cambridge,Cambridge,Cambridge,Cambridgeshire,CB1 8DW
TRUE,,7,Incredible Edible St Neots,Incredible Edible,vegetables,urban-growing,52.228,-0.268,Incredible Edible St Neots in Cambridgeshire.,"A location in Cambridgeshire for community growing or wild foraging, from the high-tech city orchards to the wild Fens.",6;7;8;9,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"incredible edible, cambridgeshire, foraging, community",0,0,0,,,Summer,,,St Neots,St Neots,St Neots,Cambridgeshire,PE19 1AE
TRUE,,8,Great Shelford Community Orchard,Community Orchard,fruits,tree-fruits,52.148,0.135,Great Shelford Community Orchard in Cambridgeshire.,"A location in Cambridgeshire for community growing or wild foraging, from the high-tech city orchards to the wild Fens.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, cambridgeshire, foraging, community",0,0,0,,,Summer/Autumn,,,Great Shelford,Great Shelford,Great Shelford,Cambridgeshire,CB22 5AD
TRUE,,9,St Ives Edible High Street,Incredible Edible,herbs,urban-growing,52.325,-0.075,St Ives Edible High Street in Cambridgeshire.,"A location in Cambridgeshire for community growing or wild foraging, from the high-tech city orchards to the wild Fens.",6;7;8;9,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"incredible edible, cambridgeshire, foraging, community",0,0,0,,,Summer,,,St Ives,St Ives,St Ives,Cambridgeshire,PE27 5AL
TRUE,,10,Ramsey Community Orchard,Community Orchard,fruits,tree-fruits,52.448,-0.105,Ramsey Community Orchard in Cambridgeshire.,"A location in Cambridgeshire for community growing or wild foraging, from the high-tech city orchards to the wild Fens.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, cambridgeshire, foraging, community",0,0,0,,,Summer/Autumn,,,Ramsey,Ramsey,Ramsey,Cambridgeshire,PE26 1BS
