approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,1,Westgate Gardens Edible Edge,Public Park,wild,river-forage,51.281,1.074,Riverside paths along the Stour with wild garlic (spring) and elderberries ...,Riverside paths along the Stour with wild garlic (spring) and elderberries (summer).,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.281,1.074",Canterbury,Canterbury,Canterbury,Kent,CT1 2DB
True,,2,Incredible Edible Canterbury (St Dunstans),Urban Foraging,vegetables,street-planters,51.284,1.072,"Community planters featuring free herbs, salads, and chard for the local co...","Community planters featuring free herbs, salads, and chard for the local community.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.284,1.072",Canterbury,Canterbury,Canterbury,Kent,CT2 8BS
True,,3,Abbots Mill Orchard,Community Orchard,fruits,tree-fruits,51.282,1.078,Urban orchard and wild space with heritage fruit trees and edible perennial...,Urban orchard and wild space with heritage fruit trees and edible perennials.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.282,1.078",Canterbury,Canterbury,Canterbury,Kent,CT1 2AX
True,,4,Blean Woods Nut Gathering,Woodland,wild,woodland,51.295,1.035,"Extensive ancient woodland offering hazelnuts, sweet chestnuts, and blackbe...","Extensive ancient woodland offering hazelnuts, sweet chestnuts, and blackberries.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.295,1.035",Rough Common,Rough Common,Rough Common,Kent,CT2 9DD
True,,5,Great Stour Way Foraging,Public Path,wild,river-forage,51.272,1.065,"Linear path along the river with abundant elder, hawthorn, and brambles.","Linear path along the river with abundant elder, hawthorn, and brambles.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.272,1.065",Canterbury,Canterbury,Canterbury,Kent,CT1 3RE
True,,6,Incredible Edible Canterbury (Northgate),Urban Foraging,vegetables,street-planters,51.285,1.088,Community beds near the city wall with free herbs and seasonal vegetables.,Community beds near the city wall with free herbs and seasonal vegetables.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.285,1.088",Canterbury,Canterbury,Canterbury,Kent,CT1 1BE
True,,7,Dane John Gardens Fruit Trees,Public Park,fruits,tree-fruits,51.275,1.078,Historic park featuring several mature fruit trees and boundary berries.,Historic park featuring several mature fruit trees and boundary berries.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.275,1.078",Canterbury,Canterbury,Canterbury,Kent,CT1 2RN
True,,8,University of Kent Edible Campus,Urban Foraging,vegetables,mixed-edibles,51.298,1.068,"Campus landscaping including herbs, fruit trees, and edible hedging for stu...","Campus landscaping including herbs, fruit trees, and edible hedging for students and public.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.298,1.068",Canterbury,Canterbury,Canterbury,Kent,CT2 7NZ
True,,9,Whitefriars Incredible Edible,Urban Foraging,vegetables,street-planters,51.278,1.082,Public planters in the shopping district featuring culinary herbs and salad...,Public planters in the shopping district featuring culinary herbs and salads.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.278,1.082",Canterbury,Canterbury,Canterbury,Kent,CT1 2TF
True,,10,Chartham Village Orchard,Community Orchard,fruits,tree-fruits,51.258,1.018,A quiet village orchard project open for public picking in late summer.,A quiet village orchard project open for public picking in late summer.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.258,1.018",Chartham,Chartham,Chartham,Kent,CT4 7JU
