approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,1,Bute Park Orchard,Community Orchard,fruits,tree-fruits,51.485,-3.185,Located near the Sophia Gardens entrance. Features various apple and pear t...,Located near the Sophia Gardens entrance. Features various apple and pear trees available for public picking.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.485,-3.185",Cardiff,Cardiff,Cardiff,South Glamorgan,CF10 3ER
True,,2,Incredible Edible Cardiff (Riverside),Urban Foraging,vegetables,street-planters,51.482,-3.188,Community planters along the Taff Embankment with free-to-pick herbs and se...,Community planters along the Taff Embankment with free-to-pick herbs and seasonal vegetables.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.482,-3.188",Cardiff,Cardiff,Cardiff,South Glamorgan,CF11 6JX
True,,3,Heath Park Foraging,Public Park,wild,mixed-forage,51.512,-3.182,"Extensive parkland offering blackberries, elderberries, and wild garlic in ...","Extensive parkland offering blackberries, elderberries, and wild garlic in the wooded sections.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.512,-3.182",Cardiff,Cardiff,Cardiff,South Glamorgan,CF14 4AW
True,,4,Coastal Foraging (Cardiff Bay Trail),Coastal Foraging,wild,coastal,51.448,-3.175,Along the barrage and wetlands path. Sea beet and wild radish grow in the g...,Along the barrage and wetlands path. Sea beet and wild radish grow in the gravelly margins.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.448,-3.175",Cardiff Bay,Cardiff Bay,Cardiff Bay,South Glamorgan,CF11 0SY
True,,5,Brynfedw Community Orchard,Community Orchard,fruits,tree-fruits,51.522,-3.145,A community-led orchard project featuring local Welsh apple varieties.,A community-led orchard project featuring local Welsh apple varieties.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.522,-3.145",Llanedeyrn,Llanedeyrn,Llanedeyrn,South Glamorgan,CF23 9PQ
True,,6,Roath Park Wild Edges,Public Park,wild,mixed-forage,51.502,-3.165,"Paths around the lake and pleasure gardens with elderflowers, blackberries,...","Paths around the lake and pleasure gardens with elderflowers, blackberries, and hawthorn.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.502,-3.165",Cardiff,Cardiff,Cardiff,South Glamorgan,CF23 5PH
True,,7,Incredible Edible Cardiff (Cathays),Urban Foraging,vegetables,street-planters,51.492,-3.178,Planters near the university and residential streets with free herbs and ch...,Planters near the university and residential streets with free herbs and chard.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.492,-3.178",Cardiff,Cardiff,Cardiff,South Glamorgan,CF24 4AU
True,,8,Forest Farm Foraging,Nature Reserve,wild,mixed-forage,51.525,-3.235,"Canal-side paths and meadows offering blackberries, sloes, and hazelnuts.","Canal-side paths and meadows offering blackberries, sloes, and hazelnuts.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.525,-3.235",Whitchurch,Whitchurch,Whitchurch,South Glamorgan,CF14 7JH
True,,9,Wenallt Woods Foraging,Woodland,wild,woodland,51.545,-3.215,"Ancient woodland offering sweet chestnuts, hazelnuts, and wild garlic (spri...","Ancient woodland offering sweet chestnuts, hazelnuts, and wild garlic (spring).",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.545,-3.215",Rhiwbina,Rhiwbina,Rhiwbina,South Glamorgan,CF14 6TQ
True,,10,Incredible Edible Cardiff (Splott),Urban Foraging,vegetables,street-planters,51.485,-3.152,Raised beds near the community hub and park featuring edible greens and her...,Raised beds near the community hub and park featuring edible greens and herbs.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.485,-3.152",Splott,Splott,Splott,South Glamorgan,CF24 2BU
