approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,1,Rickerby Park River Path,Wild Foraging,vegetables,wild-garlic,54.903,-2.925,Abundant wild garlic along the river banks.,A popular local spot in the Stanwix area of Carlisle. Abundant wild garlic along the river banks. Please forage responsibly and follow the Countryside Code.,3;4;5,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"garlic, herbs, wild-food",30,0,0,,words.park.path,Spring,CPV6+55 Stanwix,https://www.openstreetmap.org/?mlat=54.903&mlon=-2.925#map=17/54.903/-2.925,"Stanwix, Carlisle",Carlisle,Stanwix,Cumbria,CA1
True,,2,Bitts Park Riverside Trail,Wild Foraging,vegetables,wild-garlic,54.898,-2.938,Shaded river trail with carpets of wild garlic in spring.,A popular local spot in the City Centre area of Carlisle. Shaded river trail with carpets of wild garlic in spring. Please forage responsibly and follow the Countryside Code.,3;4;5,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,"garlic, herbs, wild-food",41,0,0,,words.apple.leaf,Spring,CPV6+95 CityCentre,https://www.openstreetmap.org/?mlat=54.898&mlon=-2.938#map=17/54.898/-2.938,"City Centre, Carlisle",Carlisle,City Centre,Cumbria,CA3
True,,3,Hammonds Pond Orchard,Community Orchard,fruits,tree-fruits,54.872,-2.915,Newly planted community orchard trees including apples and pears.,A popular local spot in the Upperby area of Carlisle. Newly planted community orchard trees including apples and pears. Please forage responsibly and follow the Countryside Code.,8;9;10,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"apples, pears, orchard",40,0,0,,words.park.leaf,Autumn,CPV6+82 Upperby,https://www.openstreetmap.org/?mlat=54.872&mlon=-2.915#map=17/54.872/-2.915,"Upperby, Carlisle",Carlisle,Upperby,Cumbria,CA1
True,,4,Engine Lonning Woodland,Wild Foraging,fruits,hedgerow-fruit,54.892,-2.955,Wild sloes and blackberries in the reclaimed rail yard.,A popular local spot in the Denton Holme area of Carlisle. Wild sloes and blackberries in the reclaimed rail yard. Please forage responsibly and follow the Countryside Code.,8;9;10;11,https://images.unsplash.com/photo-1441974231531-c6227db7816c?w=512&q=80,"blackberries, sloes, berries",41,0,0,,words.park.path,Late Summer/Autumn,CPV6+85 DentonHolme,https://www.openstreetmap.org/?mlat=54.892&mlon=-2.955#map=17/54.892/-2.955,"Denton Holme, Carlisle",Carlisle,Denton Holme,Cumbria,CA2
True,,5,Kingmoor North Nature Reserve,Wild Foraging,fruits,hedgerow-fruit,54.918,-2.952,Great spot for blackberries and elderberries.,A popular local spot in the Belah area of Carlisle. Great spot for blackberries and elderberries. Please forage responsibly and follow the Countryside Code.,8;9;10;11,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,"blackberries, sloes, berries",49,0,0,,words.green.path,Late Summer/Autumn,CPV6+99 Belah,https://www.openstreetmap.org/?mlat=54.918&mlon=-2.952#map=17/54.918/-2.952,"Belah, Carlisle",Carlisle,Belah,Cumbria,CA1
True,,6,Kingmoor South Nature Reserve,Wild Foraging,nuts,wild-nuts,54.912,-2.955,Hazelnut trees scattered through the woodland.,A popular local spot in the Belah area of Carlisle. Hazelnut trees scattered through the woodland. Please forage responsibly and follow the Countryside Code.,9;10,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"hazelnuts, nuts",45,0,0,,words.park.path,Autumn,CPV6+91 Belah,https://www.openstreetmap.org/?mlat=54.912&mlon=-2.955#map=17/54.912/-2.955,"Belah, Carlisle",Carlisle,Belah,Cumbria,CA1
True,,7,Caldew Riverside Path,Wild Foraging,fruits,hedgerow-fruit,54.885,-2.945,Wild raspberries and blackberries along the cycle route.,A popular local spot in the Denton Holme area of Carlisle. Wild raspberries and blackberries along the cycle route. Please forage responsibly and follow the Countryside Code.,8;9;10;11,https://images.unsplash.com/photo-1441974231531-c6227db7816c?w=512&q=80,"blackberries, sloes, berries",43,0,0,,words.park.path,Late Summer/Autumn,CPV6+52 DentonHolme,https://www.openstreetmap.org/?mlat=54.885&mlon=-2.945#map=17/54.885/-2.945,"Denton Holme, Carlisle",Carlisle,Denton Holme,Cumbria,CA2
True,,8,Petteril Valley Park,Wild Foraging,fruits,hedgerow-fruit,54.881,-2.905,Long stretches of brambles for blackberry picking.,A popular local spot in the Harraby area of Carlisle. Long stretches of brambles for blackberry picking. Please forage responsibly and follow the Countryside Code.,8;9;10;11,https://images.unsplash.com/photo-1441974231531-c6227db7816c?w=512&q=80,"blackberries, sloes, berries",18,0,0,,words.green.tree,Late Summer/Autumn,CPV6+76 Harraby,https://www.openstreetmap.org/?mlat=54.881&mlon=-2.905#map=17/54.881/-2.905,"Harraby, Carlisle",Carlisle,Harraby,Cumbria,CA1
True,,9,Chances Park Grounds,Community Orchard,fruits,tree-fruits,54.885,-2.965,Occasional elderflower and wild berries near the perimeter.,A popular local spot in the Morton area of Carlisle. Occasional elderflower and wild berries near the perimeter. Please forage responsibly and follow the Countryside Code.,8;9;10,https://images.unsplash.com/photo-1441974231531-c6227db7816c?w=512&q=80,"apples, pears, orchard",39,0,0,,words.green.path,Autumn,CPV6+26 Morton,https://www.openstreetmap.org/?mlat=54.885&mlon=-2.965#map=17/54.885/-2.965,"Morton, Carlisle",Carlisle,Morton,Cumbria,CA1
True,,10,Upperby Park Hedgerows,Wild Foraging,fruits,hedgerow-fruit,54.875,-2.922,Sloes and blackberries found in the wilder edges.,A popular local spot in the Upperby area of Carlisle. Sloes and blackberries found in the wilder edges. Please forage responsibly and follow the Countryside Code.,8;9;10;11,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"blackberries, sloes, berries",33,0,0,,words.park.leaf,Late Summer/Autumn,CPV6+98 Upperby,https://www.openstreetmap.org/?mlat=54.875&mlon=-2.922#map=17/54.875/-2.922,"Upperby, Carlisle",Carlisle,Upperby,Cumbria,CA3
