approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,1,Central Park Community Orchard,Community Orchard,fruits,tree-fruits,51.732,0.468,Public fruit trees in the city heart.,"A collection of heritage apple and pear trees located near the lake and the viaduct, managed for public picking.",8;9;10,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"apples, pears",34,0,0,,logic.shops.faded,Autumn,,http://googleusercontent.com/maps.google.com/che1,Victoria Road,Chelmsford,City Centre,Essex,CM1
True,,2,Danbury Common Sweet Chestnuts,Wild Foraging,nuts,woodland-nuts,51.708,0.582,Ancient ridge-top nut gathering.,"The heathland and wooded fringes of the common are home to massive, mature sweet chestnut trees.",10;11,https://images.unsplash.com/photo-1543362906-acfc16c67564?w=512&q=80,chestnuts,47,0,0,,gather.ridge.woods,Autumn,,http://googleusercontent.com/maps.google.com/che2,Penny Royal Road,Danbury,Chelmsford Fringe,Essex,CM3
True,,3,River Chelmer Wild Garlic,Wild Foraging,vegetables,wild-greens,51.738,0.485,Riverside spring greens.,"Damp, shaded areas along the Chelmer Valley Way, particularly near Bunny Walks, are rich in wild garlic.",3;4;5,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,garlic,52,0,0,,river.garlic.shade,Spring,,http://googleusercontent.com/maps.google.com/che3,Chelmer Valley Road,Chelmsford,Springfield,Essex,CM1
True,,4,Incredible Edible Chelmsford - High St,Incredible Edible,vegetables,street-planters,51.731,0.475,City centre urban planters.,"Public planters featuring rosemary, thyme, and seasonal edible flowers for public use.",5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,herbs,21,0,0,,shops.herb.scent,Summer,,http://googleusercontent.com/maps.google.com/che4,High Street,Chelmsford,City Centre,Essex,CM1
True,,5,Hylands Park Walnuts,Wild Foraging,nuts,woodland-nuts,51.712,0.432,Estate nut gathering.,The parkland surrounding the historic house features several mature walnut trees near the public footpaths.,9;10,https://images.unsplash.com/photo-1543362906-acfc16c67564?w=512&q=80,walnuts,15,0,0,,grand.nut.walk,Autumn,,http://googleusercontent.com/maps.google.com/che5,London Road,Chelmsford,Widford,Essex,CM2
True,,6,Maldon Estuary Samphire (Fringe),Coastal Foraging,vegetables,coastal-greens,51.735,0.685,Coastal greens near Beeleigh.,Accessible salt marsh areas near the tidal limit of the Chelmer & Blackwater Navigation.,6;7;8,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,samphire,12,0,0,,salty.river.bend,Summer,,http://googleusercontent.com/maps.google.com/che6,Maldon Road,Danbury Fringe,Beeleigh,Essex,CM9
True,,7,Broomfield Orchard,Community Orchard,fruits,tree-fruits,51.765,0.462,Village community fruit.,A small stand of apple and plum trees planted on public green space for the community.,8;9,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"apples, plums",11,0,0,,fruit.village.path,Autumn,,http://googleusercontent.com/maps.google.com/che7,Main Road,Broomfield,Chelmsford,Essex,CM1
True,,8,Galleywood Common Blackberries,Wild Foraging,fruits,berries,51.702,0.465,Extensive common brambles.,The scrubland around the old racecourse is one of the best spots for huge blackberry yields.,8;9,https://images.unsplash.com/photo-1464306208223-e0b4495a5553?w=512&q=80,blackberries,26,0,0,,berry.horse.track,Summer,,http://googleusercontent.com/maps.google.com/che8,Margaretting Road,Galleywood,Chelmsford,Essex,CM2
True,,9,Chelmer & Blackwater Sloes,Wild Foraging,fruits,hedgerow-fruit,51.745,0.525,Canal-side blackthorn.,The towpath heading towards Sandford Mill is lined with blackthorn bushes (sloes).,10;11,https://images.unsplash.com/photo-1441974231531-c6227db76b6e?w=512&q=80,sloes,14,0,0,,water.sloe.gin,Autumn,,http://googleusercontent.com/maps.google.com/che9,Sandford Mill Lane,Chelmsford,Springfield,Essex,CM2
True,,10,Melbourne Edible Planters,Incredible Edible,vegetables,street-planters,51.752,0.448,Estate herb project.,"Public planters near the local shops featuring kale, chives, and occasional strawberry plants.",5;6;7;8,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"kale, herbs",9,0,0,,grow.local.melbourne,Summer,,http://googleusercontent.com/maps.google.com/che10,Melbourne Avenue,Chelmsford,Melbourne,Essex,CM1
