approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,1,Midwinter Community Orchard,Community Orchard,fruits,tree-fruits,51.905,-2.095,A well-established community orchard located near the Midwinter allotments ...,"A well-established community orchard located near the Midwinter allotments featuring various apple, pear, and plum varieties.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.905,-2.095",Cheltenham,Cheltenham,Cheltenham,Gloucestershire,GL51 9NX
True,,2,Incredible Edible Cheltenham (St Paul's),Urban Foraging,vegetables,street-planters,51.908,-2.078,"Community planters across the St Paul's area featuring free herbs, salads, ...","Community planters across the St Paul's area featuring free herbs, salads, and seasonal greens for local residents.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.908,-2.078",Cheltenham,Cheltenham,Cheltenham,Gloucestershire,GL50 4EZ
True,,3,Honeybourne Line Foraging Trail,Public Path,wild,mixed-forage,51.902,-2.088,A former railway line turned active travel corridor acting as a continuous ...,A former railway line turned active travel corridor acting as a continuous 'wild hedgerow' with elderberries and blackberries.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.902,-2.088",Cheltenham,Cheltenham,Cheltenham,Gloucestershire,GL51 8JP
True,,4,Leckhampton Hill Foraging,Nature Reserve,wild,woodland,51.872,-2.065,"Ancient woodland and Cotswold edge trails offering hazelnuts, sweet chestnu...","Ancient woodland and Cotswold edge trails offering hazelnuts, sweet chestnuts, and autumn berries.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.872,-2.065",Cheltenham,Cheltenham,Cheltenham,Gloucestershire,GL53 9QG
True,,5,Hesters Way Community Orchard,Community Orchard,fruits,tree-fruits,51.902,-2.115,Managed fruit trees located within the Hesters Way community area open for ...,Managed fruit trees located within the Hesters Way community area open for public harvesting.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.902,-2.115",Cheltenham,Cheltenham,Cheltenham,Gloucestershire,GL51 0DA
True,,6,Pittville Park Edible Edges,Public Park,wild,mixed-forage,51.912,-2.072,"Large urban park with peripheral wooded areas providing elderflowers, berri...","Large urban park with peripheral wooded areas providing elderflowers, berries, and occasional fruit trees.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.912,-2.072",Cheltenham,Cheltenham,Cheltenham,Gloucestershire,GL52 2BP
True,,7,Incredible Edible Cheltenham (The Suffolks),Urban Foraging,vegetables,street-planters,51.892,-2.078,Raised beds and planters in The Suffolks area featuring free culinary herbs...,Raised beds and planters in The Suffolks area featuring free culinary herbs and edible perennials.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.892,-2.078",Cheltenham,Cheltenham,Cheltenham,Gloucestershire,GL50 2AY
True,,8,River Chelt Path Foraging,Public Path,wild,river-forage,51.888,-2.052,Riverside path through Sandford Park and Charlton Kings offering wild garli...,Riverside path through Sandford Park and Charlton Kings offering wild garlic (spring) and blackberries (autumn).,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.888,-2.052",Cheltenham,Cheltenham,Cheltenham,Gloucestershire,GL53 7AS
True,,9,Cleeve Hill Boundary Trails,Nature Reserve,wild,mixed-forage,51.932,-2.035,"Public rights of way on the edge of the hill with abundant blackberries, sl...","Public rights of way on the edge of the hill with abundant blackberries, sloes, and hawthorn berries.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.932,-2.035",Southam,Southam,Southam,Gloucestershire,GL52 3PX
True,,10,Incredible Edible Cheltenham (Springbank),Urban Foraging,vegetables,street-planters,51.912,-2.128,Community growing spots in the Springbank area providing free herbs and sea...,Community growing spots in the Springbank area providing free herbs and seasonal vegetables.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.912,-2.128",Cheltenham,Cheltenham,Cheltenham,Gloucestershire,GL51 0LT
