approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
TRUE,,1,Incredible Edible Wilmslow (Station Planters),Incredible Edible,vegetables,urban-growing,53.33,-2.228,Incredible Edible Wilmslow (Station Planters) in Cheshire.,"A location in Cheshire for community growing or wild foraging, from the Dee Estuary to Delamere Forest.",6;7;8;9,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"incredible edible, cheshire, foraging, community",0,0,0,,,Summer,,,Wilmslow,Wilmslow,Wilmslow,Cheshire,SK9 1BU
TRUE,,2,Chester Community Orchard (Little Roodee),Community Orchard,fruits,tree-fruits,53.185,-2.892,Chester Community Orchard (Little Roodee) in Cheshire.,"A location in Cheshire for community growing or wild foraging, from the Dee Estuary to Delamere Forest.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, cheshire, foraging, community",0,0,0,,,Summer/Autumn,,,Chester,Chester,Chester,Cheshire,CH1 1SL
TRUE,,3,Incredible Edible Handforth,Incredible Edible,herbs,urban-growing,53.345,-2.22,Incredible Edible Handforth in Cheshire.,"A location in Cheshire for community growing or wild foraging, from the Dee Estuary to Delamere Forest.",6;7;8;9,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"incredible edible, cheshire, foraging, community",0,0,0,,,Summer,,,Handforth,Handforth,Handforth,Cheshire,SK9 3AB
TRUE,,4,Macclesfield Community Garden,Community Garden,vegetables,urban-growing,53.258,-2.125,Macclesfield Community Garden in Cheshire.,"A location in Cheshire for community growing or wild foraging, from the Dee Estuary to Delamere Forest.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community garden, cheshire, foraging, community",0,0,0,,,Summer/Autumn,,,Macclesfield,Macclesfield,Macclesfield,Cheshire,SK11 6UT
TRUE,,5,Incredible Edible Crewe,Incredible Edible,vegetables,urban-growing,53.098,-2.44,Incredible Edible Crewe in Cheshire.,"A location in Cheshire for community growing or wild foraging, from the Dee Estuary to Delamere Forest.",6;7;8;9,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"incredible edible, cheshire, foraging, community",0,0,0,,,Summer,,,Crewe,Crewe,Crewe,Cheshire,CW1 2AJ
TRUE,,6,Northwich Community Orchard,Community Orchard,fruits,tree-fruits,53.262,-2.515,Northwich Community Orchard in Cheshire.,"A location in Cheshire for community growing or wild foraging, from the Dee Estuary to Delamere Forest.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, cheshire, foraging, community",0,0,0,,,Summer/Autumn,,,Northwich,Northwich,Northwich,Cheshire,CW9 5QJ
TRUE,,7,Incredible Edible Prestbury,Incredible Edible,herbs,urban-growing,53.292,-2.145,Incredible Edible Prestbury in Cheshire.,"A location in Cheshire for community growing or wild foraging, from the Dee Estuary to Delamere Forest.",6;7;8;9,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"incredible edible, cheshire, foraging, community",0,0,0,,,Summer,,,Prestbury,Prestbury,Prestbury,Cheshire,SK10 4DG
TRUE,,8,Winsford Community Orchard,Community Orchard,fruits,tree-fruits,53.195,-2.525,Winsford Community Orchard in Cheshire.,"A location in Cheshire for community growing or wild foraging, from the Dee Estuary to Delamere Forest.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, cheshire, foraging, community",0,0,0,,,Summer/Autumn,,,Winsford,Winsford,Winsford,Cheshire,CW7 2AS
TRUE,,9,Incredible Edible Bollington,Incredible Edible,fruits,urban-growing,53.298,-2.105,Incredible Edible Bollington in Cheshire.,"A location in Cheshire for community growing or wild foraging, from the Dee Estuary to Delamere Forest.",6;7;8;9,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"incredible edible, cheshire, foraging, community",0,0,0,,,Summer,,,Bollington,Bollington,Bollington,Cheshire,SK10 5PW
TRUE,,10,Nantwich Edible Border,Incredible Edible,herbs,urban-growing,53.065,-2.522,Nantwich Edible Border in Cheshire.,"A location in Cheshire for community growing or wild foraging, from the Dee Estuary to Delamere Forest.",6;7;8;9,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"incredible edible, cheshire, foraging, community",0,0,0,,,Summer,,,Nantwich,Nantwich,Nantwich,Cheshire,CW5 5ED
