approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,1,Castle Park Orchard,Community Orchard,fruits,tree-fruits,51.892,0.905,Heritage fruit in the shadow of the Castle.,Established apple and pear trees are located in the lower park area near the Roman wall and river.,8;9;10,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"apples, pears",52,0,0,,walls.fruit.ripe,Autumn,,http://googleusercontent.com/maps.google.com/col1,High Street,Colchester,Town Centre,Essex,CO1
True,,2,Cudmore Grove Samphire,Coastal Foraging,vegetables,coastal-greens,51.795,1.042,Estuary greens on Mersea Island.,The salt marshes here are a prime spot for gathering marsh samphire and sea aster (ensure you check tide times).,6;7;8,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,"samphire, sea aster",64,0,0,,salt.marsh.greens,Summer,,http://googleusercontent.com/maps.google.com/col2,Bromans Lane,East Mersea,Mersea Island,Essex,CO5
True,,3,Incredible Edible Colchester - St Botolph's,Incredible Edible,vegetables,street-planters,51.888,0.902,Urban planters in the creative quarter.,"Community-maintained planters near the station and priory ruins featuring herbs, chard, and kale.",5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"herbs, kale",31,0,0,,grow.share.priory,Summer,,http://googleusercontent.com/maps.google.com/col3,St Botolph's Circus,Colchester,Town Centre,Essex,CO2
True,,4,High Woods Country Park Sweet Chestnuts,Wild Foraging,nuts,woodland-nuts,51.908,0.912,Ancient woodland nut gathering.,Large mature sweet chestnut trees are found throughout the ancient woodland sections of the park.,10;11,https://images.unsplash.com/photo-1543362906-acfc16c67564?w=512&q=80,chestnuts,48,0,0,,trees.nut.gather,Autumn,,http://googleusercontent.com/maps.google.com/col4,Turner Road,Colchester,Highwoods,Essex,CO4
True,,5,The Hythe Elder & Blackberries,Wild Foraging,fruits,berries,51.882,0.925,Riverside scrubland bounty.,The Colne riverside paths near the old port area are heavy with elder and blackberries.,6;8;9,https://images.unsplash.com/photo-1464306208223-e0b4495a5553?w=512&q=80,"elder, blackberries",22,0,0,,river.berry.port,Summer/Autumn,,http://googleusercontent.com/maps.google.com/col5,Hythe Quay,Colchester,The Hythe,Essex,CO2
True,,6,Wivenhoe Trail Sloes,Wild Foraging,fruits,hedgerow-fruit,51.872,0.945,Blackthorn on the railway path.,The trail connecting Colchester to Wivenhoe is lined with blackthorn bushes (sloes) and wild plum.,8;9;10;11,https://images.unsplash.com/photo-1441974231531-c6227db76b6e?w=512&q=80,"sloes, wild plum",29,0,0,,trail.sloe.gin,Autumn,,http://googleusercontent.com/maps.google.com/col6,Wivenhoe Trail,Colchester/Wivenhoe,Colne Valley,Essex,CO7
True,,7,Gosbecks Archaeological Park Walnuts,Wild Foraging,nuts,woodland-nuts,51.868,0.865,Ancient landscape nut trees.,Walnut trees can be found along the hedgerows bordering the Roman temple site.,9;10,https://images.unsplash.com/photo-1543362906-acfc16c67564?w=512&q=80,walnuts,17,0,0,,temple.nut.field,Autumn,,http://googleusercontent.com/maps.google.com/col7,Gosbecks Road,Colchester,Stanway,Essex,CO3
True,,8,Roman River Wild Garlic,Wild Foraging,vegetables,wild-greens,51.855,0.885,Wooded valley ramsons.,The valley floor of the Roman River (near Friday Woods) is carpeted with wild garlic in spring.,3;4;5,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,garlic,41,0,0,,river.garlic.shade,Spring,,http://googleusercontent.com/maps.google.com/col8,Bounstead Road,Colchester,Friday Woods,Essex,CO2
True,,9,Lexden Springs Rosehips,Wild Foraging,fruits,hedgerow-fruit,51.888,0.868,Wild rose on the meadow fringe.,The nature reserve hedgerows provide a good harvest of rosehips and haws.,9;10,https://images.unsplash.com/photo-1441974231531-c6227db76b6e?w=512&q=80,"rosehips, haws",12,0,0,,rose.spring.view,Autumn,,http://googleusercontent.com/maps.google.com/col9,Lexden Road,Colchester,Lexden,Essex,CO3
True,,10,Hilly Fields Orchard,Community Orchard,fruits,tree-fruits,51.895,0.885,Community fruit project.,A mix of apple and cherry trees planted for community use on this local nature reserve.,7;8;9,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"apples, cherries",25,0,0,,hill.fruit.share,Summer/Autumn,,http://googleusercontent.com/maps.google.com/col10,Sussex Road,Colchester,Lexden,Essex,CO3
True,,11,Berechurch Hall Hazelnuts,Wild Foraging,nuts,woodland-nuts,51.862,0.908,Hazels in the south of the city.,Public footpaths bordering the military land and wooded fringes are rich with hazel trees.,9;10,https://images.unsplash.com/photo-1507750545-0909477b819e?w=512&q=80,hazelnuts,14,0,0,,hazel.army.path,Autumn,,http://googleusercontent.com/maps.google.com/col11,Berechurch Hall Road,Colchester,Monkwick,Essex,CO2
True,,12,Brightlingsea Sea Beet,Coastal Foraging,vegetables,coastal-greens,51.812,1.025,Coastal spinach by the creek.,Sea beet grows abundantly on the shingle and sea walls near the promenade.,3;4;5;6;7;8,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,sea beet,18,0,0,,creek.beet.salty,Spring/Summer,,http://googleusercontent.com/maps.google.com/col12,Promenade,Brightlingsea,Colchester Fringe,Essex,CO7
True,,13,Abbey Field Elder,Wild Foraging,fruits,berries,51.878,0.898,Large urban elder bushes.,The perimeter of this massive open space is dotted with elder bushes for flowers and berries.,6;9,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,elder,15,0,0,,field.elder.bloom,Summer/Autumn,,http://googleusercontent.com/maps.google.com/col13,Circular Road South,Colchester,Abbey Field,Essex,CO2
True,,14,Greenstead Edible Planters,Incredible Edible,vegetables,street-planters,51.892,0.932,Estate herb project.,Raised beds near the local community hub featuring culinary herbs and seasonal vegetables.,5;6;7;8,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"herbs, veg",11,0,0,,estate.green.grow,Summer,,http://googleusercontent.com/maps.google.com/col14,Hawthorn Avenue,Colchester,Greenstead,Essex,CO4
