approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,1,Durham City Community Orchard,Community Orchard,fruits,tree-fruits,54.778,-1.575,Located at Sands Field. Features traditional northern apple varieties and p...,Located at Sands Field. Features traditional northern apple varieties and pears for public picking.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham054.778,-1.575",Durham,Durham,Durham,County Durham,DH1 3RE
True,,2,Incredible Edible Durham,Urban Foraging,vegetables,street-planters,54.772,-1.582,Community planters at St Margaret's Church and surrounding streets with her...,Community planters at St Margaret's Church and surrounding streets with herbs and seasonal veg.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham054.772,-1.582",Durham,Durham,Durham,County Durham,DH1 4PW
True,,3,Seaham Coastal Path,Coastal Foraging,wild,coastal,54.835,-1.325,"Coastal cliffs offering wild sea cabbage, sea beet, and rock samphire in su...","Coastal cliffs offering wild sea cabbage, sea beet, and rock samphire in summer.",,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham054.835,-1.325",Seaham,Seaham,Seaham,County Durham,SR7 7AF
True,,4,Hamsterley Forest Foraging,Woodland,wild,woodland,54.658,-1.915,"Extensive forest trails with bilberries (whortleberries), raspberries, and ...","Extensive forest trails with bilberries (whortleberries), raspberries, and seasonal fungi.",,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham054.658,-1.915",Hamsterley,Hamsterley,Hamsterley,County Durham,DL13 3NL
True,,5,Bishop Auckland Community Orchard,Community Orchard,fruits,tree-fruits,54.662,-1.678,Located at Woodhouse Close. A local resource for fresh apples and plums.,Located at Woodhouse Close. A local resource for fresh apples and plums.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham054.662,-1.678",Bishop Auckland,Bishop Auckland,Bishop Auckland,County Durham,DL14 7JR
True,,6,Incredible Edible Darlington,Urban Foraging,vegetables,street-planters,54.525,-1.555,Public planters in the town center and South Park with free herbs and green...,Public planters in the town center and South Park with free herbs and greens.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham054.525,-1.555",Darlington,Darlington,Darlington,County Durham,DL1 5RE
True,,7,Durham University Botanic Garden Edges,Public Path,wild,hedgerow,54.762,-1.572,"Public boundary paths with elderberries, blackberries, and wild fruit trees...","Public boundary paths with elderberries, blackberries, and wild fruit trees.",,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham054.762,-1.572",Durham,Durham,Durham,County Durham,DH1 3TN
True,,8,Crimdon Dene Coastal Edges,Nature Reserve,wild,coastal,54.728,-1.275,Coastal dunes support wild radish and coastal berries.,Coastal dunes support wild radish and coastal berries.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham054.728,-1.275",Crimdon,Crimdon,Crimdon,County Durham,TS27 4BN
True,,9,Consett Incredible Edible,Urban Foraging,vegetables,street-planters,54.852,-1.828,Community growing spots in public spaces for free vegetables and herbs.,Community growing spots in public spaces for free vegetables and herbs.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham054.852,-1.828",Consett,Consett,Consett,County Durham,DH8 5AG
True,,10,River Wear Riverside Path,Public Footpath,wild,river-forage,54.781,-1.568,Riverside foraging for wild garlic in spring and blackberries in autumn.,Riverside foraging for wild garlic in spring and blackberries in autumn.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham054.781,-1.568",Durham,Durham,Durham,County Durham,DH1 3NP
