approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,1,War Memorial Park Orchard,Community Orchard,fruits,tree-fruits,52.396,-1.522,Heritage fruit trees in Coventry's premier park.,A selection of apple and pear trees available for public picking near the cafe area.,8;9;10,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"apples, pears",18,0,0,,,Autumn,,http://googleusercontent.com/maps.google.com/cov1,Kenilworth Road,Coventry,Earlsdon,West Midlands,CV3
True,,2,Sherbourne River Path Wild Garlic,Riparian Foraging,vegetables,wild-greens,52.408,-1.528,Wild garlic along the river banks.,"As Coventry is landlocked, coastal foraging is replaced by riverbank greens like Ramsons (wild garlic).",3;4;5,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,garlic,22,0,0,,,Spring,,http://googleusercontent.com/maps.google.com/cov2,Spon End,Coventry,Spon End,West Midlands,CV1
True,,3,Coombe Abbey Hazelnuts,Wild Foraging,nuts,woodland-nuts,52.411,-1.423,Extensive woodland for nut gathering.,Hazel trees are abundant in the wilder wooded perimeter of the country park.,9;10,https://images.unsplash.com/photo-1507750545-0909477b819e?w=512&q=80,hazelnuts,35,0,0,,,Autumn,,http://googleusercontent.com/maps.google.com/cov3,Brinklow Road,Coventry,Binley,Warwickshire,CV3
True,,4,Incredible Edible Fargo Village,Incredible Edible,vegetables,street-planters,52.407,-1.498,Creative urban herb planters.,"Planters around the independent hub containing rosemary, mint, and edible flowers.",5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,herbs,42,0,0,,,Summer,,http://googleusercontent.com/maps.google.com/cov4,Far Gosford Street,Coventry,City Centre,West Midlands,CV1
True,,5,Allesley Park Walled Garden,Community Orchard,fruits,tree-fruits,52.415,-1.558,Historic fruit trees in a walled setting.,Community-run orchard with heavy-cropping apple trees open to the public.,8;9;10,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,apples,29,0,0,,,Autumn,,http://googleusercontent.com/maps.google.com/cov5,Allesley Hall Drive,Coventry,Allesley,West Midlands,CV5
True,,6,Canley Ford Blackberries,Wild Foraging,fruits,berries,52.392,-1.538,Abundant brambles in a nature reserve.,Large crops of blackberries line the paths through the meadows and wooded edges.,8;9,https://images.unsplash.com/photo-1464306208223-e0b4495a5553?w=512&q=80,blackberries,15,0,0,,,Summer/Autumn,,http://googleusercontent.com/maps.google.com/cov6,Canley Ford,Coventry,Canley,West Midlands,CV4
True,,7,Lake View Park Elder,Wild Foraging,fruits,berries,52.412,-1.542,Elderberry and flower picking.,Multiple elder trees grow along the boundary hedgerows of the park.,6;9,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,elder,8,0,0,,,Summer/Autumn,,http://googleusercontent.com/maps.google.com/cov7,Lake View Road,Coventry,Coundon,West Midlands,CV5
True,,8,Coventry Canal Basin Herbs,Incredible Edible,vegetables,street-planters,52.414,-1.509,Planters along the historic canal side.,"Community planters at the basin often contain chives, parsley, and thyme.",5;6;7;8,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,herbs,11,0,0,,,Summer,,http://googleusercontent.com/maps.google.com/cov8,Leicester Row,Coventry,City Centre,West Midlands,CV1
True,,9,Tile Hill Wood Chestnuts,Wild Foraging,nuts,woodland-nuts,52.398,-1.574,Ancient sweet chestnut gathering.,Scattered sweet chestnut trees are found in this historic woodland site.,10;11,https://images.unsplash.com/photo-1543362906-acfc16c67564?w=512&q=80,chestnuts,26,0,0,,,Autumn,,http://googleusercontent.com/maps.google.com/cov9,Hawthorne Lane,Coventry,Tile Hill,West Midlands,CV4
True,,10,Stoke Floods Sloes,Wild Foraging,fruits,hedgerow-fruit,52.402,-1.468,Blackthorn bushes near the nature reserve.,Excellent spot for picking sloes for gin in the late autumn months.,10;11,https://images.unsplash.com/photo-1441974231531-c6227db76b6e?w=512&q=80,sloes,13,0,0,,,Autumn,,http://googleusercontent.com/maps.google.com/cov10,Mayflower Drive,Coventry,Stoke,West Midlands,CV2
True,,11,Longford Park Fruit Trail,Community Orchard,fruits,tree-fruits,52.449,-1.488,Urban parkland fruit trees.,Part of a green corridor featuring newly planted and established fruit trees.,8;9,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,apples,17,0,0,,,Autumn,,http://googleusercontent.com/maps.google.com/cov11,Longford Road,Coventry,Longford,West Midlands,CV6
True,,12,Gosford Green Elderberries,Wild Foraging,fruits,berries,52.408,-1.489,Elder shrubs on the green.,Central urban green space with several large elder bushes near the periphery.,6;9,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,elder,6,0,0,,,Summer/Autumn,,http://googleusercontent.com/maps.google.com/cov12,Binley Road,Coventry,Stoke,West Midlands,CV3
True,,13,Quinton Park Walnuts,Wild Foraging,nuts,woodland-nuts,52.385,-1.505,Public walnut trees.,Mature walnut trees can be found around the lake area in this suburban park.,9;10,https://images.unsplash.com/photo-1543362906-acfc16c67564?w=512&q=80,walnuts,12,0,0,,,Autumn,,http://googleusercontent.com/maps.google.com/cov13,Quinton Road,Coventry,Cheylesmore,West Midlands,CV3
