approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,1,Worth Park Community Orchard,Community Orchard,fruits,tree-fruits,51.115,-0.162,Historic orchard within Worth Park (Milton Mount). Features Sussex apple va...,Historic orchard within Worth Park (Milton Mount). Features Sussex apple varieties like 'Crawley Beauty'.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.115,-0.162",Crawley,Crawley,Crawley,West Sussex,RH10 3BZ
True,,2,Incredible Edible Crawley (Station),Urban Foraging,vegetables,street-planters,51.112,-0.188,Community planters near Crawley station with free-to-pick herbs and seasona...,Community planters near Crawley station with free-to-pick herbs and seasonal vegetables.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.112,-0.188",Crawley,Crawley,Crawley,West Sussex,RH10 1UZ
True,,3,Tilgate Park Foraging,Public Park,wild,woodland,51.095,-0.185,"Large parkland offering elderberries, blackberries, and wild garlic. Wooded...","Large parkland offering elderberries, blackberries, and wild garlic. Wooded areas contain hazelnuts.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.095,-0.185",Crawley,Crawley,Crawley,West Sussex,RH10 5PQ
True,,4,Broadfield Park Orchard,Community Orchard,fruits,tree-fruits,51.098,-0.212,Small orchard space within the park managed for community access to fruit.,Small orchard space within the park managed for community access to fruit.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.098,-0.212",Crawley,Crawley,Crawley,West Sussex,RH11 9RZ
True,,5,Goffs Park Foraging,Public Park,wild,mixed-forage,51.112,-0.202,Boundary paths with elder and hawthorn berries. Seasonal fruit trees found ...,Boundary paths with elder and hawthorn berries. Seasonal fruit trees found in the wider park landscape.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.112,-0.202",Crawley,Crawley,Crawley,West Sussex,RH11 8PE
True,,6,Incredible Edible Crawley (Town Centre),Urban Foraging,vegetables,street-planters,51.115,-0.192,Public planters in the pedestrianised town centre featuring herbs and edibl...,Public planters in the pedestrianised town centre featuring herbs and edible flowers.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.115,-0.192",Crawley,Crawley,Crawley,West Sussex,RH10 1EE
True,,7,Buchan Country Park Foraging,Nature Reserve,wild,woodland,51.092,-0.225,"Heathland and woodland offering blackberries, sloes, and sweet chestnuts in...","Heathland and woodland offering blackberries, sloes, and sweet chestnuts in autumn.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.092,-0.225",Crawley,Crawley,Crawley,West Sussex,RH11 9HQ
True,,8,Ifield Mill Pond Edges,Public Path,wild,mixed-forage,51.118,-0.222,"Lakeside trails with wild mint, elderberries, and blackberries along the If...","Lakeside trails with wild mint, elderberries, and blackberries along the Ifield path.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.118,-0.222",Crawley,Crawley,Crawley,West Sussex,RH11 0JY
True,,9,Incredible Edible Crawley (Broadfield),Urban Foraging,vegetables,street-planters,51.095,-0.215,Community growing spots in the Broadfield neighborhood area providing free ...,Community growing spots in the Broadfield neighborhood area providing free food.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.095,-0.215",Crawley,Crawley,Crawley,West Sussex,RH11 9BA
True,,10,Willoughby West Foraging,Nature Reserve,wild,mixed-forage,51.102,-0.195,Green space near the broadfield brook with wild garlic and seasonal berries...,Green space near the broadfield brook with wild garlic and seasonal berries.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.102,-0.195",Crawley,Crawley,Crawley,West Sussex,RH11 7XQ
True,,11,Bewbush Water Gardens Edges,Public Path,wild,mixed-forage,51.108,-0.232,Public paths through the water gardens with abundant elderberry and hawthor...,Public paths through the water gardens with abundant elderberry and hawthorn.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.108,-0.232",Crawley,Crawley,Crawley,West Sussex,RH11 8XW
