approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
TRUE,,1,Carlisle Community Orchard,Community Orchard,fruits,tree-fruits,54.892,-2.932,Carlisle Community Orchard in Cumberland.,"A location in Cumberland for community growing or wild foraging, from the Solway Firth to the Lake District Fells.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, cumberland, foraging, community",0,0,0,,,Summer/Autumn,,,Carlisle,Carlisle,Carlisle,Cumberland,CA1 2RW
TRUE,,2,Incredible Edible Penrith (Station),Incredible Edible,vegetables,urban-growing,54.662,-2.758,Incredible Edible Penrith (Station) in Cumberland.,"A location in Cumberland for community growing or wild foraging, from the Solway Firth to the Lake District Fells.",6;7;8;9,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"incredible edible, cumberland, foraging, community",0,0,0,,,Summer,,,Penrith,Penrith,Penrith,Cumberland,CA11 7JQ
TRUE,,3,Whitehaven Edible Garden,Community Garden,herbs,urban-growing,54.548,-3.585,Whitehaven Edible Garden in Cumberland.,"A location in Cumberland for community growing or wild foraging, from the Solway Firth to the Lake District Fells.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community garden, cumberland, foraging, community",0,0,0,,,Summer/Autumn,,,Whitehaven,Whitehaven,Whitehaven,Cumberland,CA28 7LB
TRUE,,4,Incredible Edible Wigton,Incredible Edible,vegetables,urban-growing,54.825,-3.158,Incredible Edible Wigton in Cumberland.,"A location in Cumberland for community growing or wild foraging, from the Solway Firth to the Lake District Fells.",6;7;8;9,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"incredible edible, cumberland, foraging, community",0,0,0,,,Summer,,,Wigton,Wigton,Wigton,Cumberland,CA7 9NJ
TRUE,,5,Workington Community Orchard,Community Orchard,fruits,tree-fruits,54.642,-3.545,Workington Community Orchard in Cumberland.,"A location in Cumberland for community growing or wild foraging, from the Solway Firth to the Lake District Fells.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, cumberland, foraging, community",0,0,0,,,Summer/Autumn,,,Workington,Workington,Workington,Cumberland,CA14 2HA
TRUE,,6,Incredible Edible Keswick,Incredible Edible,herbs,urban-growing,54.601,-3.135,Incredible Edible Keswick in Cumberland.,"A location in Cumberland for community growing or wild foraging, from the Solway Firth to the Lake District Fells.",6;7;8;9,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"incredible edible, cumberland, foraging, community",0,0,0,,,Summer,,,Keswick,Keswick,Keswick,Cumberland,CA12 5JR
TRUE,,7,Cockermouth Community Orchard,Community Orchard,fruits,tree-fruits,54.662,-3.365,Cockermouth Community Orchard in Cumberland.,"A location in Cumberland for community growing or wild foraging, from the Solway Firth to the Lake District Fells.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, cumberland, foraging, community",0,0,0,,,Summer/Autumn,,,Cockermouth,Cockermouth,Cockermouth,Cumberland,CA13 9HS
TRUE,,8,Maryport Edible Planters,Incredible Edible,vegetables,urban-growing,54.715,-3.495,Maryport Edible Planters in Cumberland.,"A location in Cumberland for community growing or wild foraging, from the Solway Firth to the Lake District Fells.",6;7;8;9,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"incredible edible, cumberland, foraging, community",0,0,0,,,Summer,,,Maryport,Maryport,Maryport,Cumberland,CA15 6EL
TRUE,,9,Aspatria Community Fruit Trees,Community Orchard,fruits,tree-fruits,54.762,-3.332,Aspatria Community Fruit Trees in Cumberland.,"A location in Cumberland for community growing or wild foraging, from the Solway Firth to the Lake District Fells.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, cumberland, foraging, community",0,0,0,,,Summer/Autumn,,,Aspatria,Aspatria,Aspatria,Cumberland,CA7 3AR
TRUE,,10,Dalston Edible Village,Incredible Edible,herbs,urban-growing,54.845,-2.985,Dalston Edible Village in Cumberland.,"A location in Cumberland for community growing or wild foraging, from the Solway Firth to the Lake District Fells.",6;7;8;9,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"incredible edible, cumberland, foraging, community",0,0,0,,,Summer,,,Dalston,Dalston,Dalston,Cumberland,CA5 7PJ
TRUE,,11,Silloth Community Orchard,Community Orchard,fruits,tree-fruits,54.868,-3.385,Silloth Community Orchard in Cumberland.,"A location in Cumberland for community growing or wild foraging, from the Solway Firth to the Lake District Fells.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, cumberland, foraging, community",0,0,0,,,Summer/Autumn,,,Silloth,Silloth,Silloth,Cumberland,CA7 4AB
TRUE,,12,Brampton Edible Trail,Incredible Edible,vegetables,urban-growing,54.942,-2.732,Brampton Edible Trail in Cumberland.,"A location in Cumberland for community growing or wild foraging, from the Solway Firth to the Lake District Fells.",6;7;8;9,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"incredible edible, cumberland, foraging, community",0,0,0,,,Summer,,,Brampton,Brampton,Brampton,Cumberland,CA8 1AL
TRUE,,13,Egremont Community Orchard,Community Orchard,fruits,tree-fruits,54.482,-3.528,Egremont Community Orchard in Cumberland.,"A location in Cumberland for community growing or wild foraging, from the Solway Firth to the Lake District Fells.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, cumberland, foraging, community",0,0,0,,,Summer/Autumn,,,Egremont,Egremont,Egremont,Cumberland,CA22 2AE
TRUE,,14,Cleator Moor Edible Garden,Community Garden,vegetables,urban-growing,54.522,-3.515,Cleator Moor Edible Garden in Cumberland.,"A location in Cumberland for community growing or wild foraging, from the Solway Firth to the Lake District Fells.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community garden, cumberland, foraging, community",0,0,0,,,Summer/Autumn,,,Cleator Moor,Cleator Moor,Cleator Moor,Cumberland,CA25 5AR
TRUE,,15,Longtown Community Trees,Community Orchard,fruits,tree-fruits,55.008,-2.972,Longtown Community Trees in Cumberland.,"A location in Cumberland for community growing or wild foraging, from the Solway Firth to the Lake District Fells.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, cumberland, foraging, community",0,0,0,,,Summer/Autumn,,,Longtown,Longtown,Longtown,Cumberland,CA6 5UJ
TRUE,,16,St Bees Community Orchard,Community Orchard,fruits,tree-fruits,54.492,-3.595,St Bees Community Orchard in Cumberland.,"A location in Cumberland for community growing or wild foraging, from the Solway Firth to the Lake District Fells.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, cumberland, foraging, community",0,0,0,,,Summer/Autumn,,,St Bees,St Bees,St Bees,Cumberland,CA27 0EY
TRUE,,17,Millom Edible Planters,Incredible Edible,herbs,urban-growing,54.212,-3.268,Millom Edible Planters in Cumberland.,"A location in Cumberland for community growing or wild foraging, from the Solway Firth to the Lake District Fells.",6;7;8;9,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"incredible edible, cumberland, foraging, community",0,0,0,,,Summer,,,Millom,Millom,Millom,Cumberland,LA18 4AF
TRUE,,18,Dearham Community Fruit,Community Orchard,fruits,tree-fruits,54.718,-3.435,Dearham Community Fruit in Cumberland.,"A location in Cumberland for community growing or wild foraging, from the Solway Firth to the Lake District Fells.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, cumberland, foraging, community",0,0,0,,,Summer/Autumn,,,Dearham,Dearham,Dearham,Cumberland,CA15 7JR
TRUE,,19,Solway Firth Sea Beet,Foraging,vegetables,coastal,54.885,-3.325,Solway Firth Sea Beet in Cumberland.,"A location in Cumberland for community growing or wild foraging, from the Solway Firth to the Lake District Fells.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, cumberland, foraging, community",0,0,0,,,Summer/Autumn,,,Silloth,Silloth,Silloth,Cumberland,CA7 4BJ
TRUE,,20,St Bees Head Wild Herbs,Foraging,herbs,coastal,54.495,-3.615,St Bees Head Wild Herbs in Cumberland.,"A location in Cumberland for community growing or wild foraging, from the Solway Firth to the Lake District Fells.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, cumberland, foraging, community",0,0,0,,,Summer/Autumn,,,St Bees,St Bees,St Bees,Cumberland,CA27 0ES
TRUE,,21,Ravenglass Estuary Samphire,Foraging,vegetables,coastal,54.355,-3.412,Ravenglass Estuary Samphire in Cumberland.,"A location in Cumberland for community growing or wild foraging, from the Solway Firth to the Lake District Fells.",6;7;8,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, cumberland, foraging, community",0,0,0,,,Summer,,,Ravenglass,Ravenglass,Ravenglass,Cumberland,CA18 1SW
TRUE,,22,Allonby Beach Sea Kale,Foraging,vegetables,coastal,54.775,-3.435,Allonby Beach Sea Kale in Cumberland.,"A location in Cumberland for community growing or wild foraging, from the Solway Firth to the Lake District Fells.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, cumberland, foraging, community",0,0,0,,,Summer/Autumn,,,Allonby,Allonby,Allonby,Cumberland,CA15 6PF
TRUE,,23,Maryport Promenade Sloes,Foraging,fruits,coastal,54.722,-3.505,Maryport Promenade Sloes in Cumberland.,"A location in Cumberland for community growing or wild foraging, from the Solway Firth to the Lake District Fells.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, cumberland, foraging, community",0,0,0,,,Summer/Autumn,,,Maryport,Maryport,Maryport,Cumberland,CA15 8AD
TRUE,,24,Bowness-on-Solway Greens,Foraging,vegetables,coastal,54.952,-3.215,Bowness-on-Solway Greens in Cumberland.,"A location in Cumberland for community growing or wild foraging, from the Solway Firth to the Lake District Fells.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, cumberland, foraging, community",0,0,0,,,Summer/Autumn,,,Bowness,Bowness,Bowness,Cumberland,CA7 5AF
TRUE,,25,Seascale Dunes Berries,Foraging,fruits,coastal,54.395,-3.485,Seascale Dunes Berries in Cumberland.,"A location in Cumberland for community growing or wild foraging, from the Solway Firth to the Lake District Fells.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, cumberland, foraging, community",0,0,0,,,Summer/Autumn,,,Seascale,Seascale,Seascale,Cumberland,CA20 1PF
TRUE,,26,Workington Northside Marsh Samphire,Foraging,vegetables,coastal,54.652,-3.555,Workington Northside Marsh Samphire in Cumberland.,"A location in Cumberland for community growing or wild foraging, from the Solway Firth to the Lake District Fells.",6;7;8,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, cumberland, foraging, community",0,0,0,,,Summer,,,Workington,Workington,Workington,Cumberland,CA14 1BU
TRUE,,27,Port Carlisle Wild Garlic,Foraging,herbs,coastal,54.951,-3.185,Port Carlisle Wild Garlic in Cumberland.,"A location in Cumberland for community growing or wild foraging, from the Solway Firth to the Lake District Fells.",3;4;5,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, cumberland, foraging, community",0,0,0,,,Spring,,,Port Carlisle,Port Carlisle,Port Carlisle,Cumberland,CA7 5BU
TRUE,,28,Flimby Shore Elderberries,Foraging,fruits,coastal,54.692,-3.515,Flimby Shore Elderberries in Cumberland.,"A location in Cumberland for community growing or wild foraging, from the Solway Firth to the Lake District Fells.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, cumberland, foraging, community",0,0,0,,,Summer/Autumn,,,Flimby,Flimby,Flimby,Cumberland,CA15 8RY
TRUE,,29,Duddon Estuary Glasswort,Foraging,vegetables,coastal,54.215,-3.255,Duddon Estuary Glasswort in Cumberland.,"A location in Cumberland for community growing or wild foraging, from the Solway Firth to the Lake District Fells.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, cumberland, foraging, community",0,0,0,,,Summer/Autumn,,,Millom,Millom,Millom,Cumberland,LA18 4JS
TRUE,,30,Anthorn Marsh Greens,Foraging,vegetables,coastal,54.915,-3.265,Anthorn Marsh Greens in Cumberland.,"A location in Cumberland for community growing or wild foraging, from the Solway Firth to the Lake District Fells.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, cumberland, foraging, community",0,0,0,,,Summer/Autumn,,,Anthorn,Anthorn,Anthorn,Cumberland,CA7 5AH
TRUE,,31,Skinburness Shore Herbs,Foraging,herbs,coastal,54.885,-3.365,Skinburness Shore Herbs in Cumberland.,"A location in Cumberland for community growing or wild foraging, from the Solway Firth to the Lake District Fells.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, cumberland, foraging, community",0,0,0,,,Summer/Autumn,,,Silloth,Silloth,Silloth,Cumberland,CA7 4RA
TRUE,,32,Drigg Dunes Sea Buckthorn,Foraging,fruits,coastal,54.375,-3.445,Drigg Dunes Sea Buckthorn in Cumberland.,"A location in Cumberland for community growing or wild foraging, from the Solway Firth to the Lake District Fells.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, cumberland, foraging, community",0,0,0,,,Summer/Autumn,,,Drigg,Drigg,Drigg,Cumberland,CA19 1XQ
TRUE,,33,Bootle Station Coast Foraging,Foraging,fruits,coastal,54.275,-3.395,Bootle Station Coast Foraging in Cumberland.,"A location in Cumberland for community growing or wild foraging, from the Solway Firth to the Lake District Fells.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, cumberland, foraging, community",0,0,0,,,Summer/Autumn,,,Bootle,Bootle,Bootle,Cumberland,LA19 5UZ
TRUE,,34,Whinfell Forest (Hazelnuts),Foraging,nuts,woodland,54.635,-2.675,Whinfell Forest (Hazelnuts) in Cumberland.,"A location in Cumberland for community growing or wild foraging, from the Solway Firth to the Lake District Fells.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, cumberland, foraging, community",0,0,0,,,Summer/Autumn,,,Penrith,Penrith,Penrith,Cumberland,CA10 2DW
TRUE,,35,Borrowdale Wild Garlic,Foraging,herbs,woodland,54.525,-3.155,Borrowdale Wild Garlic in Cumberland.,"A location in Cumberland for community growing or wild foraging, from the Solway Firth to the Lake District Fells.",3;4;5,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, cumberland, foraging, community",0,0,0,,,Spring,,,Rosthwaite,Rosthwaite,Rosthwaite,Cumberland,CA12 5XG
TRUE,,36,Skiddaw Slopes (Bilberries),Foraging,fruits,upland,54.652,-3.148,Skiddaw Slopes (Bilberries) in Cumberland.,"A location in Cumberland for community growing or wild foraging, from the Solway Firth to the Lake District Fells.",7;8,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, cumberland, foraging, community",0,0,0,,,Summer,,,Keswick,Keswick,Keswick,Cumberland,CA12 4PT
TRUE,,37,Lowther Castle Boundary Fruits,Foraging,fruits,parkland,54.605,-2.725,Lowther Castle Boundary Fruits in Cumberland.,"A location in Cumberland for community growing or wild foraging, from the Solway Firth to the Lake District Fells.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, cumberland, foraging, community",0,0,0,,,Summer/Autumn,,,Lowther,Lowther,Lowther,Cumberland,CA10 2HH
TRUE,,38,Talkin Tarn Foraging Path,Foraging,fruits,parkland,54.925,-2.715,Talkin Tarn Foraging Path in Cumberland.,"A location in Cumberland for community growing or wild foraging, from the Solway Firth to the Lake District Fells.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, cumberland, foraging, community",0,0,0,,,Summer/Autumn,,,Brampton,Brampton,Brampton,Cumberland,CA8 1AT
TRUE,,39,Blencathra Bilberry Spots,Foraging,fruits,upland,54.638,-3.052,Blencathra Bilberry Spots in Cumberland.,"A location in Cumberland for community growing or wild foraging, from the Solway Firth to the Lake District Fells.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, cumberland, foraging, community",0,0,0,,,Summer/Autumn,,,Threlkeld,Threlkeld,Threlkeld,Cumberland,CA12 4SY
TRUE,,40,Greystoke Woods Nuts,Foraging,nuts,woodland,54.685,-2.875,Greystoke Woods Nuts in Cumberland.,"A location in Cumberland for community growing or wild foraging, from the Solway Firth to the Lake District Fells.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, cumberland, foraging, community",0,0,0,,,Summer/Autumn,,,Greystoke,Greystoke,Greystoke,Cumberland,CA11 0TW
TRUE,,41,Muncaster Fell Berries,Foraging,fruits,upland,54.365,-3.375,Muncaster Fell Berries in Cumberland.,"A location in Cumberland for community growing or wild foraging, from the Solway Firth to the Lake District Fells.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, cumberland, foraging, community",0,0,0,,,Summer/Autumn,,,Ravenglass,Ravenglass,Ravenglass,Cumberland,CA18 1RQ
