approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
TRUE,,1,Kendal Community Orchard (Nobles Rest),Community Orchard,fruits,tree-fruits,54.328,-2.752,Kendal Community Orchard (Nobles Rest) in Cumbria.,"A location in Cumbria for community growing or wild foraging, spanning the Lakes, the Coast, and the Eden Valley.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, cumbria, foraging, community",0,0,0,,,Summer/Autumn,,,Kendal,Kendal,Kendal,Cumbria,LA9 4RR
TRUE,,2,Incredible Edible Kendal (Planters),Incredible Edible,herbs,urban-growing,54.325,-2.748,Incredible Edible Kendal (Planters) in Cumbria.,"A location in Cumbria for community growing or wild foraging, spanning the Lakes, the Coast, and the Eden Valley.",6;7;8;9,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"incredible edible, cumbria, foraging, community",0,0,0,,,Summer,,,Kendal,Kendal,Kendal,Cumbria,LA9 4BT
TRUE,,3,Ulverston Edible Trail,Incredible Edible,vegetables,urban-growing,54.195,-3.095,Ulverston Edible Trail in Cumbria.,"A location in Cumbria for community growing or wild foraging, spanning the Lakes, the Coast, and the Eden Valley.",6;7;8;9,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"incredible edible, cumbria, foraging, community",0,0,0,,,Summer,,,Ulverston,Ulverston,Ulverston,Cumbria,LA12 7AR
TRUE,,4,Ford Park Orchard,Community Orchard,fruits,tree-fruits,54.202,-3.098,Ford Park Orchard in Cumbria.,"A location in Cumbria for community growing or wild foraging, spanning the Lakes, the Coast, and the Eden Valley.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, cumbria, foraging, community",0,0,0,,,Summer/Autumn,,,Ulverston,Ulverston,Ulverston,Cumbria,LA12 7JP
TRUE,,5,Grange-over-Sands Promenade (Sloes),Foraging,fruits,coastal,54.185,-2.905,Grange-over-Sands Promenade (Sloes) in Cumbria.,"A location in Cumbria for community growing or wild foraging, spanning the Lakes, the Coast, and the Eden Valley.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, cumbria, foraging, community",0,0,0,,,Summer/Autumn,,,Grange-over-Sands,Grange-over-Sands,Grange-over-Sands,Cumbria,LA11 6DP
TRUE,,6,Sizergh Castle Estate (Hazelnuts),Foraging,nuts,woodland,54.285,-2.772,Sizergh Castle Estate (Hazelnuts) in Cumbria.,"A location in Cumbria for community growing or wild foraging, spanning the Lakes, the Coast, and the Eden Valley.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, cumbria, foraging, community",0,0,0,,,Summer/Autumn,,,Helsington,Helsington,Helsington,Cumbria,LA8 8AE
TRUE,,7,Windermere Edible Planters,Incredible Edible,herbs,urban-growing,54.378,-2.905,Windermere Edible Planters in Cumbria.,"A location in Cumbria for community growing or wild foraging, spanning the Lakes, the Coast, and the Eden Valley.",6;7;8;9,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"incredible edible, cumbria, foraging, community",0,0,0,,,Summer,,,Windermere,Windermere,Windermere,Cumbria,LA23 1AH
TRUE,,8,Ambleside Wild Garlic (Stock Ghyll),Foraging,herbs,woodland,54.435,-2.962,Ambleside Wild Garlic (Stock Ghyll) in Cumbria.,"A location in Cumbria for community growing or wild foraging, spanning the Lakes, the Coast, and the Eden Valley.",3;4;5,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, cumbria, foraging, community",0,0,0,,,Spring,,,Ambleside,Ambleside,Ambleside,Cumbria,LA22 9AT
TRUE,,9,Fell Foot Park (Berries),Foraging,fruits,parkland,54.275,-2.952,Fell Foot Park (Berries) in Cumbria.,"A location in Cumbria for community growing or wild foraging, spanning the Lakes, the Coast, and the Eden Valley.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, cumbria, foraging, community",0,0,0,,,Summer/Autumn,,,Newby Bridge,Newby Bridge,Newby Bridge,Cumbria,LA12 8NN
TRUE,,10,Staveley Mill Yard Edibles,Incredible Edible,vegetables,urban-growing,54.375,-2.818,Staveley Mill Yard Edibles in Cumbria.,"A location in Cumbria for community growing or wild foraging, spanning the Lakes, the Coast, and the Eden Valley.",6;7;8;9,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"incredible edible, cumbria, foraging, community",0,0,0,,,Summer,,,Staveley,Staveley,Staveley,Cumbria,LA8 9LR
TRUE,,11,Scroggs Wood Hazelnuts,Foraging,nuts,woodland,54.312,-2.745,Scroggs Wood Hazelnuts in Cumbria.,"A location in Cumbria for community growing or wild foraging, spanning the Lakes, the Coast, and the Eden Valley.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, cumbria, foraging, community",0,0,0,,,Summer/Autumn,,,Kendal,Kendal,Kendal,Cumbria,LA9 5QD
