approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,1,Markeaton Park Community Orchard,Community Orchard,fruits,tree-fruits,52.932,-1.505,Large community orchard within Markeaton Park featuring various apple and p...,Large community orchard within Markeaton Park featuring various apple and pear varieties open for public harvesting.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=52.932,-1.505",Derby,Derby,Derby,Derbyshire,DE22 3BE
True,,2,Incredible Edible Derby (City Centre),Urban Foraging,vegetables,street-planters,52.922,-1.478,Community planters across the city centre with free-to-pick herbs and seaso...,Community planters across the city centre with free-to-pick herbs and seasonal vegetables.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=52.922,-1.478",Derby,Derby,Derby,Derbyshire,DE1 2BA
True,,3,Darley Park Foraging Edges,Public Park,wild,mixed-forage,52.935,-1.482,Beautiful parkland with shaded boundary paths offering wild garlic (spring)...,"Beautiful parkland with shaded boundary paths offering wild garlic (spring), elderberries, and blackberries.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=52.935,-1.482",Derby,Derby,Derby,Derbyshire,DE22 1DU
True,,4,Alvaston Park Orchard,Community Orchard,fruits,tree-fruits,52.905,-1.442,Managed fruit trees within the park grounds available for public picking.,Managed fruit trees within the park grounds available for public picking.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=52.905,-1.442",Derby,Derby,Derby,Derbyshire,DE24 8QQ
True,,5,Chaddesden Wood Foraging,Woodland,wild,woodland,52.942,-1.435,"Ancient woodland offering sweet chestnuts, hazelnuts, and wild garlic in ab...","Ancient woodland offering sweet chestnuts, hazelnuts, and wild garlic in abundance.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=52.942,-1.435",Derby,Derby,Derby,Derbyshire,DE21 6LN
True,,6,Osmaston Park Wild Edges,Public Park,wild,mixed-forage,52.895,-1.465,Boundary paths with fruit bushes and wild herbs integrated into the landsca...,Boundary paths with fruit bushes and wild herbs integrated into the landscaping.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=52.895,-1.465",Derby,Derby,Derby,Derbyshire,DE24 8VJ
True,,7,Incredible Edible Derby (Normanton),Urban Foraging,vegetables,street-planters,52.908,-1.488,Community growing spots in the Normanton area providing free vegetables and...,Community growing spots in the Normanton area providing free vegetables and herbs.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=52.908,-1.488",Derby,Derby,Derby,Derbyshire,DE23 6RL
True,,8,Great Northern Greenway Foraging,Public Path,wild,hedgerow,52.938,-1.512,"Linear trail with abundant elderberries, blackberries, and sloes along the ...","Linear trail with abundant elderberries, blackberries, and sloes along the former rail line.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=52.938,-1.512",Derby,Derby,Derby,Derbyshire,DE22 3AF
True,,9,Sinfin Moor Nature Reserve,Nature Reserve,wild,mixed-forage,52.875,-1.485,Local nature reserve known for its heavy crops of blackberries and rosehips...,Local nature reserve known for its heavy crops of blackberries and rosehips.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=52.875,-1.485",Derby,Derby,Derby,Derbyshire,DE24 3DS
True,,10,Incredible Edible Derby (Chellaston),Urban Foraging,vegetables,street-planters,52.872,-1.445,Raised beds and planters near local shops featuring culinary herbs and seas...,Raised beds and planters near local shops featuring culinary herbs and seasonal greens.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=52.872,-1.445",Derby,Derby,Derby,Derbyshire,DE73 6TU
True,,11,Elvaston Castle Estate Boundaries,Public Path,wild,mixed-forage,52.892,-1.395,"Public footpaths around the estate offering elderberries, sloes, and blackb...","Public footpaths around the estate offering elderberries, sloes, and blackberries.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=52.892,-1.395",Derby,Derby,Derby,Derbyshire,DE72 3EP
True,,12,Derwent Valley Heritage Way Foraging,Public Path,wild,river-forage,52.925,-1.472,"Riverside path through the city offering wild garlic, wild mint, and blackb...","Riverside path through the city offering wild garlic, wild mint, and blackberries.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=52.925,-1.472",Derby,Derby,Derby,Derbyshire,DE1 3AF
True,,13,Incredible Edible Derby (Spondon),Urban Foraging,vegetables,street-planters,52.922,-1.405,Public planters in the Spondon neighborhood providing free edible plants.,Public planters in the Spondon neighborhood providing free edible plants.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=52.922,-1.405",Derby,Derby,Derby,Derbyshire,DE21 7FG
True,,14,Breadsall Railway Path Foraging,Public Path,wild,hedgerow,52.948,-1.455,Old rail line with abundant blackberries and elderberries.,Old rail line with abundant blackberries and elderberries.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=52.948,-1.455",Derby,Derby,Derby,Derbyshire,DE21 4FE
True,,15,Kedleston Hall Edge Paths,Public Path,wild,mixed-forage,52.962,-1.535,Boundary paths of the estate with wild fruit trees and nut gathering areas.,Boundary paths of the estate with wild fruit trees and nut gathering areas.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=52.962,-1.535",Derby,Derby,Derby,Derbyshire,DE22 5JD
