approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,1,Exeter Community Orchard,Community Orchard,fruits,tree-fruits,50.728,-3.541,Located at St James' Park. Features a variety of Devon heritage apples like...,Located at St James' Park. Features a variety of Devon heritage apples like 'Tom Putt' and 'Pig's Snout'.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.728,-3.541",Exeter,Exeter,Exeter,Devon,EX4 1LU
True,,2,Plymouth Incredible Edible,Urban Foraging,vegetables,street-planters,50.371,-4.142,Public planters in the city center and Stonehouse area with free herbs and ...,Public planters in the city center and Stonehouse area with free herbs and seasonal vegetables.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.371,-4.142",Plymouth,Plymouth,Plymouth,Devon,PL1 1HH
True,,3,Totnes Edible Bus Stop,Urban Foraging,herbs,street-planters,50.432,-3.684,Community-maintained planters near the town bridge featuring perennial herb...,Community-maintained planters near the town bridge featuring perennial herbs and fruit bushes.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.432,-3.684",Totnes,Totnes,Totnes,Devon,TQ9 5SN
True,,4,Dartmouth Coastal Path,Coastal Foraging,wild,coastal,50.342,-3.571,"Clifftop trails with abundant wild fennel, rock samphire, and sloes in autu...","Clifftop trails with abundant wild fennel, rock samphire, and sloes in autumn.",,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.342,-3.571",Dartmouth,Dartmouth,Dartmouth,Devon,TQ6 0JN
True,,5,Teignmouth Seafront,Coastal Foraging,vegetables,coastal,50.544,-3.492,Look for sea kale and sea beet along the upper sandy edges of the beach.,Look for sea kale and sea beet along the upper sandy edges of the beach.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.544,-3.492",Teignmouth,Teignmouth,Teignmouth,Devon,TQ14 8BB
True,,6,Bideford Community Orchard,Community Orchard,fruits,tree-fruits,51.018,-4.215,Historic varieties of apples and pears for community picking in Victoria Pa...,Historic varieties of apples and pears for community picking in Victoria Park.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.018,-4.215",Bideford,Bideford,Bideford,Devon,EX39 2QN
True,,7,Barnstaple Incredible Edible,Urban Foraging,vegetables,street-planters,51.078,-4.058,Public growing spaces in the town center providing free food for local resi...,Public growing spaces in the town center providing free food for local residents.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.078,-4.058",Barnstaple,Barnstaple,Barnstaple,Devon,EX31 1TP
True,,8,Dartmoor National Park (Edges),Woodland,wild,woodland,50.598,-3.755,Abundant wild whortleberries (bilberries) on the higher moors and blackberr...,Abundant wild whortleberries (bilberries) on the higher moors and blackberries on the edges.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.598,-3.755",Bovey Tracey,Bovey Tracey,Bovey Tracey,Devon,TQ13 9JQ
True,,9,Ilfracombe Coastal Cliffs,Coastal Foraging,wild,coastal,51.211,-4.122,Excellent spot for gathering wild garlic in spring and rock samphire in sum...,Excellent spot for gathering wild garlic in spring and rock samphire in summer.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.211,-4.122",Ilfracombe,Ilfracombe,Ilfracombe,Devon,EX34 9BQ
True,,10,Newton Abbot Community Orchard,Community Orchard,fruits,tree-fruits,50.531,-3.608,Located at Courtenay Park. Features local fruit trees managed for public us...,Located at Courtenay Park. Features local fruit trees managed for public use.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.531,-3.608",Newton Abbot,Newton Abbot,Newton Abbot,Devon,TQ12 2BY
True,,11,Sidmouth Coastal Path,Coastal Foraging,wild,coastal,50.678,-3.242,Red cliffs provide a home for wild mustard and sea beet.,Red cliffs provide a home for wild mustard and sea beet.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.678,-3.242",Sidmouth,Sidmouth,Sidmouth,Devon,EX10 8RZ
True,,12,Tavistock Incredible Edible,Urban Foraging,vegetables,street-planters,50.548,-4.145,Community-led growing project in public spaces throughout the market town.,Community-led growing project in public spaces throughout the market town.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.548,-4.145",Tavistock,Tavistock,Tavistock,Devon,PL19 0AL
True,,13,Torquay Harbour Edges,Coastal Foraging,wild,coastal,50.461,-3.525,Rosemary and other Mediterranean herbs often found in public landscaping ne...,Rosemary and other Mediterranean herbs often found in public landscaping near the front.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.461,-3.525",Torquay,Torquay,Torquay,Devon,TQ1 2EL
True,,14,Exmouth Maer,Coastal Foraging,wild,coastal,50.612,-3.398,Coastal grassland with sea radish and wild carrot (autumn seeds).,Coastal grassland with sea radish and wild carrot (autumn seeds).,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.612,-3.398",Exmouth,Exmouth,Exmouth,Devon,EX8 2DB
