approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
TRUE,,1,Bridport Community Orchard,Community Orchard,fruits,tree-fruits,50.735,-2.755,Bridport Community Orchard located in Bridport.,"A location in Dorset where the community can access free food, either through managed community projects or wild foraging.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, dorset, foraging, community",0,0,0,,,Summer/Autumn,,,Bridport,Bridport,Bridport,Dorset,DT6 3RR
TRUE,,2,St. Mary's Field Orchard,Community Orchard,fruits,tree-fruits,50.728,-2.758,St. Mary's Field Orchard located in Bridport.,"A location in Dorset where the community can access free food, either through managed community projects or wild foraging.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, dorset, foraging, community",0,0,0,,,Summer/Autumn,,,Bridport,Bridport,Bridport,Dorset,DT6 3LB
TRUE,,3,Weymouth Community Orchard,Community Orchard,fruits,tree-fruits,50.621,-2.465,Weymouth Community Orchard located in Weymouth.,"A location in Dorset where the community can access free food, either through managed community projects or wild foraging.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, dorset, foraging, community",0,0,0,,,Summer/Autumn,,,Weymouth,Weymouth,Weymouth,Dorset,DT4 0RP
TRUE,,4,Borough Gardens Orchard,Community Orchard,fruits,tree-fruits,50.713,-2.442,Borough Gardens Orchard located in Dorchester.,"A location in Dorset where the community can access free food, either through managed community projects or wild foraging.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, dorset, foraging, community",0,0,0,,,Summer/Autumn,,,Dorchester,Dorchester,Dorchester,Dorset,DT1 1RG
TRUE,,5,Poundbury Edible Garden,Community Garden,fruits,mixed-produce,50.715,-2.465,Poundbury Edible Garden located in Poundbury.,"A location in Dorset where the community can access free food, either through managed community projects or wild foraging.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community garden, dorset, foraging, community",0,0,0,,,Summer/Autumn,,,Poundbury,Poundbury,Poundbury,Dorset,DT1 3RT
TRUE,,6,Incredible Edible Wimborne,Incredible Edible,fruits,urban-growing,50.801,-1.988,Incredible Edible Wimborne located in Wimborne.,"A location in Dorset where the community can access free food, either through managed community projects or wild foraging.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"incredible edible, dorset, foraging, community",0,0,0,,,Summer/Autumn,,,Wimborne,Wimborne,Wimborne,Dorset,BH21 1EB
TRUE,,7,Gillingham Community Orchard,Community Orchard,fruits,tree-fruits,51.035,-2.275,Gillingham Community Orchard located in Gillingham.,"A location in Dorset where the community can access free food, either through managed community projects or wild foraging.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, dorset, foraging, community",0,0,0,,,Summer/Autumn,,,Gillingham,Gillingham,Gillingham,Dorset,SP8 4UA
TRUE,,8,Sherborne Community Kitchen Garden,Community Garden,fruits,mixed-produce,50.948,-2.518,Sherborne Community Kitchen Garden located in Sherborne.,"A location in Dorset where the community can access free food, either through managed community projects or wild foraging.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community garden, dorset, foraging, community",0,0,0,,,Summer/Autumn,,,Sherborne,Sherborne,Sherborne,Dorset,DT9 3JP
TRUE,,9,Poole Park Edible Bed,Incredible Edible,fruits,urban-growing,50.718,-1.965,Poole Park Edible Bed located in Poole.,"A location in Dorset where the community can access free food, either through managed community projects or wild foraging.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"incredible edible, dorset, foraging, community",0,0,0,,,Summer/Autumn,,,Poole,Poole,Poole,Dorset,BH15 2SF
TRUE,,10,Bournemouth Slades Park Orchard,Community Orchard,fruits,tree-fruits,50.751,-1.905,Bournemouth Slades Park Orchard located in Bournemouth.,"A location in Dorset where the community can access free food, either through managed community projects or wild foraging.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, dorset, foraging, community",0,0,0,,,Summer/Autumn,,,Bournemouth,Bournemouth,Bournemouth,Dorset,BH10 4EP
