approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,1,Kearsney Abbey Orchard Area,Community Orchard,fruits,tree-fruits,51.144,1.275,Search for apples in the vicinity of Samphire Hoe.,This site near Samphire Hoe is a local favorite for finding apples. Dover's unique chalk downland and coastal environment provide excellent conditions for this species. Please forage sustainably.,9;10,https://images.unsplash.com/photo-1464226184884-fa280b87c399?w=512&q=80,"apples, fruits, dover-foraging",63,0,0,,sea.path.white,Autumn,7F8M+51 Dover,https://www.openstreetmap.org/?mlat=51.144&mlon=1.275#map=17/51.144/1.275,"Samphire Hoe, Dover",Dover,Samphire Hoe,Kent,CT17 9FL
True,,2,Samphire Hoe Coastal Greens,Coastal Foraging,vegetables,coastal-greens,51.105,1.285,Search for rock samphire in the vicinity of Connaught Park.,This site near Connaught Park is a local favorite for finding rock samphire. Dover's unique chalk downland and coastal environment provide excellent conditions for this species. Please forage sustainably.,5;6;7,https://images.unsplash.com/photo-1596434300655-e48d3ff3dd5e?w=512&q=80,"rock samphire, vegetables, dover-foraging",70,0,0,,sea.wing.white,Summer,7F8M+49 Dover,https://www.openstreetmap.org/?mlat=51.105&mlon=1.285#map=17/51.105/1.285,"Connaught Park, Dover",Dover,Connaught Park,Kent,CT16 1HB
True,,3,River Dour Wild Garlic Bank,Wild Foraging,vegetables,wild-garlic,51.135,1.302,Search for wild garlic in the vicinity of Western Heights.,This site near Western Heights is a local favorite for finding wild garlic. Dover's unique chalk downland and coastal environment provide excellent conditions for this species. Please forage sustainably.,3;4;5,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"wild garlic, vegetables, dover-foraging",28,0,0,,cliff.wing.green,Spring,7F8M+92 Dover,https://www.openstreetmap.org/?mlat=51.135&mlon=1.302#map=17/51.135/1.302,"Western Heights, Dover",Dover,Western Heights,Kent,CT17 9DX
True,,4,Pencester Gardens Wild Garlic Spot,Wild Foraging,vegetables,wild-garlic,51.12311,1.3093,Search for wild garlic in the vicinity of Pencester Gardens.,This site near Pencester Gardens is a local favorite for finding wild garlic. Dover's unique chalk downland and coastal environment provide excellent conditions for this species. Please forage sustainably.,3;4;5,https://images.unsplash.com/photo-1441974231531-c6227db7816c?w=512&q=80,"wild garlic, vegetables, dover-foraging",40,0,0,,sea.path.blue,Spring,7F8M+79 Dover,https://www.openstreetmap.org/?mlat=51.12311&mlon=1.3093#map=17/51.12311/1.3093,"Pencester Gardens, Dover",Dover,Pencester Gardens,Kent,CT16 1BW
True,,5,White Cliffs of Dover Wild Garlic Spot,Wild Foraging,vegetables,wild-garlic,51.13069,1.33621,Search for wild garlic in the vicinity of White Cliffs of Dover.,This site near White Cliffs of Dover is a local favorite for finding wild garlic. Dover's unique chalk downland and coastal environment provide excellent conditions for this species. Please forage sustainably.,3;4;5,https://images.unsplash.com/photo-1596434300655-e48d3ff3dd5e?w=512&q=80,"wild garlic, vegetables, dover-foraging",31,0,0,,sea.bird.white,Spring,7F8M+85 Dover,https://www.openstreetmap.org/?mlat=51.13069&mlon=1.33621#map=17/51.13069/1.33621,"White Cliffs of Dover, Dover",Dover,White Cliffs of Dover,Kent,CT16 1HJ
True,,6,St Margaret's Bay Hazelnuts Spot,Wild Foraging,nuts,wild-nuts,51.1534,1.38593,Search for hazelnuts in the vicinity of St Margaret's Bay.,This site near St Margaret's Bay is a local favorite for finding hazelnuts. Dover's unique chalk downland and coastal environment provide excellent conditions for this species. Please forage sustainably.,9;10,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"hazelnuts, nuts, dover-foraging",10,0,0,,chalk.wing.blue,Autumn,7F8M+45 Dover,https://www.openstreetmap.org/?mlat=51.1534&mlon=1.38593#map=17/51.1534/1.38593,"St Margaret's Bay, Dover",Dover,St Margaret's Bay,Kent,CT15 6DX
True,,7,Connaught Park Walnuts Spot,Wild Foraging,nuts,wild-nuts,51.13358,1.3046,Search for walnuts in the vicinity of Connaught Park.,This site near Connaught Park is a local favorite for finding walnuts. Dover's unique chalk downland and coastal environment provide excellent conditions for this species. Please forage sustainably.,9;10,https://images.unsplash.com/photo-1464226184884-fa280b87c399?w=512&q=80,"walnuts, nuts, dover-foraging",16,0,0,,chalk.wing.green,Autumn,7F8M+28 Dover,https://www.openstreetmap.org/?mlat=51.13358&mlon=1.3046#map=17/51.13358/1.3046,"Connaught Park, Dover",Dover,Connaught Park,Kent,CT16 1HB
True,,8,Whitfield Open Space Sea Beet Spot,Coastal Foraging,vegetables,coastal-greens,51.16425,1.30272,Search for sea beet in the vicinity of Whitfield Open Space.,This site near Whitfield Open Space is a local favorite for finding sea beet. Dover's unique chalk downland and coastal environment provide excellent conditions for this species. Please forage sustainably.,4;5;6;7;8,https://images.unsplash.com/photo-1596434300655-e48d3ff3dd5e?w=512&q=80,"sea beet, vegetables, dover-foraging",17,0,0,,chalk.bird.blue,Spring/Summer,7F8M+69 Dover,https://www.openstreetmap.org/?mlat=51.16425&mlon=1.30272#map=17/51.16425/1.30272,"Whitfield Open Space, Dover",Dover,Whitfield Open Space,Kent,CT16 3LY
True,,9,Kearsney Parks Fennel Spot,Wild Foraging,vegetables,herbs,51.13957,1.27365,Search for fennel in the vicinity of Kearsney Parks.,This site near Kearsney Parks is a local favorite for finding fennel. Dover's unique chalk downland and coastal environment provide excellent conditions for this species. Please forage sustainably.,3;4;5;6;7,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,"fennel, vegetables, dover-foraging",25,0,0,,sea.wing.white,Spring/Summer,7F8M+31 Dover,https://www.openstreetmap.org/?mlat=51.13957&mlon=1.27365#map=17/51.13957/1.27365,"Kearsney Parks, Dover",Dover,Kearsney Parks,Kent,CT16 3EE
True,,10,Whinless Down Elderberries Spot,Wild Foraging,fruits,hedgerow-fruit,51.12498,1.28049,Search for elderberries in the vicinity of Whinless Down.,This site near Whinless Down is a local favorite for finding elderberries. Dover's unique chalk downland and coastal environment provide excellent conditions for this species. Please forage sustainably.,8;9;10,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"elderberries, fruits, dover-foraging",60,0,0,,cliff.bird.blue,Late Summer/Autumn,7F8M+19 Dover,https://www.openstreetmap.org/?mlat=51.12498&mlon=1.28049#map=17/51.12498/1.28049,"Whinless Down, Dover",Dover,Whinless Down,Kent,CT17 0TB
True,,11,White Cliffs of Dover Cherry Plum Spot,Community Orchard,fruits,tree-fruits,51.13574,1.3423,Search for cherry plum in the vicinity of White Cliffs of Dover.,This site near White Cliffs of Dover is a local favorite for finding cherry plum. Dover's unique chalk downland and coastal environment provide excellent conditions for this species. Please forage sustainably.,8;9;10,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"cherry plum, fruits, dover-foraging",37,0,0,,cliff.bird.green,Autumn,7F8M+21 Dover,https://www.openstreetmap.org/?mlat=51.13574&mlon=1.3423#map=17/51.13574/1.3423,"White Cliffs of Dover, Dover",Dover,White Cliffs of Dover,Kent,CT16 1HJ
True,,12,Maxton Banks Sea Kale Spot,Coastal Foraging,vegetables,coastal-greens,51.12192,1.28441,Search for sea kale in the vicinity of Maxton Banks.,This site near Maxton Banks is a local favorite for finding sea kale. Dover's unique chalk downland and coastal environment provide excellent conditions for this species. Please forage sustainably.,4;5;6;7;8,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,"sea kale, vegetables, dover-foraging",26,0,0,,sea.wing.blue,Spring/Summer,7F8M+12 Dover,https://www.openstreetmap.org/?mlat=51.12192&mlon=1.28441#map=17/51.12192/1.28441,"Maxton Banks, Dover",Dover,Maxton Banks,Kent,CT17 9RQ
