approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,1,Stanmer Park Orchard,Community Orchard,fruits,tree-fruits,50.8525,-0.0892,National Collection of Sussex apples with 31 varieties.,"Historic orchard in Stanmer Park featuring the National Collection of Sussex apples with 31 different varieties, plus heritage pears and plums. Regular community activity days and apple pressing events in autumn.",,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"foraging, community, orchard, heritage",0,0,0,,,7;8;9,,https://www.stanmerpark.org.uk,9V32+2G Brighton,Stanmer Park,Brighton,East Sussex,BN1 9PZ
True,,2,Racehill Community Orchard,Community Orchard,fruits,tree-fruits,50.8295,-0.1172,Over 200 fruit trees planted by the community.,"Community orchard at Whitehawk with over 200 fruit trees including Sussex apple varieties, pears, plums and cherries. Regular volunteer workdays welcome new members.",,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"foraging, community, orchard, volunteers",0,0,0,,,7;8;9,,https://racehillorchard.org.uk,R5HM+WV Brighton,Whitehawk,Brighton,East Sussex,BN2 5FL
True,,3,Bevendean Recreation Ground Orchard,Community Orchard,fruits,tree-fruits,50.8375,-0.0983,30 fruit trees planted in 2023.,"Newly established community orchard with 30 fruit trees including apples, pears, plums, cherries and damsons. Free community access for local residents.",,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"foraging, community, orchard, new",0,0,0,,,7;8;9,,https://www.brighton-hove.gov.uk/parks,R9P6+2Q Brighton,Heath Hill Avenue,Brighton,East Sussex,BN2 4JP
True,,4,Brighton Marina Coastal Path,Coastal Foraging,vegetables,other-vegetables,50.8113,-0.1035,Coastal foraging for rock samphire and sea kale.,"Coastal foraging area along Brighton Marina offering rock samphire, sea kale, wild cabbage, plantain and fig trees. Follow sustainable foraging practices.",,https://images.unsplash.com/photo-1559827260-dc66d52bef19?w=512&q=80,"foraging, coastal, wild, sea-vegetables",0,0,0,,,2;3;4;5;6;7;8;9,,https://www.visitbrighton.com/things-to-do/brighton-marina,R266+9C Brighton,Brighton Marina,Brighton,East Sussex,BN2 5WA
True,,5,South Downs National Park,Hedgerow Foraging,fruits,hedgerow,50.92,-0.7,Extensive hedgerow network across the National Park.,"Multiple hedgerow foraging locations throughout South Downs National Park. Find blackberries, sloes, elderberries, rose hips, hawthorn berries and hazelnuts. Follow the foraging code of conduct.",,https://images.unsplash.com/photo-1598170845058-32b9d6a5da37?w=512&q=80,"foraging, hedgerow, national-park, sustainable",0,0,0,,,7;8;9,,https://www.southdowns.gov.uk,W8C2+00 West Sussex,Various locations,Multiple,West Sussex & East Sussex,
True,,6,Stanmer Woods,Woodland Foraging,herbs,culinary-herbs,50.8535,-0.0857,Rich woodland foraging area.,"Ancient woodland rich in wild garlic (spring), nettles, seasonal mushrooms, elderflower and wild herbs. Proper identification essential for mushroom foraging.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, woodland, wild-garlic, mushrooms, ancient",0,0,0,,,2;3;4;5;6;7;8;9,,https://www.stanmerpark.org.uk/woods,V934+4F Brighton,Stanmer Park,Brighton,East Sussex,BN1 9SE
True,,7,Ashdown Forest,Woodland Foraging,fruits,hedgerow,51.07,0.05,Ancient forest with abundant wild food.,"Ancient forest offering blackberries, bilberries, chestnuts, mushrooms and elderberries. Practice sustainable picking. Beautiful walking area.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, woodland, ancient-forest, bilberries, sustainable",0,0,0,,,6;7;8;9,,https://www.ashdownforest.org,33C2+00 Forest Row,Various locations,Forest Row,East Sussex,RH18 5JP
True,,8,Sharnfold Farm,Pick-Your-Own,fruits,berries,50.8156,0.2789,40 acres of pick-your-own fruit and vegetables.,"Large pick-your-own farm with strawberries, raspberries, blackberries, blackcurrants, redcurrants, gooseberries and seasonal vegetables. Farm shop on site.",,https://images.unsplash.com/photo-1464965911861-746a04b4bca6?w=512&q=80,"pyo, farm, strawberries, raspberries, farm-shop",0,0,0,,,4;5;6;7;8,,https://www.sharnfoldfarm.co.uk,R788+JH Pevensey,Hailsham Road Stone Cross,Pevensey,East Sussex,BN24 5BU
True,,9,Maynards Farm,Pick-Your-Own,fruits,berries,51.0395,0.4123,One of UK's longest established PYO farms.,"Historic pick-your-own farm offering strawberries, apples, cherries, plums, raspberries, blackcurrants, cobnuts and tayberries. Family-run since generations.",,https://images.unsplash.com/photo-1464965911861-746a04b4bca6?w=512&q=80,"pyo, farm, heritage, tayberries, cobnuts",0,0,0,,,5;6;7;8;9,,https://www.maynardsfarm.co.uk,22Q7+X5 Ticehurst,Windmill Hill Cross Lane,Ticehurst,East Sussex,TN5 7HQ
True,,10,Tibbs Farm,Pick-Your-Own,fruits,berries,50.9845,0.6234,Beautiful valley farm with rare fruits.,"Family-run farm in stunning Tillingham Valley offering strawberries, raspberries, gooseberries, apricots, plums, blackcurrants, tayberries and tummelberries. Cafe with valley views.",,https://images.unsplash.com/photo-1464965911861-746a04b4bca6?w=512&q=80,"pyo, farm, valley, apricots, tayberries, tummelberries",0,0,0,,,5;6;7;8,,https://www.tibbsfarm.com,XJMF+PJ Rye,Tillingham Valley,Rye,East Sussex,TN31 7DX
