approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,1,Princes Park Orchard,Community Orchard,fruits,tree-fruits,50.782,0.305,Small community orchard within the park featuring apple and pear trees open...,Small community orchard within the park featuring apple and pear trees open for public harvesting.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.782,0.305",Eastbourne,Eastbourne,Eastbourne,East Sussex,BN22 7LL
True,,2,Incredible Edible Eastbourne (Town Centre),Urban Foraging,vegetables,street-planters,50.768,0.282,Community planters near the station and pedestrian areas featuring free her...,"Community planters near the station and pedestrian areas featuring free herbs, chard, and seasonal greens.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.768,0.282",Eastbourne,Eastbourne,Eastbourne,East Sussex,BN21 3NW
True,,3,Beachy Head Foraging,Nature Reserve,wild,mixed-forage,50.735,0.245,"Downland trails offering wild fennel, blackberries, and hawthorn berries in...","Downland trails offering wild fennel, blackberries, and hawthorn berries in late summer.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.735,0.245",Eastbourne,Eastbourne,Eastbourne,East Sussex,BN20 0AB
True,,4,Hampden Park Edible Edge,Public Park,wild,mixed-forage,50.802,0.272,"Wooded peripheral paths offering elderberries, blackberries, and wild garli...","Wooded peripheral paths offering elderberries, blackberries, and wild garlic (spring).",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.802,0.272",Eastbourne,Eastbourne,Eastbourne,East Sussex,BN22 9QN
True,,5,Holywell Coastal Foraging,Coastal Foraging,wild,coastal,50.755,0.265,"Chalk reef and shoreline area offering sea beet, sea kale, and various edib...","Chalk reef and shoreline area offering sea beet, sea kale, and various edible seaweeds at low tide.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.755,0.265",Eastbourne,Eastbourne,Eastbourne,East Sussex,BN20 7XB
True,,6,Incredible Edible Eastbourne (Old Town),Urban Foraging,vegetables,street-planters,50.775,0.265,Raised beds and planters near the Motcombe area featuring culinary herbs an...,Raised beds and planters near the Motcombe area featuring culinary herbs and perennial vegetables.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.775,0.265",Eastbourne,Eastbourne,Eastbourne,East Sussex,BN20 8AF
True,,7,Shinewater Park Foraging,Public Park,wild,mixed-forage,50.805,0.308,"Lakeside paths with abundant elder, brambles, and hawthorn bushes.","Lakeside paths with abundant elder, brambles, and hawthorn bushes.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.805,0.308",Eastbourne,Eastbourne,Eastbourne,East Sussex,BN23 8AU
True,,8,Tally Ho Community Orchard,Community Orchard,fruits,tree-fruits,50.772,0.252,A quiet community orchard project managed for public and local benefit.,A quiet community orchard project managed for public and local benefit.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.772,0.252",Eastbourne,Eastbourne,Eastbourne,East Sussex,BN20 8SU
True,,9,Butts Brow Foraging Edges,Nature Reserve,wild,mixed-forage,50.792,0.235,"Downland edges offering sloes, blackberries, and wild rosehips in the autum...","Downland edges offering sloes, blackberries, and wild rosehips in the autumn.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.792,0.235",Willingdon,Willingdon,Willingdon,East Sussex,BN20 9RJ
True,,10,Incredible Edible Eastbourne (Seaside),Urban Foraging,vegetables,street-planters,50.778,0.302,Public planters along the Seaside corridor providing free herbs and edible ...,Public planters along the Seaside corridor providing free herbs and edible plants.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.778,0.302",Eastbourne,Eastbourne,Eastbourne,East Sussex,BN22 7NL
