approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,1,Starbank Park Orchard,Community Orchard,fruits,tree-fruits,55.982,-3.195,Beautiful terraced garden near the coast with heritage apple trees and soft...,Beautiful terraced garden near the coast with heritage apple trees and soft fruit bushes managed by volunteers.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=55.982,-3.195",Edinburgh,Edinburgh,Edinburgh,Midlothian,EH5 3BW
True,,2,Incredible Edible Edinburgh (Leith),Urban Foraging,vegetables,street-planters,55.975,-3.175,"Public planters around Leith Walk and the Shore featuring free herbs, chard...","Public planters around Leith Walk and the Shore featuring free herbs, chard, and seasonal greens.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=55.975,-3.175",Edinburgh,Edinburgh,Edinburgh,Midlothian,EH6 4AD
True,,3,Holyrood Park Foraging,Nature Reserve,wild,mixed-forage,55.945,-3.162,"Vast royal park offering elderberries, blackberries, and wild cherries alon...","Vast royal park offering elderberries, blackberries, and wild cherries along the slopes of Arthur's Seat.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=55.945,-3.162",Edinburgh,Edinburgh,Edinburgh,Midlothian,EH8 8HG
True,,4,Cramond Coastal Foraging,Coastal Foraging,wild,coastal,55.978,-3.305,"Firth of Forth shoreline offering sea beet, scurvy grass, and various edibl...","Firth of Forth shoreline offering sea beet, scurvy grass, and various edible seaweeds like dulse and kelp.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=55.978,-3.305",Edinburgh,Edinburgh,Edinburgh,Midlothian,EH4 6NU
True,,5,Gracemount Community Mansion Orchard,Community Orchard,fruits,tree-fruits,55.908,-3.158,"A diverse community orchard in the south of the city with apples, pears, an...","A diverse community orchard in the south of the city with apples, pears, and plums.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=55.908,-3.158",Edinburgh,Edinburgh,Edinburgh,Midlothian,EH16 6RE
True,,6,The Meadows Edible Edges,Public Park,wild,mixed-forage,55.942,-3.192,Boundary paths with fruit-bearing hedges including hawthorn and elderberrie...,Boundary paths with fruit-bearing hedges including hawthorn and elderberries.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=55.942,-3.192",Edinburgh,Edinburgh,Edinburgh,Midlothian,EH9 1JZ
True,,7,Incredible Edible Edinburgh (Tollcross),Urban Foraging,vegetables,street-planters,55.942,-3.205,Community planters near local businesses providing free herbs and edible fl...,Community planters near local businesses providing free herbs and edible flowers.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=55.942,-3.205",Edinburgh,Edinburgh,Edinburgh,Midlothian,EH3 9QN
True,,8,Water of Leith Walkway Foraging,Public Path,wild,river-forage,55.945,-3.228,"River path offering wild garlic (spring), wild raspberries, and blackberrie...","River path offering wild garlic (spring), wild raspberries, and blackberries.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=55.945,-3.228",Edinburgh,Edinburgh,Edinburgh,Midlothian,EH12 5XQ
True,,9,Craiglockhart Woods Foraging,Nature Reserve,wild,woodland,55.918,-3.242,"Ancient woodland trails offering hazelnuts, elderberries, and seasonal mush...","Ancient woodland trails offering hazelnuts, elderberries, and seasonal mushrooms.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=55.918,-3.242",Edinburgh,Edinburgh,Edinburgh,Midlothian,EH14 1BU
True,,10,Incredible Edible Edinburgh (Gorgie),Urban Foraging,vegetables,street-planters,55.938,-3.232,Raised beds near the community farm area with free vegetables and herbs.,Raised beds near the community farm area with free vegetables and herbs.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=55.938,-3.232",Edinburgh,Edinburgh,Edinburgh,Midlothian,EH11 2RG
