approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,1,Colchester Community Orchard,Community Orchard,fruits,tree-fruits,51.892,0.902,Located at Castle Park. Historic orchard area with heritage Essex apple var...,Located at Castle Park. Historic orchard area with heritage Essex apple varieties like 'D'Arcy Spice'.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham051.892,0.902",Colchester,Colchester,Colchester,Essex,CO1 1UG
True,,2,Incredible Edible Chelmsford,Urban Foraging,vegetables,street-planters,51.735,0.472,Community planters at the library and city center with free-to-pick herbs a...,Community planters at the library and city center with free-to-pick herbs and seasonal greens.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham051.735,0.472",Chelmsford,Chelmsford,Chelmsford,Essex,CM1 1QH
True,,3,Southend Seafront Edges,Coastal Foraging,wild,coastal,51.532,0.718,Sea beet and rock samphire can be found along the rocky defenses and upper ...,Sea beet and rock samphire can be found along the rocky defenses and upper shore areas.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham051.532,0.718",Southend-on-Sea,Southend-on-Sea,Southend-on-Sea,Essex,SS1 1EE
True,,4,Epping Forest Foraging,Woodland,nuts,woodland,51.655,0.045,"Ancient woodland offering sweet chestnuts, beech nuts, and blackberries (ch...","Ancient woodland offering sweet chestnuts, beech nuts, and blackberries (check bylaws for limits).",,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham051.655,0.045",Loughton,Loughton,Loughton,Essex,IG10 4AF
True,,5,Braintree Community Orchard,Community Orchard,fruits,tree-fruits,51.878,0.552,Located at Weavers Park. Managed by volunteers with various apple and pear ...,Located at Weavers Park. Managed by volunteers with various apple and pear trees.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham051.878,0.552",Braintree,Braintree,Braintree,Essex,CM7 1HL
True,,6,Incredible Edible Leigh-on-Sea,Urban Foraging,vegetables,street-planters,51.542,0.655,Public planters near the community center and station with herbs and strawb...,Public planters near the community center and station with herbs and strawberries.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham051.542,0.655",Leigh-on-Sea,Leigh-on-Sea,Leigh-on-Sea,Essex,SS9 1SP
True,,7,Danbury Country Park,Public Park,wild,mixed-forage,51.715,0.585,"Lakeside and woodland paths with abundant blackberries, elderberries, and s...","Lakeside and woodland paths with abundant blackberries, elderberries, and sweet chestnuts.",,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham051.715,0.585",Danbury,Danbury,Danbury,Essex,CM3 4AW
True,,8,Mersea Island Foreshore,Coastal Foraging,wild,coastal,51.775,0.915,"Coastal cliffs and banks support sea cabbage, sea beet, and marsh samphire.","Coastal cliffs and banks support sea cabbage, sea beet, and marsh samphire.",,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham051.775,0.915",West Mersea,West Mersea,West Mersea,Essex,CO5 8AT
True,,9,Saffron Walden Incredible Edible,Urban Foraging,vegetables,street-planters,52.022,0.242,Community growing spots in public spaces for free vegetables and herbs.,Community growing spots in public spaces for free vegetables and herbs.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.022,0.242",Saffron Walden,Saffron Walden,Saffron Walden,Essex,CB10 1HR
True,,10,Cudmore Grove Country Park,Nature Reserve,wild,coastal,51.785,1.002,"Coastal trails with wild fennel, sea radish, and coastal berries.","Coastal trails with wild fennel, sea radish, and coastal berries.",,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham051.785,1.002",East Mersea,East Mersea,East Mersea,Essex,CO5 8UE
