approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,1,Alexandra Park Orchard,Community Orchard,fruits,tree-fruits,55.867,-4.215,Heritage fruit trees in the East End.,A community-led orchard project featuring a variety of apple and pear trees.,8;9;10,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"apples, pears",24,0,0,,,Autumn,,http://googleusercontent.com/maps.google.com/glasgow1,Sannox Gardens,Glasgow,Dennistoun,Glasgow City,G31
True,,2,Clyde Estuary Sea Greens,Coastal Foraging,vegetables,coastal-greens,55.932,-4.485,Foraging along the upper Firth of Clyde.,Find sea beet and sea aster along the marshy banks near the Erskine Bridge.,4;5;6;7,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,sea beet,12,0,0,,,Spring/Summer,,http://googleusercontent.com/maps.google.com/glasgow2,Clyde Coastal Path,Old Kilpatrick,Outer Glasgow,West Dunbartonshire,G60
True,,3,Pollok Country Park Chestnuts,Wild Foraging,nuts,woodland-nuts,55.828,-4.307,Sweet chestnuts in Glasgow's largest park.,Search the woodland areas near the Burrell Collection for mature sweet chestnut trees.,10;11,https://images.unsplash.com/photo-1543362906-acfc16c67564?w=512&q=80,chestnuts,45,0,0,,,Autumn,,http://googleusercontent.com/maps.google.com/glasgow3,Pollok Avenue,Glasgow,Southside,Glasgow City,G43
True,,4,Incredible Edible Southside,Incredible Edible,vegetables,street-planters,55.834,-4.265,Community planters with herbs and salads.,Local street-side planters offering free seasonal herbs and leafy greens for the community.,5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,herbs,31,0,0,,,Summer,,http://googleusercontent.com/maps.google.com/glasgow4,Victoria Road,Glasgow,Govanhill,Glasgow City,G42
True,,5,Kelvingrove Park Wild Garlic,Wild Foraging,vegetables,wild-greens,55.869,-4.283,River-bank ramsons.,Abundant wild garlic found along the banks of the River Kelvin within the park.,3;4;5,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,garlic,58,0,0,,,Spring,,http://googleusercontent.com/maps.google.com/glasgow5,Kelvin Way,Glasgow,West End,Glasgow City,G3
True,,6,Forth & Clyde Canal Berries,Wild Foraging,fruits,berries,55.885,-4.275,Blackberry picking along the towpath.,Miles of brambles line the canal banks between Maryhill and Speirs Wharf.,8;9,https://images.unsplash.com/photo-1464306208223-e0b4495a5553?w=512&q=80,blackberries,38,0,0,,,Summer/Autumn,,http://googleusercontent.com/maps.google.com/glasgow6,Canal Towpath,Glasgow,Maryhill,Glasgow City,G20
True,,7,Victoria Park Orchard,Community Orchard,fruits,tree-fruits,55.874,-4.331,Fruit trees near the Fossil Grove.,A small public orchard with apple trees managed for the benefit of park visitors.,8;9;10,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,apples,22,0,0,,,Autumn,,http://googleusercontent.com/maps.google.com/glasgow7,Victoria Park Drive North,Glasgow,Whiteinch,Glasgow City,G14
True,,8,Mugdock Country Park Hazelnuts,Wild Foraging,nuts,woodland-nuts,55.968,-4.316,Wild hazel nuts in rural woodland.,Vast areas of hazel coppice found throughout the country park fringes.,9;10,https://images.unsplash.com/photo-1507750545-0909477b819e?w=512&q=80,hazelnuts,19,0,0,,,Autumn,,http://googleusercontent.com/maps.google.com/glasgow8,Mugdock Road,Milngavie,North Glasgow Fringe,Stirlingshire,G62
True,,9,Cathkin Braes Blackberries,Wild Foraging,fruits,berries,55.795,-4.218,Abundant wild fruit on the hillside.,High altitude berry picking with great views over the city.,8;9,https://images.unsplash.com/photo-1464306208223-e0b4495a5553?w=512&q=80,blackberries,27,0,0,,,Summer,,http://googleusercontent.com/maps.google.com/glasgow9,Cathkin Road,Glasgow,Castlemilk,Glasgow City,G45
True,,10,Linn Park Elder,Wild Foraging,fruits,berries,55.808,-4.262,Elderberries and flowers in the Southside.,Large elder shrubs found in the sunnier clearings of the park woodland.,6;9,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,elder,14,0,0,,,Summer/Autumn,,http://googleusercontent.com/maps.google.com/glasgow10,Linn Park,Glasgow,Cathcart,Glasgow City,G44
True,,11,Gorbals Community Planters,Incredible Edible,vegetables,street-planters,55.849,-4.248,Urban herbs and strawberries.,"Public planters integrated into the new housing developments, marked for public picking.",5;6;7;8,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"herbs, strawberries",17,0,0,,,Summer,,http://googleusercontent.com/maps.google.com/glasgow11,Crown Street,Glasgow,Gorbals,Glasgow City,G5
True,,12,Ruchill Park Fruit Trees,Community Orchard,fruits,tree-fruits,55.888,-4.268,Apples on the hill.,"Scattered fruit trees within the park open space, offering free apples in late summer.",8;9,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,apples,11,0,0,,,Autumn,,http://googleusercontent.com/maps.google.com/glasgow12,Bilsland Drive,Glasgow,Ruchill,Glasgow City,G20
True,,13,Dams to Darnley Berries,Wild Foraging,fruits,berries,55.798,-4.355,Hedgerow foraging area.,Abundant rosehips and hawthorn berries found in the extensive rural fringe hedgerows.,9;10,https://images.unsplash.com/photo-1441974231531-c6227db76b6e?w=512&q=80,"rosehips, haws",9,0,0,,,Autumn,,http://googleusercontent.com/maps.google.com/glasgow13,Corslet Road,Darnley,South West Fringe,East Renfrewshire,G53
True,,14,Glasgow Green Plums,Urban Foraging,fruits,tree-fruits,55.848,-4.235,Fruit trees in the city's oldest park.,Hardy plum and damson trees found in the wilder corners of the Green.,8;9,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,plums,21,0,0,,,Summer,,http://googleusercontent.com/maps.google.com/glasgow14,Greendyke Street,Glasgow,Central,Glasgow City,G1
True,,15,Lunderston Bay Sea Kale,Coastal Foraging,vegetables,coastal-greens,55.918,-4.881,Shingle beach foraging.,A rural coastal spot where sea kale and sea radishes can be found growing in the sand and shingle.,4;5;6,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,sea kale,26,0,0,,,Spring/Summer,,http://googleusercontent.com/maps.google.com/glasgow15,Cloch Road,Gourock,Glasgow Coastal Fringe,Inverclyde,PA19
