approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,1,Robinswood Hill Perry Pears,Wild Foraging,fruits,tree-fruits,51.838,-2.228,Gloucestershire's famous heritage pears.,"Scattered across the lower slopes of the hill are ancient perry pear and apple trees, remnants of old farm orchards.",9;10,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"pears, apples",45,0,0,,logic.shade.fresh,Autumn,,http://googleusercontent.com/maps.google.com/glos1,Reservoir Road,Gloucester,Robinswood,Gloucestershire,GL4
True,,2,Alney Island Wild Garlic,Wild Foraging,vegetables,wild-greens,51.868,-2.262,Severn riverside ramsons.,"The damp, wooded areas of this river island are thick with wild garlic in the spring months.",3;4;5,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,garlic,39,0,0,,river.garlic.paths,Spring,,http://googleusercontent.com/maps.google.com/glos2,Westgate Bridge,Gloucester,Alney Island,Gloucestershire,GL1
True,,3,Incredible Edible Gloucester - Gate Streets,Incredible Edible,vegetables,street-planters,51.865,-2.245,City centre herb planters.,"Public planters located around the Cross and the four main 'Gate Streets' featuring rosemary, sage, and mint.",5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,herbs,27,0,0,,cross.herbs.meet,Summer,,http://googleusercontent.com/maps.google.com/glos3,Northgate Street,Gloucester,City Centre,Gloucestershire,GL1
True,,4,Saintbridge Allotment Orchard Fringe,Community Orchard,fruits,tree-fruits,51.848,-2.215,Community fruit trees.,A selection of apple and damson trees located on the public-facing edge of the allotment site.,8;9,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"apples, damsons",18,0,0,,fruit.edge.grow,Autumn,,http://googleusercontent.com/maps.google.com/glos4,Chequers Road,Gloucester,Saintbridge,Gloucestershire,GL4
True,,5,Glevum Way Hazelnuts,Wild Foraging,nuts,woodland-nuts,51.855,-2.185,Hedgerow nuts in Abbeydale.,The green corridors and balancing ponds in Abbeydale are lined with hazel trees and elder.,9;10,https://images.unsplash.com/photo-1507750545-0909477b819e?w=512&q=80,"hazelnuts, elderberries",15,0,0,,nut.path.green,Autumn,,http://googleusercontent.com/maps.google.com/glos5,Glevum Way,Gloucester,Abbeydale,Gloucestershire,GL4
True,,6,Gloucester Sharpness Canal Blackberries,Wild Foraging,fruits,berries,51.835,-2.275,Brambles along the towpath.,Miles of blackberry bushes line the canal path heading south towards Rea Bridge.,8;9,https://images.unsplash.com/photo-1464306208223-e0b4495a5553?w=512&q=80,blackberries,22,0,0,,canal.berry.walk,Summer,,http://googleusercontent.com/maps.google.com/glos6,Canal Road,Gloucester,Quedgeley,Gloucestershire,GL2
True,,7,Barnwood Park Walnuts,Wild Foraging,nuts,woodland-nuts,51.862,-2.202,Mature walnuts in the Arboretum.,The arboretum area of the park contains several mature walnut and sweet chestnut trees.,9;10;11,https://images.unsplash.com/photo-1543362906-acfc16c67564?w=512&q=80,"walnuts, chestnuts",31,0,0,,trees.nut.park,Autumn,,http://googleusercontent.com/maps.google.com/glos7,Barnwood Road,Gloucester,Barnwood,Gloucestershire,GL4
True,,8,Horsbere Brook Wild Greens,Wild Foraging,vegetables,wild-greens,51.878,-2.195,Riverside meadow plants.,Find wild sorrel and watermint in the flood alleviation meadows surrounding the brook.,5;6;7;8,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,"sorrel, mint",12,0,0,,brook.green.mint,Summer,,http://googleusercontent.com/maps.google.com/glos8,Horsbere Green,Gloucester,Longlevens,Gloucestershire,GL2
True,,9,Matson Incredible Edible Planters,Incredible Edible,vegetables,street-planters,51.835,-2.218,Community estate veg.,Planters located near the local shops and library featuring hardy winter greens and summer strawberries.,5;6;7;8,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"strawberries, greens",19,0,0,,grow.share.matson,Summer,,http://googleusercontent.com/maps.google.com/glos9,Matson Avenue,Gloucester,Matson,Gloucestershire,GL4
True,,10,Llanthony Secunda Elder,Wild Foraging,fruits,berries,51.858,-2.255,Priory grounds elderflower.,Elder bushes grow along the edges of the historic priory grounds and the canal-side path.,6;9,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,elder,14,0,0,,priory.elder.bloom,Summer/Autumn,,http://googleusercontent.com/maps.google.com/glos10,Llanthony Road,Gloucester,Docks,Gloucestershire,GL2
