approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
TRUE,,1,Gloucester Community Orchard,Community Orchard,fruits,tree-fruits,51.865,-2.245,Gloucester Community Orchard in Gloucestershire.,"A location in Gloucestershire for community growing or wild foraging, from the Severn Estuary to the Forest of Dean and Cotswolds.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, gloucestershire, foraging, community",0,0,0,,,Summer/Autumn,,,Gloucester,Gloucester,Gloucester,Gloucestershire,GL1 2NR
TRUE,,2,Incredible Edible Stroud (Station Planters),Incredible Edible,vegetables,urban-growing,51.742,-2.218,Incredible Edible Stroud (Station Planters) in Gloucestershire.,"A location in Gloucestershire for community growing or wild foraging, from the Severn Estuary to the Forest of Dean and Cotswolds.",6;7;8;9,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"incredible edible, gloucestershire, foraging, community",0,0,0,,,Summer,,,Stroud,Stroud,Stroud,Gloucestershire,GL5 3AF
TRUE,,3,Cheltenham Edible Garden,Community Garden,vegetables,urban-growing,51.902,-2.075,Cheltenham Edible Garden in Gloucestershire.,"A location in Gloucestershire for community growing or wild foraging, from the Severn Estuary to the Forest of Dean and Cotswolds.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community garden, gloucestershire, foraging, community",0,0,0,,,Summer/Autumn,,,Cheltenham,Cheltenham,Cheltenham,Gloucestershire,GL50 4AZ
TRUE,,4,Tewkesbury Community Orchard,Community Orchard,fruits,tree-fruits,51.995,-2.155,Tewkesbury Community Orchard in Gloucestershire.,"A location in Gloucestershire for community growing or wild foraging, from the Severn Estuary to the Forest of Dean and Cotswolds.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, gloucestershire, foraging, community",0,0,0,,,Summer/Autumn,,,Tewkesbury,Tewkesbury,Tewkesbury,Gloucestershire,GL20 5PG
TRUE,,5,Incredible Edible Dursley,Incredible Edible,herbs,urban-growing,51.682,-2.355,Incredible Edible Dursley in Gloucestershire.,"A location in Gloucestershire for community growing or wild foraging, from the Severn Estuary to the Forest of Dean and Cotswolds.",6;7;8;9,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"incredible edible, gloucestershire, foraging, community",0,0,0,,,Summer,,,Dursley,Dursley,Dursley,Gloucestershire,GL11 4BS
TRUE,,6,Lydney Community Orchard,Community Orchard,fruits,tree-fruits,51.728,-2.525,Lydney Community Orchard in Gloucestershire.,"A location in Gloucestershire for community growing or wild foraging, from the Severn Estuary to the Forest of Dean and Cotswolds.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, gloucestershire, foraging, community",0,0,0,,,Summer/Autumn,,,Lydney,Lydney,Lydney,Gloucestershire,GL15 5DY
TRUE,,7,Wotton-under-Edge Edible Trail,Incredible Edible,fruits,urban-growing,51.638,-2.348,Wotton-under-Edge Edible Trail in Gloucestershire.,"A location in Gloucestershire for community growing or wild foraging, from the Severn Estuary to the Forest of Dean and Cotswolds.",6;7;8;9,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"incredible edible, gloucestershire, foraging, community",0,0,0,,,Summer,,,Wotton-under-Edge,Wotton-under-Edge,Wotton-under-Edge,Gloucestershire,GL12 7AE
TRUE,,8,Newent Community Orchard,Community Orchard,fruits,tree-fruits,51.928,-2.405,Newent Community Orchard in Gloucestershire.,"A location in Gloucestershire for community growing or wild foraging, from the Severn Estuary to the Forest of Dean and Cotswolds.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, gloucestershire, foraging, community",0,0,0,,,Summer/Autumn,,,Newent,Newent,Newent,Gloucestershire,GL18 1AN
TRUE,,9,Stonehouse Community Orchard,Community Orchard,fruits,tree-fruits,51.748,-2.282,Stonehouse Community Orchard in Gloucestershire.,"A location in Gloucestershire for community growing or wild foraging, from the Severn Estuary to the Forest of Dean and Cotswolds.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, gloucestershire, foraging, community",0,0,0,,,Summer/Autumn,,,Stonehouse,Stonehouse,Stonehouse,Gloucestershire,GL10 2NG
TRUE,,10,Cirencester Community Garden,Community Garden,vegetables,urban-growing,51.715,-1.965,Cirencester Community Garden in Gloucestershire.,"A location in Gloucestershire for community growing or wild foraging, from the Severn Estuary to the Forest of Dean and Cotswolds.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community garden, gloucestershire, foraging, community",0,0,0,,,Summer/Autumn,,,Cirencester,Cirencester,Cirencester,Gloucestershire,GL7 1ES
