approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
TRUE,,1,Camden Community Orchard,Community Orchard,fruits,tree-fruits,51.545,-0.142,Located at Cantelowes Gardens. Features heritage apple and pear trees for p...,Located at Cantelowes Gardens. Features heritage apple and pear trees for public picking.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham051.545,-0.142",Camden,Camden,Camden,Greater London,NW1 0DU
TRUE,,2,Incredible Edible Barnet,Urban Foraging,vegetables,street-planters,51.652,-0.202,Community planters near the station and high street with free-to-pick herbs...,Community planters near the station and high street with free-to-pick herbs and vegetables.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham051.652,-0.202",High Barnet,High Barnet,High Barnet,Greater London,EN5 5RP
TRUE,,3,Hampstead Heath Foraging,Nature Reserve,wild,mixed-forage,51.562,-0.165,"Vast green space offering blackberries, elderberries, and wild garlic (spri...","Vast green space offering blackberries, elderberries, and wild garlic (spring) in various locations.",,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham051.562,-0.165",Hampstead,Hampstead,Hampstead,Greater London,NW3 1BP
TRUE,,4,Islington Community Orchard,Community Orchard,fruits,tree-fruits,51.542,-0.102,Located at Paradise Park. Features traditional fruit trees managed for the ...,Located at Paradise Park. Features traditional fruit trees managed for the local community.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham051.542,-0.102",Islington,Islington,Islington,Greater London,N1 2EE
TRUE,,5,Incredible Edible Lambeth (North),Urban Foraging,vegetables,street-planters,51.502,-0.115,Public planters near Lower Marsh with free herbs and seasonal greens.,Public planters near Lower Marsh with free herbs and seasonal greens.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham051.502,-0.115",Waterloo,Waterloo,Waterloo,Greater London,SE1 7AD
TRUE,,6,Highgate Wood Foraging,Woodland,wild,woodland,51.585,-0.148,"Ancient woodland offering sweet chestnuts, hazelnuts, and seasonal berries.","Ancient woodland offering sweet chestnuts, hazelnuts, and seasonal berries.",,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham051.585,-0.148",Highgate,Highgate,Highgate,Greater London,N6 4JN
TRUE,,7,Hackney Community Orchard,Community Orchard,fruits,tree-fruits,51.545,-0.055,Located at Hackney Downs. Features various apple and plum trees for communi...,Located at Hackney Downs. Features various apple and plum trees for community access.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham051.545,-0.055",Hackney,Hackney,Hackney,Greater London,E8 1DU
TRUE,,8,Incredible Edible Haringey,Urban Foraging,vegetables,street-planters,51.588,-0.065,Community planters at the town hall and local parks with free herbs and veg...,Community planters at the town hall and local parks with free herbs and vegetables.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham051.588,-0.065",Tottenham,Tottenham,Tottenham,Greater London,N17 9TA
TRUE,,9,Regent's Canal Path Foraging,Public Footpath,wild,hedgerow,51.535,-0.125,Canal-side brambles offering blackberries and elderberries in various stret...,Canal-side brambles offering blackberries and elderberries in various stretches.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham051.535,-0.125",King's Cross,King's Cross,King's Cross,Greater London,N1C 4AA
TRUE,,10,Tower Hamlets Cemetery Park Orchard,Community Orchard,fruits,tree-fruits,51.522,-0.025,Small orchard space within the historic park preserving traditional fruit v...,Small orchard space within the historic park preserving traditional fruit varieties.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham051.522,-0.025",Bow,Bow,Bow,Greater London,E3 4UU
TRUE,,11,Incredible Edible Hackney,Urban Foraging,vegetables,street-planters,51.548,-0.058,Planters at the town hall and near the station with free-to-pick edible pla...,Planters at the town hall and near the station with free-to-pick edible plants.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham051.548,-0.058",Hackney Central,Hackney Central,Hackney Central,Greater London,E8 1DY
