approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,1,Winchester Community Orchard,Community Orchard,fruits,tree-fruits,51.066,-1.305,"Located at Ethelwold Village. Features apples, pears, and plums for local c...","Located at Ethelwold Village. Features apples, pears, and plums for local community picking.",,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://www.google.com/maps/search/?api=1&query=51.066,-1.305",Winchester,Winchester,Winchester,Hampshire,SO23 8PZ
True,,2,Southampton Common Edible Trail,Public Park,wild,mixed-forage,50.925,-1.408,"Large urban park with wild blackberries, elderberries, and lime trees for b...","Large urban park with wild blackberries, elderberries, and lime trees for blossom tea.",,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://www.google.com/maps/search/?api=1&query=50.925,-1.408",Southampton,Southampton,Southampton,Hampshire,SO15 7NN
True,,3,Incredible Edible Winchester,Urban Foraging,vegetables,street-planters,51.063,-1.312,Community planters across the city center featuring herbs and seasonal vege...,Community planters across the city center featuring herbs and seasonal vegetables for public picking.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://www.google.com/maps/search/?api=1&query=51.063,-1.312",Winchester,Winchester,Winchester,Hampshire,SO23 9BE
True,,4,New Forest National Park (Public Edges),Woodland,nuts,woodland,50.874,-1.573,Abundant sweet chestnuts and beech nuts (check local bylaws for foraging li...,Abundant sweet chestnuts and beech nuts (check local bylaws for foraging limits).,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://www.google.com/maps/search/?api=1&query=50.874,-1.573",Lyndhurst,Lyndhurst,Lyndhurst,Hampshire,SO43 7NY
True,,5,Hythe Shoreline,Coastal Foraging,vegetables,coastal,50.872,-1.398,Coastal spot for sea kale and sea beet along the Solent edges.,Coastal spot for sea kale and sea beet along the Solent edges.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://www.google.com/maps/search/?api=1&query=50.872,-1.398",Hythe,Hythe,Hythe,Hampshire,SO45 6AU
True,,6,Portsmouth Urban Forest Garden,Community Garden,fruits,forest-garden,50.798,-1.091,An experimental urban space with perennial vegetables and fruit bushes.,An experimental urban space with perennial vegetables and fruit bushes.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://www.google.com/maps/search/?api=1&query=50.798,-1.091",Portsmouth,Portsmouth,Portsmouth,Hampshire,PO1 1SR
True,,7,Basingstoke Community Orchard,Community Orchard,fruits,tree-fruits,51.268,-1.082,Located in Victory Park. Managed by volunteers with various heritage apple ...,Located in Victory Park. Managed by volunteers with various heritage apple varieties.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://www.google.com/maps/search/?api=1&query=51.268,-1.082",Basingstoke,Basingstoke,Basingstoke,Hampshire,RG21 4QD
True,,8,Andover Incredible Edible,Urban Foraging,vegetables,street-planters,51.208,-1.481,"Town center planters growing free herbs, salads, and strawberries.","Town center planters growing free herbs, salads, and strawberries.",,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://www.google.com/maps/search/?api=1&query=51.208,-1.481",Andover,Andover,Andover,Hampshire,SP10 1DP
True,,9,Farnborough Community Orchard,Community Orchard,fruits,tree-fruits,51.291,-0.751,Small community-led orchard in Queen Elizabeth Park.,Small community-led orchard in Queen Elizabeth Park.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://www.google.com/maps/search/?api=1&query=51.291,-0.751",Farnborough,Farnborough,Farnborough,Hampshire,GU14 7AF
True,,10,Itchen Valley Country Park,Public Park,wild,hedgerow,50.938,-1.328,"River-side foraging for blackberries, hawthorn berries, and wild garlic in ...","River-side foraging for blackberries, hawthorn berries, and wild garlic in spring.",,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://www.google.com/maps/search/?api=1&query=50.938,-1.328",West End,West End,West End,Hampshire,SO30 3HQ
True,,11,Hayling Island Coastal Path,Coastal Foraging,wild,coastal,50.794,-0.978,Coastal plants including rock samphire and sea buckthorn (autumn).,Coastal plants including rock samphire and sea buckthorn (autumn).,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://www.google.com/maps/search/?api=1&query=50.794,-0.978",Hayling Island,Hayling Island,Hayling Island,Hampshire,PO11 0HB
True,,12,Petersfield Community Orchard,Community Orchard,fruits,tree-fruits,51.004,-0.938,A tranquil spot in the town center for community fruit picking.,A tranquil spot in the town center for community fruit picking.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://www.google.com/maps/search/?api=1&query=51.004,-0.938",Petersfield,Petersfield,Petersfield,Hampshire,GU32 3BS
True,,13,Lepe Country Park Edges,Public Park,wild,coastal,50.785,-1.353,Wild radish and sea beet can be found along the upper shorelines.,Wild radish and sea beet can be found along the upper shorelines.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://www.google.com/maps/search/?api=1&query=50.785,-1.353",Exbury,Exbury,Exbury,Hampshire,SO45 1AD
True,,14,Fleet Pond Nature Reserve,Nature Reserve,wild,hedgerow,51.289,-0.835,Large nature reserve with extensive bramble patches for blackberries.,Large nature reserve with extensive bramble patches for blackberries.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://www.google.com/maps/search/?api=1&query=51.289,-0.835",Fleet,Fleet,Fleet,Hampshire,GU51 3SB
True,,15,Staunton Country Park Orchard,Public Park,fruits,tree-fruits,50.865,-0.985,Historic kitchen garden and orchard areas with public access paths.,Historic kitchen garden and orchard areas with public access paths.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://www.google.com/maps/search/?api=1&query=50.865,-0.985",Havant,Havant,Havant,Hampshire,PO9 5HB
True,,16,The Hidden Garden,Community Garden,herbs,mixed-produce,50.908,-1.401,Volunteers grow herbs and vegetables for the local community in Northam.,Volunteers grow herbs and vegetables for the local community in Northam.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://www.google.com/maps/search/?api=1&query=50.908,-1.401",Southampton,Southampton,Southampton,Hampshire,SO14 0AY
True,,17,Gosport Community Garden,Community Garden,vegetables,urban-growing,50.794,-1.127,Sustainable urban growing plot providing free produce during open hours.,Sustainable urban growing plot providing free produce during open hours.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://www.google.com/maps/search/?api=1&query=50.794,-1.127",Gosport,Gosport,Gosport,Hampshire,PO12 1FG
True,,18,Royal Victoria Country Park,Public Park,wild,mixed-forage,50.875,-1.341,Woodland edges offer sweet chestnuts and sloes for gin-making in autumn.,Woodland edges offer sweet chestnuts and sloes for gin-making in autumn.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://www.google.com/maps/search/?api=1&query=50.875,-1.341",Netley,Netley,Netley,Hampshire,SO31 5GA
True,,19,Aldershot Community Orchard,Community Orchard,fruits,tree-fruits,51.248,-0.765,Recently planted community fruit trees in Municipal Gardens.,Recently planted community fruit trees in Municipal Gardens.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://www.google.com/maps/search/?api=1&query=51.248,-0.765",Aldershot,Aldershot,Aldershot,Hampshire,GU11 3NP
