approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,1,Hastings Community Orchard,Community Orchard,fruits,tree-fruits,50.875,0.582,Located at Alexandria Park. Features Sussex heritage apple varieties and lo...,Located at Alexandria Park. Features Sussex heritage apple varieties and local pears managed by volunteers.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.875,0.582",Hastings,Hastings,Hastings,East Sussex,TN34 3RD
True,,2,Incredible Edible Hastings (Station),Urban Foraging,vegetables,street-planters,50.858,0.578,Community planters at the train station and surrounding streets with free h...,Community planters at the train station and surrounding streets with free herbs and seasonal vegetables.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.858,0.578",Hastings,Hastings,Hastings,East Sussex,TN34 1BA
True,,3,Hastings Country Park Foraging,Nature Reserve,wild,mixed-forage,50.865,0.635,"Vast coastal park offering blackberries, sloes, elderberries, and wild garl...","Vast coastal park offering blackberries, sloes, elderberries, and wild garlic in the wooded glens.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.865,0.635",Hastings,Hastings,Hastings,East Sussex,TN35 4AD
True,,4,Coastal Foraging (The Stade),Coastal Foraging,wild,coastal,50.855,0.592,"Fishing beach area offering sea kale, sea beet, and rock samphire on the up...","Fishing beach area offering sea kale, sea beet, and rock samphire on the upper shingle.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.855,0.592",Hastings,Hastings,Hastings,East Sussex,TN34 3DW
True,,5,St Helens Park Foraging,Public Park,wild,woodland,50.878,0.595,"Wooded parkland offering hazelnuts, sweet chestnuts, and blackberries along...","Wooded parkland offering hazelnuts, sweet chestnuts, and blackberries along the paths.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.878,0.595",Hastings,Hastings,Hastings,East Sussex,TN34 2LQ
True,,6,Incredible Edible St Leonards,Urban Foraging,vegetables,street-planters,50.852,0.555,"Raised beds and planters along the high street featuring free herbs, chard,...","Raised beds and planters along the high street featuring free herbs, chard, and edible flowers.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.852,0.555",St Leonards-on-Sea,St Leonards-on-Sea,St Leonards-on-Sea,East Sussex,TN38 0BU
True,,7,West Hill Foraging,Public Park,wild,mixed-forage,50.858,0.588,"Grassy slopes and scrubby edges offering wild mustard, blackberries, and el...","Grassy slopes and scrubby edges offering wild mustard, blackberries, and elderberries.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.858,0.588",Hastings,Hastings,Hastings,East Sussex,TN34 3AR
True,,8,Old Roar Gill Foraging,Nature Reserve,wild,woodland,50.885,0.575,"Sheltered wooded valley offering wild garlic, hazelnuts, and seasonal berri...","Sheltered wooded valley offering wild garlic, hazelnuts, and seasonal berries.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.885,0.575",Hastings,Hastings,Hastings,East Sussex,TN34 2BD
True,,9,Incredible Edible Ore,Urban Foraging,vegetables,street-planters,50.872,0.605,Community growing spots in the Ore neighborhood area providing free vegetab...,Community growing spots in the Ore neighborhood area providing free vegetables and herbs.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.872,0.605",Hastings,Hastings,Hastings,East Sussex,TN35 5BH
True,,10,Bulverhythe Coastal Edge,Coastal Foraging,wild,coastal,50.848,0.525,Beach path and upper shore offering sea beet and wild radish on the shingle...,Beach path and upper shore offering sea beet and wild radish on the shingle margins.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.848,0.525",St Leonards-on-Sea,St Leonards-on-Sea,St Leonards-on-Sea,East Sussex,TN38 8AY
True,,11,Church Wood Foraging,Nature Reserve,wild,woodland,50.865,0.515,"Ancient woodland trails offering sweet chestnuts, hazelnuts, and wild fruit...","Ancient woodland trails offering sweet chestnuts, hazelnuts, and wild fruit.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.865,0.515",St Leonards-on-Sea,St Leonards-on-Sea,St Leonards-on-Sea,East Sussex,TN38 9HB
True,,12,Incredible Edible Hollington,Urban Foraging,vegetables,street-planters,50.882,0.535,Public planters in the Hollington area featuring herbs and seasonal edible ...,Public planters in the Hollington area featuring herbs and seasonal edible plants.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.882,0.535",Hastings,Hastings,Hastings,East Sussex,TN38 9RL
True,,13,Warrior Square Gardens Edges,Public Park,wild,mixed-forage,50.851,0.562,Formal park boundary with wild rosemary and seasonal berry bushes.,Formal park boundary with wild rosemary and seasonal berry bushes.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.851,0.562",St Leonards-on-Sea,St Leonards-on-Sea,St Leonards-on-Sea,East Sussex,TN37 6BA
True,,14,Speckled Wood Foraging,Nature Reserve,wild,woodland,50.868,0.608,Community-managed woodland valley offering fruit trees and wild berries.,Community-managed woodland valley offering fruit trees and wild berries.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.868,0.608",Ore,Ore,Ore,East Sussex,TN35 5AF
True,,15,Hastings Beach (Rock-a-Nore),Coastal Foraging,wild,coastal,50.854,0.595,Tidal margins and shingle offering sea beet and wild cabbage near the net s...,Tidal margins and shingle offering sea beet and wild cabbage near the net shops.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.854,0.595",Hastings,Hastings,Hastings,East Sussex,TN34 3DW
