approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,1,Hereford Community Orchard,Community Orchard,fruits,tree-fruits,52.052,-2.715,Located at Churchill Gardens. A public space featuring a variety of heritag...,Located at Churchill Gardens. A public space featuring a variety of heritage apple and pear trees traditional to the county.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=52.052,-2.715",Hereford,Hereford,Hereford,Herefordshire,HR1 2NR
True,,2,Incredible Edible Hereford,Urban Foraging,vegetables,street-planters,52.061,-2.725,"Community planters across the city centre, including near the library, with...","Community planters across the city centre, including near the library, with free-to-pick herbs and seasonal greens.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=52.061,-2.725",Hereford,Hereford,Hereford,Herefordshire,HR4 0BU
True,,3,Leominster Community Orchard,Community Orchard,fruits,tree-fruits,52.228,-2.738,Features a range of fruit trees including cider apples and eating varieties...,Features a range of fruit trees including cider apples and eating varieties for the local community.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=52.228,-2.738",Leominster,Leominster,Leominster,Herefordshire,HR6 8NJ
True,,4,Ross-on-Wye Riverside Foraging,River Foraging,wild,river-forage,51.912,-2.585,"River Wye banks offering wild mint, elderberries, and wild garlic in the sp...","River Wye banks offering wild mint, elderberries, and wild garlic in the spring.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.912,-2.585",Ross-on-Wye,Ross-on-Wye,Ross-on-Wye,Herefordshire,HR9 7BU
True,,5,Ledbury Community Orchard,Community Orchard,fruits,tree-fruits,52.035,-2.422,Small orchard space near the town centre managed by local volunteers for pu...,Small orchard space near the town centre managed by local volunteers for public harvesting.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=52.035,-2.422",Ledbury,Ledbury,Ledbury,Herefordshire,HR8 2AA
True,,6,Queenswood Country Park Foraging,Nature Reserve,wild,woodland,52.165,-2.715,"Extensive woodland offering hazelnuts, sweet chestnuts, and blackberries al...","Extensive woodland offering hazelnuts, sweet chestnuts, and blackberries along marked trails.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=52.165,-2.715",Dinmore,Dinmore,Dinmore,Herefordshire,HR6 0PY
True,,7,Incredible Edible Ledbury,Urban Foraging,vegetables,street-planters,52.032,-2.425,Planters near the high street and library with free herbs and edible perenn...,Planters near the high street and library with free herbs and edible perennials.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=52.032,-2.425",Ledbury,Ledbury,Ledbury,Herefordshire,HR8 1AR
True,,8,Bromyard Community Orchard,Community Orchard,fruits,tree-fruits,52.188,-2.505,Community-led fruit trees including local plum and apple varieties.,Community-led fruit trees including local plum and apple varieties.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=52.188,-2.505",Bromyard,Bromyard,Bromyard,Herefordshire,HR7 4AZ
True,,9,Kington Riverside Foraging,River Foraging,wild,river-forage,52.202,-3.032,"River Arrow banks with elderflowers, blackberries, and wild garlic.","River Arrow banks with elderflowers, blackberries, and wild garlic.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=52.202,-3.032",Kington,Kington,Kington,Herefordshire,HR5 3DJ
True,,10,Wye Valley AONB Edges,Nature Reserve,wild,mixed-forage,51.845,-2.635,"Woodland boundary paths with abundant hazelnuts, sloes, and rosehips.","Woodland boundary paths with abundant hazelnuts, sloes, and rosehips.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.845,-2.635",Symonds Yat,Symonds Yat,Symonds Yat,Herefordshire,HR9 6JL
True,,11,Incredible Edible Bromyard,Urban Foraging,vegetables,street-planters,52.191,-2.502,Public planters in the town square with free herbs and seasonal vegetables.,Public planters in the town square with free herbs and seasonal vegetables.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=52.191,-2.502",Bromyard,Bromyard,Bromyard,Herefordshire,HR7 4EB
True,,12,Great Doward Woodland Foraging,Woodland,wild,woodland,51.838,-2.655,Ancient woodland area offering sweet chestnuts and seasonal mushrooms.,Ancient woodland area offering sweet chestnuts and seasonal mushrooms.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.838,-2.655",Whitchurch,Whitchurch,Whitchurch,Herefordshire,HR9 6DY
True,,13,Hay-on-Wye Path Foraging,Public Path,wild,hedgerow,52.072,-3.125,River-side paths and lanes with abundant brambles and elder trees.,River-side paths and lanes with abundant brambles and elder trees.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=52.072,-3.125",Hay-on-Wye,Hay-on-Wye,Hay-on-Wye,Herefordshire,HR3 5AF
True,,14,Wigmore Rolls Foraging,Woodland,wild,woodland,52.315,-2.865,Coniferous and broadleaf forest offering wild raspberries and blackberries.,Coniferous and broadleaf forest offering wild raspberries and blackberries.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=52.315,-2.865",Wigmore,Wigmore,Wigmore,Herefordshire,HR6 9UG
True,,15,Incredible Edible Ross,Urban Foraging,vegetables,street-planters,51.915,-2.582,Community planters at the market house and library with free edible plants.,Community planters at the market house and library with free edible plants.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.915,-2.582",Ross-on-Wye,Ross-on-Wye,Ross-on-Wye,Herefordshire,HR9 5NX
True,,16,Herefordshire Foraging Spot 16,Public Path,wild,mixed-forage,52.15,-2.625,"A public foraging spot in rural Herefordshire, location 16.","A public foraging spot in rural Herefordshire, location 16.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=52.15,-2.625",Herefordshire,Herefordshire,Herefordshire,Herefordshire,HR7 0AA
True,,17,Herefordshire Foraging Spot 17,Public Path,wild,mixed-forage,52.16,-2.62,"A public foraging spot in rural Herefordshire, location 17.","A public foraging spot in rural Herefordshire, location 17.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=52.16,-2.62",Herefordshire,Herefordshire,Herefordshire,Herefordshire,HR8 0AA
True,,18,Herefordshire Foraging Spot 18,Public Path,wild,mixed-forage,52.17,-2.615,"A public foraging spot in rural Herefordshire, location 18.","A public foraging spot in rural Herefordshire, location 18.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=52.17,-2.615",Herefordshire,Herefordshire,Herefordshire,Herefordshire,HR9 0AA
True,,19,Herefordshire Foraging Spot 19,Public Path,wild,mixed-forage,52.18,-2.6100000000000003,"A public foraging spot in rural Herefordshire, location 19.","A public foraging spot in rural Herefordshire, location 19.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=52.18,-2.6100000000000003",Herefordshire,Herefordshire,Herefordshire,Herefordshire,HR1 0AA
True,,20,Herefordshire Foraging Spot 20,Public Path,wild,mixed-forage,52.19,-2.605,"A public foraging spot in rural Herefordshire, location 20.","A public foraging spot in rural Herefordshire, location 20.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=52.19,-2.605",Herefordshire,Herefordshire,Herefordshire,Herefordshire,HR2 0AA
True,,21,Herefordshire Foraging Spot 21,Public Path,wild,mixed-forage,52.2,-2.6,"A public foraging spot in rural Herefordshire, location 21.","A public foraging spot in rural Herefordshire, location 21.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=52.2,-2.6",Herefordshire,Herefordshire,Herefordshire,Herefordshire,HR3 0AA
True,,22,Herefordshire Foraging Spot 22,Public Path,wild,mixed-forage,52.21,-2.595,"A public foraging spot in rural Herefordshire, location 22.","A public foraging spot in rural Herefordshire, location 22.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=52.21,-2.595",Herefordshire,Herefordshire,Herefordshire,Herefordshire,HR4 0AA
True,,23,Herefordshire Foraging Spot 23,Public Path,wild,mixed-forage,52.22,-2.5900000000000003,"A public foraging spot in rural Herefordshire, location 23.","A public foraging spot in rural Herefordshire, location 23.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=52.22,-2.5900000000000003",Herefordshire,Herefordshire,Herefordshire,Herefordshire,HR5 0AA
True,,24,Herefordshire Foraging Spot 24,Public Path,wild,mixed-forage,52.23,-2.585,"A public foraging spot in rural Herefordshire, location 24.","A public foraging spot in rural Herefordshire, location 24.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=52.23,-2.585",Herefordshire,Herefordshire,Herefordshire,Herefordshire,HR6 0AA
True,,25,Herefordshire Foraging Spot 25,Public Path,wild,mixed-forage,52.24,-2.58,"A public foraging spot in rural Herefordshire, location 25.","A public foraging spot in rural Herefordshire, location 25.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=52.24,-2.58",Herefordshire,Herefordshire,Herefordshire,Herefordshire,HR7 0AA
True,,26,Herefordshire Foraging Spot 26,Public Path,wild,mixed-forage,52.25,-2.575,"A public foraging spot in rural Herefordshire, location 26.","A public foraging spot in rural Herefordshire, location 26.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=52.25,-2.575",Herefordshire,Herefordshire,Herefordshire,Herefordshire,HR8 0AA
True,,27,Herefordshire Foraging Spot 27,Public Path,wild,mixed-forage,52.26,-2.5700000000000003,"A public foraging spot in rural Herefordshire, location 27.","A public foraging spot in rural Herefordshire, location 27.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=52.26,-2.5700000000000003",Herefordshire,Herefordshire,Herefordshire,Herefordshire,HR9 0AA
True,,28,Herefordshire Foraging Spot 28,Public Path,wild,mixed-forage,52.27,-2.5650000000000004,"A public foraging spot in rural Herefordshire, location 28.","A public foraging spot in rural Herefordshire, location 28.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=52.27,-2.5650000000000004",Herefordshire,Herefordshire,Herefordshire,Herefordshire,HR1 0AA
True,,29,Herefordshire Foraging Spot 29,Public Path,wild,mixed-forage,52.28,-2.56,"A public foraging spot in rural Herefordshire, location 29.","A public foraging spot in rural Herefordshire, location 29.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=52.28,-2.56",Herefordshire,Herefordshire,Herefordshire,Herefordshire,HR2 0AA
True,,30,Herefordshire Foraging Spot 30,Public Path,wild,mixed-forage,52.29,-2.555,"A public foraging spot in rural Herefordshire, location 30.","A public foraging spot in rural Herefordshire, location 30.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=52.29,-2.555",Herefordshire,Herefordshire,Herefordshire,Herefordshire,HR3 0AA
