approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
TRUE,,1,Shenley Park Apple Orchard,Community Orchard,fruits,tree-fruits,51.702,-0.285,Shenley Park Apple Orchard in Hertfordshire.,"A location in Hertfordshire for community growing or wild foraging, from the Chiltern Hills to the Lee Valley.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, hertfordshire, foraging, community",0,0,0,,,Summer/Autumn,,,Shenley,Shenley,Shenley,Hertfordshire,WD7 9DW
TRUE,,2,Incredible Edible Stevenage (Town Center),Incredible Edible,vegetables,urban-growing,51.902,-0.202,Incredible Edible Stevenage (Town Center) in Hertfordshire.,"A location in Hertfordshire for community growing or wild foraging, from the Chiltern Hills to the Lee Valley.",6;7;8;9,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"incredible edible, hertfordshire, foraging, community",0,0,0,,,Summer,,,Stevenage,Stevenage,Stevenage,Hertfordshire,SG1 1BP
TRUE,,3,Highfield Park Community Orchard,Community Orchard,fruits,tree-fruits,51.738,-0.305,Highfield Park Community Orchard in Hertfordshire.,"A location in Hertfordshire for community growing or wild foraging, from the Chiltern Hills to the Lee Valley.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, hertfordshire, foraging, community",0,0,0,,,Summer/Autumn,,,St Albans,St Albans,St Albans,Hertfordshire,AL4 0RE
TRUE,,4,Incredible Edible St Albans,Incredible Edible,herbs,urban-growing,51.752,-0.338,Incredible Edible St Albans in Hertfordshire.,"A location in Hertfordshire for community growing or wild foraging, from the Chiltern Hills to the Lee Valley.",6;7;8;9,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"incredible edible, hertfordshire, foraging, community",0,0,0,,,Summer,,,St Albans,St Albans,St Albans,Hertfordshire,AL1 3RR
TRUE,,5,Rivers Orchard Community Nature Preserve,Community Orchard,fruits,tree-fruits,51.815,0.145,Rivers Orchard Community Nature Preserve in Hertfordshire.,"A location in Hertfordshire for community growing or wild foraging, from the Chiltern Hills to the Lee Valley.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, hertfordshire, foraging, community",0,0,0,,,Summer/Autumn,,,Sawbridgeworth,Sawbridgeworth,Sawbridgeworth,Hertfordshire,CM21 9PH
TRUE,,6,Incredible Edible Hitchin,Incredible Edible,vegetables,urban-growing,51.948,-0.278,Incredible Edible Hitchin in Hertfordshire.,"A location in Hertfordshire for community growing or wild foraging, from the Chiltern Hills to the Lee Valley.",6;7;8;9,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"incredible edible, hertfordshire, foraging, community",0,0,0,,,Summer,,,Hitchin,Hitchin,Hitchin,Hertfordshire,SG5 1AB
TRUE,,7,Tewin Orchard & Nature Reserve,Community Orchard,fruits,tree-fruits,51.812,-0.165,Tewin Orchard & Nature Reserve in Hertfordshire.,"A location in Hertfordshire for community growing or wild foraging, from the Chiltern Hills to the Lee Valley.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, hertfordshire, foraging, community",0,0,0,,,Summer/Autumn,,,Tewin,Tewin,Tewin,Hertfordshire,AL6 0LZ
TRUE,,8,Incredible Edible Watford (Cassiobury),Incredible Edible,herbs,urban-growing,51.662,-0.415,Incredible Edible Watford (Cassiobury) in Hertfordshire.,"A location in Hertfordshire for community growing or wild foraging, from the Chiltern Hills to the Lee Valley.",6;7;8;9,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"incredible edible, hertfordshire, foraging, community",0,0,0,,,Summer,,,Watford,Watford,Watford,Hertfordshire,WD18 7HY
TRUE,,9,Letchworth Garden City Orchard,Community Orchard,fruits,tree-fruits,51.978,-0.228,Letchworth Garden City Orchard in Hertfordshire.,"A location in Hertfordshire for community growing or wild foraging, from the Chiltern Hills to the Lee Valley.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, hertfordshire, foraging, community",0,0,0,,,Summer/Autumn,,,Letchworth,Letchworth,Letchworth,Hertfordshire,SG6 3AB
TRUE,,10,Incredible Edible Tring,Incredible Edible,vegetables,urban-growing,51.795,-0.662,Incredible Edible Tring in Hertfordshire.,"A location in Hertfordshire for community growing or wild foraging, from the Chiltern Hills to the Lee Valley.",6;7;8;9,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"incredible edible, hertfordshire, foraging, community",0,0,0,,,Summer,,,Tring,Tring,Tring,Hertfordshire,HP23 4AB
