approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,1,Greenhead Park Community Orchard,Community Orchard,fruits,tree-fruits,53.648,-1.795,Beautifully maintained community orchard within Greenhead Park featuring he...,"Beautifully maintained community orchard within Greenhead Park featuring heritage apple, pear, and plum varieties.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=53.648,-1.795",Huddersfield,Huddersfield,Huddersfield,West Yorkshire,HD1 4DT
True,,2,Incredible Edible Huddersfield (Central),Urban Foraging,vegetables,street-planters,53.645,-1.782,Public planters in the town centre managed for free harvesting of seasonal ...,"Public planters in the town centre managed for free harvesting of seasonal herbs, salads, and vegetables.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=53.645,-1.782",Huddersfield,Huddersfield,Huddersfield,West Yorkshire,HD1 2NW
True,,3,Beaumont Park Fruit Trail,Public Park,fruits,tree-fruits,53.628,-1.808,Historic cliffside park featuring a variety of fruit trees and soft fruit b...,Historic cliffside park featuring a variety of fruit trees and soft fruit bushes integrated into the trail system.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=53.628,-1.808",Huddersfield,Huddersfield,Huddersfield,West Yorkshire,HD4 7AY
True,,4,Stirley Farm Orchard,Community Orchard,fruits,tree-fruits,53.618,-1.775,Yorkshire Wildlife Trust farm with a traditional orchard open for public pi...,Yorkshire Wildlife Trust farm with a traditional orchard open for public picking in the autumn months.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=53.618,-1.775",Huddersfield,Huddersfield,Huddersfield,West Yorkshire,HD4 6RP
True,,5,Epiphany Forest Garden,Community Orchard,fruits,mixed-edibles,53.665,-1.762,"A diverse forest garden project in Brackenhall with perennial vegetables, f...","A diverse forest garden project in Brackenhall with perennial vegetables, fruit trees, and nut bushes.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=53.665,-1.762",Huddersfield,Huddersfield,Huddersfield,West Yorkshire,HD2 1AB
True,,6,Bradley Park Foraging Trail,Public Path,wild,woodland,53.678,-1.745,"Woodland paths and green corridors providing hazelnuts, elderberries, and a...","Woodland paths and green corridors providing hazelnuts, elderberries, and autumn berries.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=53.678,-1.745",Huddersfield,Huddersfield,Huddersfield,West Yorkshire,HD2 1QG
True,,7,Incredible Edible Milnsbridge,Urban Foraging,vegetables,street-planters,53.642,-1.825,Community planters along the canal and high street featuring free herbs and...,Community planters along the canal and high street featuring free herbs and seasonal greens.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=53.642,-1.825",Milnsbridge,Milnsbridge,Milnsbridge,West Yorkshire,HD3 4LT
True,,8,Colne Valley Canal Path Foraging,Public Path,wild,hedgerow,53.645,-1.832,"Towpath edges offering abundant wild garlic (spring), elderberries, and bla...","Towpath edges offering abundant wild garlic (spring), elderberries, and blackberries (autumn).",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=53.645,-1.832",Huddersfield,Huddersfield,Huddersfield,West Yorkshire,HD3 4QD
True,,9,Snowdon-Wright Woods Foraging,Nature Reserve,wild,mixed-forage,53.615,-1.802,"Nature reserve offering a variety of wild fruit including sloes, blackberri...","Nature reserve offering a variety of wild fruit including sloes, blackberries, and rosehips.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=53.615,-1.802",Huddersfield,Huddersfield,Huddersfield,West Yorkshire,HD4 6TU
True,,10,Incredible Edible Slaithwaite,Urban Foraging,vegetables,street-planters,53.622,-1.882,Raised beds and planters near the village square featuring culinary herbs a...,Raised beds and planters near the village square featuring culinary herbs and seasonal vegetables.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=53.622,-1.882",Slaithwaite,Slaithwaite,Slaithwaite,West Yorkshire,HD7 5AL
True,,11,Dalton Bank Nature Reserve,Nature Reserve,wild,mixed-forage,53.662,-1.735,"Wooded hillside providing sweet chestnuts, hazelnuts, and autumn berries.","Wooded hillside providing sweet chestnuts, hazelnuts, and autumn berries.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=53.662,-1.735",Huddersfield,Huddersfield,Huddersfield,West Yorkshire,HD5 0RE
True,,12,Huddersfield Narrow Canal Edges,Public Path,wild,hedgerow,53.648,-1.775,Canal path through the town margins offering elderberries and abundant blac...,Canal path through the town margins offering elderberries and abundant blackberry picking.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=53.648,-1.775",Huddersfield,Huddersfield,Huddersfield,West Yorkshire,HD1 3BD
True,,13,Incredible Edible Marsden,Urban Foraging,vegetables,street-planters,53.602,-1.925,Public planters in the village centre providing free edible plants and herb...,Public planters in the village centre providing free edible plants and herbs.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=53.602,-1.925",Marsden,Marsden,Marsden,West Yorkshire,HD7 6BW
True,,14,Ravensknowle Park Wild Edges,Public Park,wild,mixed-forage,53.642,-1.758,Park peripheral paths with fruit-bearing bushes and elder trees.,Park peripheral paths with fruit-bearing bushes and elder trees.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=53.642,-1.758",Huddersfield,Huddersfield,Huddersfield,West Yorkshire,HD5 8DJ
True,,15,Longwood Edge Foraging,Public Path,wild,mixed-forage,53.652,-1.842,Public rights of way across the edge with abundant blackberries and bilberr...,Public rights of way across the edge with abundant blackberries and bilberries (higher slopes).,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=53.652,-1.842",Huddersfield,Huddersfield,Huddersfield,West Yorkshire,HD3 4RX
