approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,1,Pickering Park Community Orchard,Community Orchard,fruits,tree-fruits,53.725,-0.405,Publicly accessible orchard within the historic park featuring local and tr...,Publicly accessible orchard within the historic park featuring local and traditional apple varieties.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=53.725,-0.405",Hull,Hull,Hull,East Riding of Yorkshire,HU4 7AD
True,,2,Incredible Edible Hull (City Centre),Urban Foraging,vegetables,street-planters,53.742,-0.335,Raised beds and planters in the city centre featuring culinary herbs and se...,Raised beds and planters in the city centre featuring culinary herbs and seasonal greens for free public picking.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=53.742,-0.335",Hull,Hull,Hull,East Riding of Yorkshire,HU1 1UU
True,,3,Humber Foreshore Foraging,Coastal Foraging,wild,coastal,53.715,-0.435,"Estuary margins offering sea beet, sea aster, and wild radish along the peb...","Estuary margins offering sea beet, sea aster, and wild radish along the pebble and mud reaches.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=53.715,-0.435",Hessle,Hessle,Hessle,East Riding of Yorkshire,HU13 0HB
True,,4,East Park Foraging Edges,Public Park,wild,mixed-forage,53.765,-0.305,"The boundary paths of Hull's largest park offer abundant elderberries, blac...","The boundary paths of Hull's largest park offer abundant elderberries, blackberries, and hawthorn berries.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=53.765,-0.305",Hull,Hull,Hull,East Riding of Yorkshire,HU8 8JU
True,,5,Oak Road Community Orchard,Community Orchard,fruits,tree-fruits,53.775,-0.345,A quiet community space with fruit trees managed for the benefit of local r...,A quiet community space with fruit trees managed for the benefit of local residents.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=53.775,-0.345",Hull,Hull,Hull,East Riding of Yorkshire,HU6 7RR
True,,6,Incredible Edible Hull (Avenue),Urban Foraging,vegetables,street-planters,53.755,-0.355,"Street-side planters along the Avenues area featuring herbs, edible flowers...","Street-side planters along the Avenues area featuring herbs, edible flowers, and salads.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=53.755,-0.355",Hull,Hull,Hull,East Riding of Yorkshire,HU5 3EE
True,,7,River Hull Path Foraging,Public Path,wild,river-forage,53.785,-0.335,"Riverside trail north of the city offering wild mint, elder, and blackberri...","Riverside trail north of the city offering wild mint, elder, and blackberries.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=53.785,-0.335",Hull,Hull,Hull,East Riding of Yorkshire,HU6 0AA
True,,8,Foredyke Green Nature Reserve,Nature Reserve,wild,mixed-forage,53.782,-0.302,"Reclaimed green space with heavy crops of sloes, rosehips, and seasonal wil...","Reclaimed green space with heavy crops of sloes, rosehips, and seasonal wild fruit.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=53.782,-0.302",Hull,Hull,Hull,East Riding of Yorkshire,HU7 0XU
True,,9,Incredible Edible Hull (West),Urban Foraging,vegetables,street-planters,53.738,-0.365,Community growing spots in West Hull featuring edible perennials and herbs.,Community growing spots in West Hull featuring edible perennials and herbs.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=53.738,-0.365",Hull,Hull,Hull,East Riding of Yorkshire,HU3 2LL
True,,10,Beresford Avenue Orchard,Community Orchard,fruits,tree-fruits,53.772,-0.352,A neighborhood orchard project integrated into local green space.,A neighborhood orchard project integrated into local green space.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=53.772,-0.352",Hull,Hull,Hull,East Riding of Yorkshire,HU6 7LR
True,,11,Pearson Park Wild Edges,Public Park,wild,mixed-forage,53.752,-0.342,Traditional Victorian park with boundary scrub offering elderflowers and be...,Traditional Victorian park with boundary scrub offering elderflowers and berries.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=53.752,-0.342",Hull,Hull,Hull,East Riding of Yorkshire,HU5 2TQ
True,,12,Longhill Nature Reserve,Nature Reserve,wild,mixed-forage,53.775,-0.275,"Former railway embankment now rich in hazelnuts, sloes, and blackberries.","Former railway embankment now rich in hazelnuts, sloes, and blackberries.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=53.775,-0.275",Hull,Hull,Hull,East Riding of Yorkshire,HU8 9RE
True,,13,Incredible Edible Hull (North),Urban Foraging,vegetables,street-planters,53.788,-0.352,Public planters in North Hull providing free herbs and edible perennials.,Public planters in North Hull providing free herbs and edible perennials.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=53.788,-0.352",Hull,Hull,Hull,East Riding of Yorkshire,HU6 7PY
True,,14,Beverley Road Path Foraging,Public Path,wild,mixed-forage,53.755,-0.345,Green corridors along the main road providing seasonal wild fruit and berri...,Green corridors along the main road providing seasonal wild fruit and berries.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=53.755,-0.345",Hull,Hull,Hull,East Riding of Yorkshire,HU3 1XA
True,,15,Coastal Foraging (Paull),Coastal Foraging,wild,coastal,53.718,-0.235,"Salt marsh edges offering sea aster, sea purslane, and samphire (seasonal).","Salt marsh edges offering sea aster, sea purslane, and samphire (seasonal).",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=53.718,-0.235",Paull,Paull,Paull,East Riding of Yorkshire,HU12 8AY
