approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
TRUE,,1,Ventnor Community Orchard,Community Orchard,fruits,tree-fruits,50.598,-1.215,Ventnor Community Orchard on the Isle of Wight.,"A location on the Isle of Wight offering free food from community orchards, coastal cliffs, or ancient woodlands.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, isle of wight, foraging, sustainable",0,0,0,,,Summer/Autumn,,,Ventnor,Ventnor,Ventnor,Isle of Wight,PO38 1LU
TRUE,,2,Ryde Community Orchard,Community Orchard,fruits,tree-fruits,50.725,-1.162,Ryde Community Orchard on the Isle of Wight.,"A location on the Isle of Wight offering free food from community orchards, coastal cliffs, or ancient woodlands.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, isle of wight, foraging, sustainable",0,0,0,,,Summer/Autumn,,,Ryde,Ryde,Ryde,Isle of Wight,PO33 1AH
TRUE,,3,Pan Country Park Orchard,Community Orchard,fruits,tree-fruits,50.695,-1.278,Pan Country Park Orchard on the Isle of Wight.,"A location on the Isle of Wight offering free food from community orchards, coastal cliffs, or ancient woodlands.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, isle of wight, foraging, sustainable",0,0,0,,,Summer/Autumn,,,Newport,Newport,Newport,Isle of Wight,PO30 2AS
TRUE,,4,Incredible Edible Totland,Incredible Edible,vegetables,urban-growing,50.678,-1.545,Incredible Edible Totland on the Isle of Wight.,"A location on the Isle of Wight offering free food from community orchards, coastal cliffs, or ancient woodlands.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"incredible edible, isle of wight, foraging, sustainable",0,0,0,,,Summer/Autumn,,,Totland Bay,Totland Bay,Totland Bay,Isle of Wight,PO39 0ED
TRUE,,5,Cowes Community Allotment Plot,Community Garden,vegetables,urban-growing,50.755,-1.298,Cowes Community Allotment Plot on the Isle of Wight.,"A location on the Isle of Wight offering free food from community orchards, coastal cliffs, or ancient woodlands.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community garden, isle of wight, foraging, sustainable",0,0,0,,,Summer/Autumn,,,Cowes,Cowes,Cowes,Isle of Wight,PO31 7HU
TRUE,,6,Yarmouth Community Garden,Community Garden,fruits,mixed-produce,50.705,-1.498,Yarmouth Community Garden on the Isle of Wight.,"A location on the Isle of Wight offering free food from community orchards, coastal cliffs, or ancient woodlands.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community garden, isle of wight, foraging, sustainable",0,0,0,,,Summer/Autumn,,,Yarmouth,Yarmouth,Yarmouth,Isle of Wight,PO41 0RA
TRUE,,7,Shanklin Community Orchard,Community Orchard,fruits,tree-fruits,50.628,-1.178,Shanklin Community Orchard on the Isle of Wight.,"A location on the Isle of Wight offering free food from community orchards, coastal cliffs, or ancient woodlands.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, isle of wight, foraging, sustainable",0,0,0,,,Summer/Autumn,,,Shanklin,Shanklin,Shanklin,Isle of Wight,PO37 7BH
TRUE,,8,Newport Roman Villa Edible Garden,Community Garden,herbs,historic,50.698,-1.285,Newport Roman Villa Edible Garden on the Isle of Wight.,"A location on the Isle of Wight offering free food from community orchards, coastal cliffs, or ancient woodlands.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community garden, isle of wight, foraging, sustainable",0,0,0,,,Summer/Autumn,,,Newport,Newport,Newport,Isle of Wight,PO30 2EF
TRUE,,9,Brading Community Orchard,Community Orchard,fruits,tree-fruits,50.682,-1.145,Brading Community Orchard on the Isle of Wight.,"A location on the Isle of Wight offering free food from community orchards, coastal cliffs, or ancient woodlands.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, isle of wight, foraging, sustainable",0,0,0,,,Summer/Autumn,,,Brading,Brading,Brading,Isle of Wight,PO36 0DL
TRUE,,10,Sandown Incredible Edible Planters,Incredible Edible,herbs,urban-growing,50.655,-1.155,Sandown Incredible Edible Planters on the Isle of Wight.,"A location on the Isle of Wight offering free food from community orchards, coastal cliffs, or ancient woodlands.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"incredible edible, isle of wight, foraging, sustainable",0,0,0,,,Summer/Autumn,,,Sandown,Sandown,Sandown,Isle of Wight,PO36 8AF
TRUE,,11,East Cowes Community Orchard,Community Orchard,fruits,tree-fruits,50.758,-1.282,East Cowes Community Orchard on the Isle of Wight.,"A location on the Isle of Wight offering free food from community orchards, coastal cliffs, or ancient woodlands.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, isle of wight, foraging, sustainable",0,0,0,,,Summer/Autumn,,,East Cowes,East Cowes,East Cowes,Isle of Wight,PO32 6LF
TRUE,,12,Wootton Bridge Edible Walk,Incredible Edible,fruits,urban-growing,50.718,-1.225,Wootton Bridge Edible Walk on the Isle of Wight.,"A location on the Isle of Wight offering free food from community orchards, coastal cliffs, or ancient woodlands.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"incredible edible, isle of wight, foraging, sustainable",0,0,0,,,Summer/Autumn,,,Wootton,Wootton,Wootton,Isle of Wight,PO33 4NW
TRUE,,13,Freshwater Community Garden,Community Garden,fruits,mixed-produce,50.682,-1.525,Freshwater Community Garden on the Isle of Wight.,"A location on the Isle of Wight offering free food from community orchards, coastal cliffs, or ancient woodlands.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community garden, isle of wight, foraging, sustainable",0,0,0,,,Summer/Autumn,,,Freshwater,Freshwater,Freshwater,Isle of Wight,PO40 9BP
TRUE,,14,Gurnard Community Orchard,Community Orchard,fruits,tree-fruits,50.762,-1.315,Gurnard Community Orchard on the Isle of Wight.,"A location on the Isle of Wight offering free food from community orchards, coastal cliffs, or ancient woodlands.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, isle of wight, foraging, sustainable",0,0,0,,,Summer/Autumn,,,Gurnard,Gurnard,Gurnard,Isle of Wight,PO31 8JL
TRUE,,15,Northwood Park Fruit Trees,Community Orchard,fruits,tree-fruits,50.761,-1.298,Northwood Park Fruit Trees on the Isle of Wight.,"A location on the Isle of Wight offering free food from community orchards, coastal cliffs, or ancient woodlands.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, isle of wight, foraging, sustainable",0,0,0,,,Summer/Autumn,,,Cowes,Cowes,Cowes,Isle of Wight,PO31 8AZ
TRUE,,16,Steephill Cove Sea Fennel,Coastal Foraging,herbs,wild-greens,50.589,-1.215,Steephill Cove Sea Fennel on the Isle of Wight.,"A location on the Isle of Wight offering free food from community orchards, coastal cliffs, or ancient woodlands.",3;4;5;6;7;8,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"coastal foraging, isle of wight, foraging, sustainable",0,0,0,,,Spring/Summer,,,Ventnor,Ventnor,Ventnor,Isle of Wight,PO38 1UG
TRUE,,17,Bembridge Ledge Seaweed,Coastal Foraging,vegetables,seaweed,50.685,-1.065,Bembridge Ledge Seaweed on the Isle of Wight.,"A location on the Isle of Wight offering free food from community orchards, coastal cliffs, or ancient woodlands.",3;4;5;6;7;8,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"coastal foraging, isle of wight, foraging, sustainable",0,0,0,,,Spring/Summer,,,Bembridge,Bembridge,Bembridge,Isle of Wight,PO35 5TR
TRUE,,18,Compton Bay Rock Samphire,Coastal Foraging,vegetables,wild-greens,50.665,-1.478,Compton Bay Rock Samphire on the Isle of Wight.,"A location on the Isle of Wight offering free food from community orchards, coastal cliffs, or ancient woodlands.",3;4;5;6;7;8,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"coastal foraging, isle of wight, foraging, sustainable",0,0,0,,,Spring/Summer,,,Freshwater,Freshwater,Freshwater,Isle of Wight,PO40 9TQ
TRUE,,19,Newton Creek Samphire (Marsh),Coastal Foraging,vegetables,wild-greens,50.725,-1.415,Newton Creek Samphire (Marsh) on the Isle of Wight.,"A location on the Isle of Wight offering free food from community orchards, coastal cliffs, or ancient woodlands.",3;4;5;6;7;8,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"coastal foraging, isle of wight, foraging, sustainable",0,0,0,,,Spring/Summer,,,Newtown,Newtown,Newtown,Isle of Wight,PO30 4PA
TRUE,,20,Gurnard Bay Sea Beet,Coastal Foraging,vegetables,wild-greens,50.765,-1.325,Gurnard Bay Sea Beet on the Isle of Wight.,"A location on the Isle of Wight offering free food from community orchards, coastal cliffs, or ancient woodlands.",3;4;5;6;7;8,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"coastal foraging, isle of wight, foraging, sustainable",0,0,0,,,Spring/Summer,,,Cowes,Cowes,Cowes,Isle of Wight,PO31 8LE
TRUE,,21,Yaverland Cliffs Sea Kale,Coastal Foraging,vegetables,wild-greens,50.665,-1.125,Yaverland Cliffs Sea Kale on the Isle of Wight.,"A location on the Isle of Wight offering free food from community orchards, coastal cliffs, or ancient woodlands.",3;4;5;6;7;8,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"coastal foraging, isle of wight, foraging, sustainable",0,0,0,,,Spring/Summer,,,Sandown,Sandown,Sandown,Isle of Wight,PO36 8QB
TRUE,,22,Totland Bay Wild Fennel,Coastal Foraging,herbs,wild-greens,50.679,-1.545,Totland Bay Wild Fennel on the Isle of Wight.,"A location on the Isle of Wight offering free food from community orchards, coastal cliffs, or ancient woodlands.",3;4;5;6;7;8,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"coastal foraging, isle of wight, foraging, sustainable",0,0,0,,,Spring/Summer,,,Totland,Totland,Totland,Isle of Wight,PO39 0BQ
TRUE,,23,Bonchurch Shore Seaweed,Coastal Foraging,vegetables,seaweed,50.595,-1.185,Bonchurch Shore Seaweed on the Isle of Wight.,"A location on the Isle of Wight offering free food from community orchards, coastal cliffs, or ancient woodlands.",3;4;5;6;7;8,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"coastal foraging, isle of wight, foraging, sustainable",0,0,0,,,Spring/Summer,,,Ventnor,Ventnor,Ventnor,Isle of Wight,PO38 1RN
TRUE,,24,Ryde Sands Sea Lettuce,Coastal Foraging,vegetables,seaweed,50.732,-1.155,Ryde Sands Sea Lettuce on the Isle of Wight.,"A location on the Isle of Wight offering free food from community orchards, coastal cliffs, or ancient woodlands.",3;4;5;6;7;8,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"coastal foraging, isle of wight, foraging, sustainable",0,0,0,,,Spring/Summer,,,Ryde,Ryde,Ryde,Isle of Wight,PO33 2ND
TRUE,,25,Alum Bay Rock Samphire,Coastal Foraging,vegetables,wild-greens,50.665,-1.575,Alum Bay Rock Samphire on the Isle of Wight.,"A location on the Isle of Wight offering free food from community orchards, coastal cliffs, or ancient woodlands.",3;4;5;6;7;8,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"coastal foraging, isle of wight, foraging, sustainable",0,0,0,,,Spring/Summer,,,The Needles,The Needles,The Needles,Isle of Wight,PO39 0JD
TRUE,,26,Yarmouth Estuary Purslane,Coastal Foraging,vegetables,wild-greens,50.702,-1.492,Yarmouth Estuary Purslane on the Isle of Wight.,"A location on the Isle of Wight offering free food from community orchards, coastal cliffs, or ancient woodlands.",3;4;5;6;7;8,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"coastal foraging, isle of wight, foraging, sustainable",0,0,0,,,Spring/Summer,,,Yarmouth,Yarmouth,Yarmouth,Isle of Wight,PO41 0PB
TRUE,,27,Seaview Coastal Herbs,Coastal Foraging,herbs,wild-greens,50.718,-1.108,Seaview Coastal Herbs on the Isle of Wight.,"A location on the Isle of Wight offering free food from community orchards, coastal cliffs, or ancient woodlands.",3;4;5;6;7;8,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"coastal foraging, isle of wight, foraging, sustainable",0,0,0,,,Spring/Summer,,,Seaview,Seaview,Seaview,Isle of Wight,PO34 5AW
TRUE,,28,Fishbourne Sea Beet,Coastal Foraging,vegetables,wild-greens,50.722,-1.218,Fishbourne Sea Beet on the Isle of Wight.,"A location on the Isle of Wight offering free food from community orchards, coastal cliffs, or ancient woodlands.",3;4;5;6;7;8,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"coastal foraging, isle of wight, foraging, sustainable",0,0,0,,,Spring/Summer,,,Fishbourne,Fishbourne,Fishbourne,Isle of Wight,PO33 4EU
TRUE,,29,Kingston Shore Sloes,Foraging,fruits,hedgerow,50.745,-1.285,Kingston Shore Sloes on the Isle of Wight.,"A location on the Isle of Wight offering free food from community orchards, coastal cliffs, or ancient woodlands.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, isle of wight, foraging, sustainable",0,0,0,,,Summer/Autumn,,,East Cowes,East Cowes,East Cowes,Isle of Wight,PO32 6JS
TRUE,,30,Appley Beach Foraging,Coastal Foraging,vegetables,seaweed,50.725,-1.145,Appley Beach Foraging on the Isle of Wight.,"A location on the Isle of Wight offering free food from community orchards, coastal cliffs, or ancient woodlands.",3;4;5;6;7;8,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"coastal foraging, isle of wight, foraging, sustainable",0,0,0,,,Spring/Summer,,,Ryde,Ryde,Ryde,Isle of Wight,PO33 1ND
TRUE,,31,Fort Victoria Coastal Path (Berries),Foraging,fruits,hedgerow,50.708,-1.528,Fort Victoria Coastal Path (Berries) on the Isle of Wight.,"A location on the Isle of Wight offering free food from community orchards, coastal cliffs, or ancient woodlands.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, isle of wight, foraging, sustainable",0,0,0,,,Summer/Autumn,,,Yarmouth,Yarmouth,Yarmouth,Isle of Wight,PO41 0RR
TRUE,,32,Whitecliff Bay Wild Radish,Coastal Foraging,vegetables,wild-greens,50.672,-1.095,Whitecliff Bay Wild Radish on the Isle of Wight.,"A location on the Isle of Wight offering free food from community orchards, coastal cliffs, or ancient woodlands.",3;4;5;6;7;8,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"coastal foraging, isle of wight, foraging, sustainable",0,0,0,,,Spring/Summer,,,Bembridge,Bembridge,Bembridge,Isle of Wight,PO35 5PW
TRUE,,33,St Helens Duver Foraging,Coastal Foraging,fruits,coastal,50.705,-1.105,St Helens Duver Foraging on the Isle of Wight.,"A location on the Isle of Wight offering free food from community orchards, coastal cliffs, or ancient woodlands.",3;4;5;6;7;8,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"coastal foraging, isle of wight, foraging, sustainable",0,0,0,,,Spring/Summer,,,St Helens,St Helens,St Helens,Isle of Wight,PO33 1RW
TRUE,,34,Monks Bay Sea Kale,Coastal Foraging,vegetables,wild-greens,50.595,-1.175,Monks Bay Sea Kale on the Isle of Wight.,"A location on the Isle of Wight offering free food from community orchards, coastal cliffs, or ancient woodlands.",3;4;5;6;7;8,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"coastal foraging, isle of wight, foraging, sustainable",0,0,0,,,Spring/Summer,,,Bonchurch,Bonchurch,Bonchurch,Isle of Wight,PO38 1RP
TRUE,,35,Colwell Bay Sea Fennel,Coastal Foraging,herbs,wild-greens,50.685,-1.535,Colwell Bay Sea Fennel on the Isle of Wight.,"A location on the Isle of Wight offering free food from community orchards, coastal cliffs, or ancient woodlands.",3;4;5;6;7;8,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"coastal foraging, isle of wight, foraging, sustainable",0,0,0,,,Spring/Summer,,,Freshwater,Freshwater,Freshwater,Isle of Wight,PO40 9NP
TRUE,,36,Parkhurst Forest (Sweet Chestnuts),Foraging,nuts,woodland,50.712,-1.335,Parkhurst Forest (Sweet Chestnuts) on the Isle of Wight.,"A location on the Isle of Wight offering free food from community orchards, coastal cliffs, or ancient woodlands.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, isle of wight, foraging, sustainable",0,0,0,,,Summer/Autumn,,,Newport,Newport,Newport,Isle of Wight,PO30 5UL
TRUE,,37,Firestone Copse (Hazelnuts),Foraging,nuts,woodland,50.718,-1.205,Firestone Copse (Hazelnuts) on the Isle of Wight.,"A location on the Isle of Wight offering free food from community orchards, coastal cliffs, or ancient woodlands.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, isle of wight, foraging, sustainable",0,0,0,,,Summer/Autumn,,,Wootton Bridge,Wootton Bridge,Wootton Bridge,Isle of Wight,PO33 4LQ
TRUE,,38,Brighstone Forest Foraging,Foraging,fruits,woodland,50.665,-1.395,Brighstone Forest Foraging on the Isle of Wight.,"A location on the Isle of Wight offering free food from community orchards, coastal cliffs, or ancient woodlands.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, isle of wight, foraging, sustainable",0,0,0,,,Summer/Autumn,,,Brighstone,Brighstone,Brighstone,Isle of Wight,PO30 4AS
TRUE,,39,Borthwood Copse Wild Garlic,Foraging,herbs,woodland,50.655,-1.185,Borthwood Copse Wild Garlic on the Isle of Wight.,"A location on the Isle of Wight offering free food from community orchards, coastal cliffs, or ancient woodlands.",3;4;5,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, isle of wight, foraging, sustainable",0,0,0,,,Spring,,,Sandown,Sandown,Sandown,Isle of Wight,PO36 0LD
TRUE,,40,America Wood Hazelnuts,Foraging,nuts,woodland,50.628,-1.195,America Wood Hazelnuts on the Isle of Wight.,"A location on the Isle of Wight offering free food from community orchards, coastal cliffs, or ancient woodlands.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, isle of wight, foraging, sustainable",0,0,0,,,Summer/Autumn,,,Shanklin,Shanklin,Shanklin,Isle of Wight,PO37 7EL
TRUE,,41,Golden Hill Fort Country Park,Foraging,fruits,hedgerow,50.685,-1.535,Golden Hill Fort Country Park on the Isle of Wight.,"A location on the Isle of Wight offering free food from community orchards, coastal cliffs, or ancient woodlands.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, isle of wight, foraging, sustainable",0,0,0,,,Summer/Autumn,,,Freshwater,Freshwater,Freshwater,Isle of Wight,PO40 9SJ
TRUE,,42,Mottistone Manor Estate (Paths),Foraging,fruits,hedgerow,50.652,-1.425,Mottistone Manor Estate (Paths) on the Isle of Wight.,"A location on the Isle of Wight offering free food from community orchards, coastal cliffs, or ancient woodlands.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, isle of wight, foraging, sustainable",0,0,0,,,Summer/Autumn,,,Mottistone,Mottistone,Mottistone,Isle of Wight,PO30 4ED
