approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,1,Holywells Park Orchard,Community Orchard,fruits,tree-fruits,52.048,1.172,Heritage fruit in a historic landscape.,"The orchard area near the Conservatory contains a variety of apple, pear, and plum trees open for public harvesting.",8;9;10,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"apples, pears, plums",42,0,0,,grapes.smile.intent,Autumn,,http://googleusercontent.com/maps.google.com/ips1,Cliff Lane,Ipswich,Holywells,Suffolk,IP3
True,,2,Orwell Estuary Sea Samphire,Coastal Foraging,vegetables,coastal-greens,52.025,1.185,Salty marsh greens along the Orwell.,Marsh samphire and sea aster can be found on the tidal mudflats along the Strand (near Freston).,6;7;8,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,"samphire, sea aster",35,0,0,,puddles.shrimp.salt,Summer,,http://googleusercontent.com/maps.google.com/ips2,The Strand,Wherstead,Ipswich Fringe,Suffolk,IP9
True,,3,Incredible Edible Ipswich - Waterfront,Incredible Edible,vegetables,street-planters,52.052,1.162,Urban edibles by the docks.,"Planters located near the University and Waterfront featuring rosemary, mint, and seasonal chard.",5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"herbs, vegetables",28,0,0,,ships.mint.dock,Summer,,http://googleusercontent.com/maps.google.com/ips3,Neptune Quay,Ipswich,Waterfront,Suffolk,IP4
True,,4,Christchurch Park Sweet Chestnuts,Wild Foraging,nuts,woodland-nuts,52.062,1.155,Ancient nut trees in the town centre.,"Large, mature sweet chestnut trees are scattered throughout the upper wooded sections of the park.",10;11,https://images.unsplash.com/photo-1543362906-acfc16c67564?w=512&q=80,chestnuts,56,0,0,,park.nut.fall,Autumn,,http://googleusercontent.com/maps.google.com/ips4,Soane Street,Ipswich,City Centre,Suffolk,IP4
True,,5,Giants Hill Hazelnuts,Wild Foraging,nuts,woodland-nuts,52.078,1.125,Hazel groves in north Ipswich.,Dense hazel thickets along the public footpaths provide a great crop of nuts in late autumn.,9;10,https://images.unsplash.com/photo-1507750545-0909477b819e?w=512&q=80,hazelnuts,21,0,0,,hill.hazel.paths,Autumn,,http://googleusercontent.com/maps.google.com/ips5,Old Norwich Road,Ipswich,Whitton,Suffolk,IP1
True,,6,Chantry Park Blackberries,Wild Foraging,fruits,berries,52.055,1.118,Vast bramble fields.,"The wilder perimeter of the park, especially near the ponds, is excellent for blackberry picking.",8;9,https://images.unsplash.com/photo-1464306208223-e0b4495a5553?w=512&q=80,blackberries,19,0,0,,berry.pond.wild,Summer,,http://googleusercontent.com/maps.google.com/ips6,Hadleigh Road,Ipswich,Chantry,Suffolk,IP2
True,,7,River Gipping Wild Garlic,Wild Foraging,vegetables,wild-greens,52.065,1.132,Riverside ramsons.,"Find wild garlic on the damp, shaded banks of the Gipping near the Boss Hall area.",3;4;5,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,garlic,47,0,0,,river.garlic.shade,Spring,,http://googleusercontent.com/maps.google.com/ips7,Sproughton Road,Ipswich,Boss Hall,Suffolk,IP1
True,,8,Bridge Wood Sloes,Wild Foraging,fruits,hedgerow-fruit,52.032,1.192,Blackthorn on the Orwell banks.,Gather sloes from the blackthorn bushes along the edge of the wood facing the river.,10;11,https://images.unsplash.com/photo-1441974231531-c6227db76b6e?w=512&q=80,sloes,14,0,0,,wood.sloe.view,Autumn,,http://googleusercontent.com/maps.google.com/ips8,Orwell Country Park,Ipswich,Nacton Fringe,Suffolk,IP10
True,,9,Whitehouse Incredible Edible Planters,Incredible Edible,vegetables,street-planters,52.075,1.122,Community estate veg.,"Raised beds featuring kale, herbs, and strawberries for public picking near the community centre.",5;6;7;8,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"kale, strawberries",22,0,0,,grow.share.local,Summer,,http://googleusercontent.com/maps.google.com/ips9,Limerick Close,Ipswich,Whitehouse,Suffolk,IP1
True,,10,Belstead Brook Elder,Wild Foraging,fruits,berries,52.035,1.135,Elderflower along the brook.,Abundant elder bushes for flowers and berries line the valley path.,6;9,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,elder,12,0,0,,brook.elder.flow,Summer/Autumn,,http://googleusercontent.com/maps.google.com/ips10,Bobbits Lane,Ipswich,Belstead,Suffolk,IP2
True,,11,Alexandra Park Rosehips,Wild Foraging,fruits,hedgerow-fruit,52.052,1.171,Urban park rosehips.,Wild rose bushes in the shrubbery provide rosehips in late autumn.,9;10,https://images.unsplash.com/photo-1441974231531-c6227db76b6e?w=512&q=80,rosehips,8,0,0,,rose.park.pick,Autumn,,http://googleusercontent.com/maps.google.com/ips11,Grove Lane,Ipswich,Waterfront,Suffolk,IP4
True,,12,Freston Shore Sea Kale,Coastal Foraging,vegetables,coastal-greens,52.015,1.195,Rare river-mouth kale.,Wild Sea Kale can be found growing in the shingle areas along the estuary banks.,4;5;6,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,sea kale,16,0,0,,beach.kale.shore,Spring,,http://googleusercontent.com/maps.google.com/ips12,Freston Shore,Freston,Ipswich Fringe,Suffolk,IP9
True,,13,Stoke Park Walnuts,Urban Foraging,nuts,woodland-nuts,52.038,1.142,Suburban walnuts.,Mature walnut trees are found in the small woodland patches near the school and residential area.,9;10,https://images.unsplash.com/photo-1543362906-acfc16c67564?w=512&q=80,walnuts,13,0,0,,nut.tree.suburb,Autumn,,http://googleusercontent.com/maps.google.com/ips13,Belstead Road,Ipswich,Stoke Park,Suffolk,IP2
True,,14,Rushmere Common Gorse,Wild Foraging,flowers,edible-flowers,52.058,1.205,Coconut-scented blooms.,Edible gorse flowers can be gathered from the heathland for teas and syrups.,2;3;4;5;6,https://images.unsplash.com/photo-1441974231531-c6227db76b6e?w=512&q=80,gorse,11,0,0,,heath.bloom.yellow,Spring,,http://googleusercontent.com/maps.google.com/ips14,Rushmere Road,Ipswich,Rushmere,Suffolk,IP4
