approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,1,No Man's Community Orchard,Community Orchard,fruits,tree-fruits,51.275494,1.02181,Ten acre site with traditional apple varieties like Flower of Kent and Kent...,Ten acre site with traditional apple varieties like Flower of Kent and Kentish Fillbasket. Managed by volunteers.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham Hatch,Chartham Hatch,Chartham Hatch,Kent,CT4 7ND
True,,2,Brogdale Farm National Fruit Collection,National Collection,fruits,tree-fruits,51.301,0.893,"Home of the UK National Fruit Collections with over 2,300 varieties of appl...","Home of the UK National Fruit Collections with over 2,300 varieties of apples, pears, plums and cherries.",,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=Brogdale+Farm+National+Fruit+Collection,Faversham,Faversham,Faversham,Kent,ME13 8XZ
True,,3,"Chapel Orchard, Darenth Country Park",Community Orchard,fruits,tree-fruits,51.4305,0.2511,"Planted in 2000 with over 150 varieties of apple, pear, cherry and cobnut. ...","Planted in 2000 with over 150 varieties of apple, pear, cherry and cobnut. No chemicals used.",,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://www.google.com/maps/search/?api=1&query=Chapel+Orchard,+Darenth+Country+Park",Dartford,Dartford,Dartford,Kent,DA2 6QE
True,,4,Cherry Tree Walk,Community Orchard,fruits,tree-fruits,51.373,0.589,Located in Riverside Country Park. Features old and new local cherry variet...,Located in Riverside Country Park. Features old and new local cherry varieties and supports local wildlife.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=Cherry+Tree+Walk,Rainham,Rainham,Rainham,Kent,ME8 8RA
True,,5,Church Lane Cherry Orchard,Community Orchard,fruits,tree-fruits,51.307,0.655,Traditional 4-hectare cherry orchard established for community use in the K...,Traditional 4-hectare cherry orchard established for community use in the Kent Downs.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=Church+Lane+Cherry+Orchard,Stockbury,Stockbury,Stockbury,Kent,ME9 7RD
True,,6,Clockhouse Community Orchard,Community Orchard,fruits,tree-fruits,51.348,0.082,Historic orchard dating from the 1850s with full public access at all times...,Historic orchard dating from the 1850s with full public access at all times near High Elms.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=Clockhouse+Community+Orchard,Farnborough,Farnborough,Farnborough,Kent,BR6 7JH
True,,7,Collier Street Orchard,Community Orchard,fruits,tree-fruits,51.187,0.465,Community project restoring derelict village orchards for public picking.,Community project restoring derelict village orchards for public picking.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=Collier+Street+Orchard,Collier Street,Collier Street,Collier Street,Kent,TN12 9RR
True,,8,High Elms Country Park Orchard,Public Park,fruits,tree-fruits,51.348,0.082,Features Kentish varieties like Bascombe's Mystery and Kentish Fillbasket. ...,Features Kentish varieties like Bascombe's Mystery and Kentish Fillbasket. Open to public.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=High+Elms+Country+Park+Orchard,Farnborough,Farnborough,Farnborough,Kent,BR6 7JH
True,,9,Museum of Kent Life Orchard,Museum Orchard,fruits,tree-fruits,51.293,0.511,40-acre site with an orchard containing 60 varieties of Kentish apples and ...,40-acre site with an orchard containing 60 varieties of Kentish apples and cider making heritage.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=Museum+of+Kent+Life+Orchard,Maidstone,Maidstone,Maidstone,Kent,ME14 3AU
True,,10,The Warren,Coastal Foraging,vegetables,coastal,51.099,1.237,"Prime coastal foraging spot for sea kale, sea beet, rock samphire and wild ...","Prime coastal foraging spot for sea kale, sea beet, rock samphire and wild cabbage.",,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=The+Warren,Folkestone,Folkestone,Folkestone,Kent,CT19 6NQ
