approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
TRUE,,1,Incredible Edible Todmorden (Market Health Centre),Incredible Edible,vegetables,urban-growing,53.714,-2.097,Incredible Edible Todmorden (Market Health Centre) in Lancashire.,"A location in Lancashire for community growing or wild foraging, from Morecambe Bay to the Ribble Valley.",6;7;8;9,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"incredible edible, lancashire, foraging, community",0,0,0,,,Summer,,,Todmorden (Border),Todmorden (Border),Todmorden (Border),Lancashire,OL14 5RN
TRUE,,2,Lancaster Community Orchard,Community Orchard,fruits,tree-fruits,54.048,-2.785,Lancaster Community Orchard in Lancashire.,"A location in Lancashire for community growing or wild foraging, from Morecambe Bay to the Ribble Valley.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, lancashire, foraging, community",0,0,0,,,Summer/Autumn,,,Lancaster,Lancaster,Lancaster,Lancashire,LA1 5QU
TRUE,,3,Incredible Edible Rossendale,Incredible Edible,herbs,urban-growing,53.702,-2.285,Incredible Edible Rossendale in Lancashire.,"A location in Lancashire for community growing or wild foraging, from Morecambe Bay to the Ribble Valley.",6;7;8;9,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"incredible edible, lancashire, foraging, community",0,0,0,,,Summer,,,Rawtenstall,Rawtenstall,Rawtenstall,Lancashire,BB4 7LZ
TRUE,,4,Preston Community Garden,Community Garden,vegetables,urban-growing,53.765,-2.695,Preston Community Garden in Lancashire.,"A location in Lancashire for community growing or wild foraging, from Morecambe Bay to the Ribble Valley.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community garden, lancashire, foraging, community",0,0,0,,,Summer/Autumn,,,Preston,Preston,Preston,Lancashire,PR1 1PX
TRUE,,5,Blackburn Edible Planters,Incredible Edible,herbs,urban-growing,53.748,-2.485,Blackburn Edible Planters in Lancashire.,"A location in Lancashire for community growing or wild foraging, from Morecambe Bay to the Ribble Valley.",6;7;8;9,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"incredible edible, lancashire, foraging, community",0,0,0,,,Summer,,,Blackburn,Blackburn,Blackburn,Lancashire,BB1 7DP
TRUE,,6,Clitheroe Community Orchard,Community Orchard,fruits,tree-fruits,53.872,-2.392,Clitheroe Community Orchard in Lancashire.,"A location in Lancashire for community growing or wild foraging, from Morecambe Bay to the Ribble Valley.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, lancashire, foraging, community",0,0,0,,,Summer/Autumn,,,Clitheroe,Clitheroe,Clitheroe,Lancashire,BB7 2JW
TRUE,,7,Incredible Edible Accrington,Incredible Edible,vegetables,urban-growing,53.755,-2.365,Incredible Edible Accrington in Lancashire.,"A location in Lancashire for community growing or wild foraging, from Morecambe Bay to the Ribble Valley.",6;7;8;9,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"incredible edible, lancashire, foraging, community",0,0,0,,,Summer,,,Accrington,Accrington,Accrington,Lancashire,BB5 1NE
TRUE,,8,Burnley Community Orchard,Community Orchard,fruits,tree-fruits,53.788,-2.245,Burnley Community Orchard in Lancashire.,"A location in Lancashire for community growing or wild foraging, from Morecambe Bay to the Ribble Valley.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, lancashire, foraging, community",0,0,0,,,Summer/Autumn,,,Burnley,Burnley,Burnley,Lancashire,BB11 3QZ
TRUE,,9,Incredible Edible Ormskirk,Incredible Edible,herbs,urban-growing,53.568,-2.885,Incredible Edible Ormskirk in Lancashire.,"A location in Lancashire for community growing or wild foraging, from Morecambe Bay to the Ribble Valley.",6;7;8;9,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"incredible edible, lancashire, foraging, community",0,0,0,,,Summer,,,Ormskirk,Ormskirk,Ormskirk,Lancashire,L39 3BY
TRUE,,10,Fleetwood Community Garden,Community Garden,vegetables,urban-growing,53.922,-3.008,Fleetwood Community Garden in Lancashire.,"A location in Lancashire for community growing or wild foraging, from Morecambe Bay to the Ribble Valley.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community garden, lancashire, foraging, community",0,0,0,,,Summer/Autumn,,,Fleetwood,Fleetwood,Fleetwood,Lancashire,FY7 6ST
