approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
TRUE,,1,Leicester Abbey Park Orchard,Community Orchard,fruits,tree-fruits,52.645,-1.135,Leicester Abbey Park Orchard in Leicestershire.,"A location in Leicestershire for community growing or wild foraging, spanning the National Forest and Charnwood.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, leicestershire, foraging, community",0,0,0,,,Summer/Autumn,,,Leicester,Leicester,Leicester,Leicestershire,LE4 5AQ
TRUE,,2,Incredible Edible Loughborough (Station),Incredible Edible,herbs,urban-growing,52.775,-1.192,Incredible Edible Loughborough (Station) in Leicestershire.,"A location in Leicestershire for community growing or wild foraging, spanning the National Forest and Charnwood.",6;7;8;9,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"incredible edible, leicestershire, foraging, community",0,0,0,,,Summer,,,Loughborough,Loughborough,Loughborough,Leicestershire,LE11 1ET
TRUE,,3,Knighton Park Orchard,Community Orchard,fruits,tree-fruits,52.602,-1.115,Knighton Park Orchard in Leicestershire.,"A location in Leicestershire for community growing or wild foraging, spanning the National Forest and Charnwood.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, leicestershire, foraging, community",0,0,0,,,Summer/Autumn,,,Leicester,Leicester,Leicester,Leicestershire,LE2 3RR
TRUE,,4,Incredible Edible Hinckley,Incredible Edible,vegetables,urban-growing,52.542,-1.375,Incredible Edible Hinckley in Leicestershire.,"A location in Leicestershire for community growing or wild foraging, spanning the National Forest and Charnwood.",6;7;8;9,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"incredible edible, leicestershire, foraging, community",0,0,0,,,Summer,,,Hinckley,Hinckley,Hinckley,Leicestershire,LE10 1QZ
TRUE,,5,Coalville Community Orchard,Community Orchard,fruits,tree-fruits,52.725,-1.365,Coalville Community Orchard in Leicestershire.,"A location in Leicestershire for community growing or wild foraging, spanning the National Forest and Charnwood.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, leicestershire, foraging, community",0,0,0,,,Summer/Autumn,,,Coalville,Coalville,Coalville,Leicestershire,LE67 3PW
TRUE,,6,Incredible Edible Wigston,Incredible Edible,herbs,urban-growing,52.582,-1.105,Incredible Edible Wigston in Leicestershire.,"A location in Leicestershire for community growing or wild foraging, spanning the National Forest and Charnwood.",6;7;8;9,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"incredible edible, leicestershire, foraging, community",0,0,0,,,Summer,,,Wigston,Wigston,Wigston,Leicestershire,LE18 1PA
TRUE,,7,Market Harborough Edible Garden,Community Garden,vegetables,urban-growing,52.482,-0.922,Market Harborough Edible Garden in Leicestershire.,"A location in Leicestershire for community growing or wild foraging, spanning the National Forest and Charnwood.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community garden, leicestershire, foraging, community",0,0,0,,,Summer/Autumn,,,Market Harborough,Market Harborough,Market Harborough,Leicestershire,LE16 7AE
TRUE,,8,Melton Mowbray Community Trees,Community Orchard,fruits,tree-fruits,52.765,-0.885,Melton Mowbray Community Trees in Leicestershire.,"A location in Leicestershire for community growing or wild foraging, spanning the National Forest and Charnwood.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, leicestershire, foraging, community",0,0,0,,,Summer/Autumn,,,Melton Mowbray,Melton Mowbray,Melton Mowbray,Leicestershire,LE13 1AF
TRUE,,9,Incredible Edible Ashby,Incredible Edible,vegetables,urban-growing,52.748,-1.472,Incredible Edible Ashby in Leicestershire.,"A location in Leicestershire for community growing or wild foraging, spanning the National Forest and Charnwood.",6;7;8;9,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"incredible edible, leicestershire, foraging, community",0,0,0,,,Summer,,,Ashby-de-la-Zouch,Ashby-de-la-Zouch,Ashby-de-la-Zouch,Leicestershire,LE65 1BW
TRUE,,10,Saffron Lane Community Orchard,Community Orchard,fruits,tree-fruits,52.608,-1.145,Saffron Lane Community Orchard in Leicestershire.,"A location in Leicestershire for community growing or wild foraging, spanning the National Forest and Charnwood.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, leicestershire, foraging, community",0,0,0,,,Summer/Autumn,,,Leicester,Leicester,Leicester,Leicestershire,LE2 6TG
