approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
TRUE,,1,Landport Community Garden & Orchard,Community Orchard,fruits,tree-fruits,50.882,0.005,Community-run garden with apple and pear trees traditional to Sussex. Open ...,Community-run garden with apple and pear trees traditional to Sussex. Open for community engagement and picking.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.882,0.005",Lewes,Lewes,Lewes,East Sussex,BN7 2SU
TRUE,,2,Incredible Edible Lewes (Railway Station),Urban Foraging,vegetables,street-planters,50.871,0.012,"Raised beds on the station platforms and approaches with herbs, salads, and...","Raised beds on the station platforms and approaches with herbs, salads, and chard for travelers to pick.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.871,0.012",Lewes,Lewes,Lewes,East Sussex,BN7 2UP
TRUE,,3,Railway Land Nature Reserve,Nature Reserve,wild,mixed-forage,50.871,0.018,"Marshy areas and woodland providing elderberries, blackberries, and wild ga...","Marshy areas and woodland providing elderberries, blackberries, and wild garlic in the spring.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.871,0.018",Lewes,Lewes,Lewes,East Sussex,BN7 2FG
TRUE,,4,Malling Down Nature Reserve,Nature Reserve,wild,mixed-forage,50.878,0.028,"Chalk downland offering wild marjoram, thyme, and blackberries along the sc...","Chalk downland offering wild marjoram, thyme, and blackberries along the scrubby margins.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.878,0.028",Lewes,Lewes,Lewes,East Sussex,BN7 2RJ
TRUE,,5,Mountfield Park Orchard,Community Orchard,fruits,tree-fruits,50.868,0.012,"Historic park with fruit trees near the Priory ruins, including apples and ...","Historic park with fruit trees near the Priory ruins, including apples and mulberries.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.868,0.012",Lewes,Lewes,Lewes,East Sussex,BN7 2XG
TRUE,,6,Priory Park Herb Beds,Urban Foraging,vegetables,street-planters,50.867,0.011,Public herb beds located within the Priory ruins grounds featuring rosemary...,"Public herb beds located within the Priory ruins grounds featuring rosemary, lavender, and sage.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.867,0.011",Lewes,Lewes,Lewes,East Sussex,BN7 2XG
TRUE,,7,Cuilfail Tunnel Edges,Public Path,wild,hedgerow,50.875,0.022,Hedges along the pedestrian paths near the tunnel with abundant elder and h...,Hedges along the pedestrian paths near the tunnel with abundant elder and hawthorn berries.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.875,0.022",Lewes,Lewes,Lewes,East Sussex,BN7 2BE
TRUE,,8,Pells Pond & Park Boundaries,Public Park,wild,river-forage,50.878,0.011,River Ouse banks nearby provide wild mint and nettles for picking.,River Ouse banks nearby provide wild mint and nettles for picking.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.878,0.011",Lewes,Lewes,Lewes,East Sussex,BN7 2PS
TRUE,,9,Incredible Edible Lewes (Needlemakers),Urban Foraging,vegetables,street-planters,50.875,0.012,Planters outside the Needlemakers featuring culinary herbs and seasonal gre...,Planters outside the Needlemakers featuring culinary herbs and seasonal greens.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.875,0.012",Lewes,Lewes,Lewes,East Sussex,BN7 2NZ
TRUE,,10,South Downs Way (Lewes Section),Public Footpath,wild,hedgerow,50.861,-0.015,"Ancient tracks with sloes, rosehips, and blackberries in late summer.","Ancient tracks with sloes, rosehips, and blackberries in late summer.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.861,-0.015",Lewes,Lewes,Lewes,East Sussex,BN7 3BA
TRUE,,11,Old Malling Priory Path,Public Path,wild,river-forage,50.885,0.018,River-side path leading north out of Lewes with wild hops and blackberries.,River-side path leading north out of Lewes with wild hops and blackberries.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.885,0.018",Lewes,Lewes,Lewes,East Sussex,BN7 2AS
TRUE,,12,The Gallops Woodland Edge,Woodland,wild,woodland,50.875,-0.022,Boundary woods offering hazelnuts and sweet chestnuts in the autumn.,Boundary woods offering hazelnuts and sweet chestnuts in the autumn.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.875,-0.022",Lewes,Lewes,Lewes,East Sussex,BN7 1LR
TRUE,,13,Incredible Edible Lewes (Friars Walk),Urban Foraging,vegetables,street-planters,50.871,0.014,"Raised beds along the wall featuring rosemary, mint, and kale.","Raised beds along the wall featuring rosemary, mint, and kale.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.871,0.014",Lewes,Lewes,Lewes,East Sussex,BN7 2LF
TRUE,,14,Kingston Ridge Foraging,Nature Reserve,wild,mixed-forage,50.855,-0.025,Downland fringes with wild strawberries and elderberries.,Downland fringes with wild strawberries and elderberries.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.855,-0.025",Kingston,Kingston,Kingston,East Sussex,BN7 3PB
TRUE,,15,Ouse Estuary (Newhaven Side Path),Coastal Foraging,wild,coastal,50.805,0.055,Accessible via the Egrets Way from Lewes. Coastal path with sea beet and wi...,Accessible via the Egrets Way from Lewes. Coastal path with sea beet and wild cabbage.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.805,0.055",Newhaven,Newhaven,Newhaven,East Sussex,BN9 9EB
