approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,1,St James Gardens Orchard,Community Orchard,fruits,tree-fruits,53.397,-2.973,Located in the sunken cemetery beside the Anglican Cathedral. Features vari...,Located in the sunken cemetery beside the Anglican Cathedral. Features various fruit trees and wild berries in a unique microclimate.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=53.397,-2.973",Liverpool,Liverpool,Liverpool,Merseyside,L1 7AZ
True,,2,Incredible Edible Liverpool (Everton),Urban Foraging,vegetables,street-planters,53.422,-2.978,Active community growing spots in Everton Park and surrounding streets with...,Active community growing spots in Everton Park and surrounding streets with free herbs and seasonal vegetables.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=53.422,-2.978",Everton,Everton,Everton,Merseyside,L5 3PU
True,,3,Sefton Park Foraging,Public Park,wild,mixed-forage,53.382,-2.935,"Large Grade I listed park. Offers sweet chestnuts, hazelnuts, and wild garl...","Large Grade I listed park. Offers sweet chestnuts, hazelnuts, and wild garlic near the water features.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=53.382,-2.935",Liverpool,Liverpool,Liverpool,Merseyside,L17 1AP
True,,4,Coastal Foraging (Crosby Beach),Coastal Foraging,wild,coastal,53.482,-3.045,"Upper dunes and salt marsh areas offering sea beet, sea kale, and rock samp...","Upper dunes and salt marsh areas offering sea beet, sea kale, and rock samphire near the 'Another Place' statues.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=53.482,-3.045",Crosby,Crosby,Crosby,Merseyside,L22 6QQ
True,,5,Otterspool Promenade Edges,Coastal Foraging,wild,coastal,53.365,-2.942,"River Mersey banks with wild radish, sea beet, and elderberries along the p...","River Mersey banks with wild radish, sea beet, and elderberries along the park boundary.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=53.365,-2.942",Liverpool,Liverpool,Liverpool,Merseyside,L17 5AL
True,,6,Croxteth Hall Woodland Foraging,Woodland,wild,woodland,53.442,-2.895,"Ancient woodland trails offering sweet chestnuts, hazelnuts, and abundant b...","Ancient woodland trails offering sweet chestnuts, hazelnuts, and abundant blackberries.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=53.442,-2.895",West Derby,West Derby,West Derby,Merseyside,L11 1EH
True,,7,Incredible Edible Liverpool (Toxteth),Urban Foraging,vegetables,street-planters,53.392,-2.962,"Raised beds and planters near Lodge Lane featuring free herbs, chard, and e...","Raised beds and planters near Lodge Lane featuring free herbs, chard, and edible flowers.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=53.392,-2.962",Toxteth,Toxteth,Toxteth,Merseyside,L8 1TH
True,,8,Speke Hall Estate Boundary,Public Path,wild,mixed-forage,53.335,-2.875,"Public footpaths around the estate offering elderberries, sloes, and hazeln...","Public footpaths around the estate offering elderberries, sloes, and hazelnuts.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=53.335,-2.875",Speke,Speke,Speke,Merseyside,L24 1XD
True,,9,Childwall Woods Foraging,Nature Reserve,wild,woodland,53.395,-2.885,Local nature reserve known for wild garlic in spring and blackberries in au...,Local nature reserve known for wild garlic in spring and blackberries in autumn.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=53.395,-2.885",Childwall,Childwall,Childwall,Merseyside,L16 0JD
True,,10,Incredible Edible Liverpool (Anfield),Urban Foraging,vegetables,street-planters,53.432,-2.958,Community planters near the stadium and residential streets with free seaso...,Community planters near the stadium and residential streets with free seasonal edible plants.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=53.432,-2.958",Anfield,Anfield,Anfield,Merseyside,L4 0TE
