approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,1,Barking And Dagenham Community Garden 1,Community Garden,vegetables,community-garden,51.545,0.125,Local food growing project in Barking And Dagenham.,A community project in Barking And Dagenham growing seasonal produce.,4;5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"vegetables, herbs",15,0,0,,barkinganddagenham.garden.1,Spring/Summer,,https://www.barkinganddagenham.gov.uk/parks,"Local Park, Barking And Dagenham, Greater London",London,Barking And Dagenham,Greater London,RM9 4AA
True,,2,Barking And Dagenham Community Garden 2,Community Garden,vegetables,community-garden,51.55,0.13,Local food growing project in Barking And Dagenham.,A community project in Barking And Dagenham growing seasonal produce.,4;5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"vegetables, herbs",15,0,0,,barkinganddagenham.garden.2,Spring/Summer,,https://www.barkinganddagenham.gov.uk/parks,"Local Park, Barking And Dagenham, Greater London",London,Barking And Dagenham,Greater London,RM9 4AA
True,,3,Barking And Dagenham Community Garden 3,Community Garden,vegetables,community-garden,51.555,0.135,Local food growing project in Barking And Dagenham.,A community project in Barking And Dagenham growing seasonal produce.,4;5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"vegetables, herbs",15,0,0,,barkinganddagenham.garden.3,Spring/Summer,,https://www.barkinganddagenham.gov.uk/parks,"Local Park, Barking And Dagenham, Greater London",London,Barking And Dagenham,Greater London,RM9 4AA
True,,4,Barking And Dagenham Community Garden 4,Community Garden,vegetables,community-garden,51.56,0.14,Local food growing project in Barking And Dagenham.,A community project in Barking And Dagenham growing seasonal produce.,4;5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"vegetables, herbs",15,0,0,,barkinganddagenham.garden.4,Spring/Summer,,https://www.barkinganddagenham.gov.uk/parks,"Local Park, Barking And Dagenham, Greater London",London,Barking And Dagenham,Greater London,RM9 4AA
True,,5,Barking And Dagenham Community Garden 5,Community Garden,vegetables,community-garden,51.565,0.145,Local food growing project in Barking And Dagenham.,A community project in Barking And Dagenham growing seasonal produce.,4;5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"vegetables, herbs",15,0,0,,barkinganddagenham.garden.5,Spring/Summer,,https://www.barkinganddagenham.gov.uk/parks,"Local Park, Barking And Dagenham, Greater London",London,Barking And Dagenham,Greater London,RM9 4AA
True,,6,Barking And Dagenham Community Garden 6,Community Garden,vegetables,community-garden,51.57,0.15,Local food growing project in Barking And Dagenham.,A community project in Barking And Dagenham growing seasonal produce.,4;5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"vegetables, herbs",15,0,0,,barkinganddagenham.garden.6,Spring/Summer,,https://www.barkinganddagenham.gov.uk/parks,"Local Park, Barking And Dagenham, Greater London",London,Barking And Dagenham,Greater London,RM9 4AA
True,,7,Barking And Dagenham Community Garden 7,Community Garden,vegetables,community-garden,51.575,0.155,Local food growing project in Barking And Dagenham.,A community project in Barking And Dagenham growing seasonal produce.,4;5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"vegetables, herbs",15,0,0,,barkinganddagenham.garden.7,Spring/Summer,,https://www.barkinganddagenham.gov.uk/parks,"Local Park, Barking And Dagenham, Greater London",London,Barking And Dagenham,Greater London,RM9 4AA
True,,8,Barking And Dagenham Community Garden 8,Community Garden,vegetables,community-garden,51.58,0.16,Local food growing project in Barking And Dagenham.,A community project in Barking And Dagenham growing seasonal produce.,4;5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"vegetables, herbs",15,0,0,,barkinganddagenham.garden.8,Spring/Summer,,https://www.barkinganddagenham.gov.uk/parks,"Local Park, Barking And Dagenham, Greater London",London,Barking And Dagenham,Greater London,RM9 4AA
True,,9,Barking And Dagenham Community Garden 9,Community Garden,vegetables,community-garden,51.585,0.165,Local food growing project in Barking And Dagenham.,A community project in Barking And Dagenham growing seasonal produce.,4;5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"vegetables, herbs",15,0,0,,barkinganddagenham.garden.9,Spring/Summer,,https://www.barkinganddagenham.gov.uk/parks,"Local Park, Barking And Dagenham, Greater London",London,Barking And Dagenham,Greater London,RM9 4AA
True,,10,Barking And Dagenham Community Garden 10,Community Garden,vegetables,community-garden,51.59,0.17,Local food growing project in Barking And Dagenham.,A community project in Barking And Dagenham growing seasonal produce.,4;5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"vegetables, herbs",15,0,0,,barkinganddagenham.garden.10,Spring/Summer,,https://www.barkinganddagenham.gov.uk/parks,"Local Park, Barking And Dagenham, Greater London",London,Barking And Dagenham,Greater London,RM9 4AA
