approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,10,Hampstead Heath Sloe Bushes,Wild Foraging,fruits,hedgerow-fruit,51.5655,-0.1707,Sloe berries on the Heath edges.,Abundant blackthorn bushes around the perimeter and woodland edges of Hampstead Heath yield a fine crop of sloe berries perfect for autumn sloe gin.,10;11,https://images.unsplash.com/photo-1441974231531-c6227db76b6e?w=512&q=80,sloes,55,0,0,,heath.sloe.autumn,Autumn,,https://www.cityoflondon.gov.uk/hampstead-heath,East Heath Road,Hampstead,Camden,Greater London,NW3 1TN
True,,23,King's Cross Skip Garden,Community Garden,vegetables,street-planters,51.5383,-0.1237,Edible growing in a mobile container garden.,"The Skip Garden at King's Cross is a creative urban growing space in repurposed skips and containers, featuring seasonal vegetables and herbs for the community.",4;5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"herbs, seasonal veg",41,0,0,,skip.garden.cross,Spring/Summer,,https://www.globalgeneration.org.uk,Tapper Walk,King's Cross,Camden,Greater London,N1C 4AQ
True,,49,Camley Street Natural Park Herbs,Wild Foraging,vegetables,wild-greens,51.5377,-0.1244,Wild herbs by the Regent's Canal.,"Camley Street Natural Park is a London Wildlife Trust reserve by Regent's Canal where nettles, mints and other wild edibles grow. Check LWT guidance on responsible picking.",5;6;7;8,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,"nettles, mint",22,0,0,,camley.canal.herbs,Summer,,https://www.wildlondon.org.uk/camley-street-natural-park,12 New Wharf Road,King's Cross,Camden,Greater London,N1C 4HR
True,,104,Camden Community Garden 4,Wild Foraging,vegetables,community-garden,51.5487,-0.1313,Local food growing project in Camden.,A community project in Camden growing seasonal produce available for local residents.,6;7;8,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"apples, pears",29,0,0,,camden.garden.food,Summer,,https://www.camden.gov.uk/parks,"Local Park, Camden, Greater London",Camden Town,Camden,Greater London,SW1A 1AA
True,,105,Camden Community Garden 5,Wild Foraging,herbs,tree-fruits,51.5527,-0.1274,Local food growing project in Camden.,A community project in Camden growing seasonal produce available for local residents.,5;6;7;8,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,cherries,11,0,0,,camden.garden.food,Spring/Summer,,https://www.camden.gov.uk/parks,"Local Park, Camden, Greater London",Camden Town,Camden,Greater London,SW1A 1AA
True,,106,Camden Community Garden 6,Community Orchard,vegetables,hedgerow-fruit,51.5532,-0.1431,Local food growing project in Camden.,A community project in Camden growing seasonal produce available for local residents.,1;2;3;4;5;6;7;8;9;10;11;12,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,cherries,42,0,0,,camden.garden.food,Year-round,,https://www.camden.gov.uk/parks,"Local Park, Camden, Greater London",Camden Town,Camden,Greater London,SW1A 1AA
True,,107,Camden Community Garden 7,Pick Your Own Farm,nuts,wild-greens,51.5524,-0.1472,Local food growing project in Camden.,A community project in Camden growing seasonal produce available for local residents.,9;10,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,cherries,0,0,0,,camden.garden.food,Autumn,,https://www.camden.gov.uk/parks,"Local Park, Camden, Greater London",Camden Town,Camden,Greater London,SW1A 1AA
True,,108,Camden Community Garden 8,Wild Foraging,herbs,tree-fruits,51.5561,-0.1236,Local food growing project in Camden.,A community project in Camden growing seasonal produce available for local residents.,6;7;8,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,cherries,37,0,0,,camden.garden.food,Summer,,https://www.camden.gov.uk/parks,"Local Park, Camden, Greater London",Camden Town,Camden,Greater London,SW1A 1AA
True,,109,Camden Community Garden 9,Wild Foraging,vegetables,tree-fruits,51.5545,-0.1399,Local food growing project in Camden.,A community project in Camden growing seasonal produce available for local residents.,1;2;3;4;5;6;7;8;9;10;11;12,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,wild garlic,40,0,0,,camden.garden.food,Year-round,,https://www.camden.gov.uk/parks,"Local Park, Camden, Greater London",Camden Town,Camden,Greater London,SW1A 1AA
True,,110,Camden Community Garden 10,Pick Your Own Farm,nuts,wild-greens,51.5497,-0.1437,Local food growing project in Camden.,A community project in Camden growing seasonal produce available for local residents.,5;6;7;8,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,herbs,33,0,0,,camden.garden.food,Spring/Summer,,https://www.camden.gov.uk/parks,"Local Park, Camden, Greater London",Camden Town,Camden,Greater London,SW1A 1AA
True,,1,Skip Garden King's Cross,Community Garden,vegetables,street-planters,51.5383,-0.1237,Edible growing in repurposed skips at King's Cross.,"The Skip Garden at King's Cross is a creative urban growing space in repurposed skips and containers, featuring seasonal vegetables and herbs for the community.",4;5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"herbs, seasonal veg",41,0,0,,skip.garden.cross,Spring/Summer,,https://www.globalgeneration.org.uk,"Tapper Walk, King's Cross",London,Camden,Greater London,N1C 4AQ
True,,2,Camley Street Natural Park,Wild Foraging,vegetables,wild-greens,51.5377,-0.1244,Wild herbs by Regent's Canal.,"A London Wildlife Trust reserve where nettles, mints and other wild edibles grow. Check LWT guidance on responsible picking.",5;6;7;8,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,"nettles, mint",22,0,0,,camley.canal.herbs,Summer,,https://www.wildlondon.org.uk/camley-street-natural-park,"12 New Wharf Road, King's Cross",London,Camden,Greater London,N1C 4HR
