approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,1,City Of London Community Garden 1,Community Garden,vegetables,community-garden,51.522,-0.085,Local food growing project in City Of London.,A community project in City Of London growing seasonal produce.,4;5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"vegetables, herbs",15,0,0,,cityoflondon.garden.1,Spring/Summer,,https://www.cityoflondon.gov.uk/parks,"Local Park, City Of London, Greater London",London,City Of London,Greater London,EC1A 1AA
True,,2,City Of London Community Garden 2,Community Garden,vegetables,community-garden,51.527,-0.08,Local food growing project in City Of London.,A community project in City Of London growing seasonal produce.,4;5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"vegetables, herbs",15,0,0,,cityoflondon.garden.2,Spring/Summer,,https://www.cityoflondon.gov.uk/parks,"Local Park, City Of London, Greater London",London,City Of London,Greater London,EC1A 1AA
True,,3,City Of London Community Garden 3,Community Garden,vegetables,community-garden,51.532,-0.075,Local food growing project in City Of London.,A community project in City Of London growing seasonal produce.,4;5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"vegetables, herbs",15,0,0,,cityoflondon.garden.3,Spring/Summer,,https://www.cityoflondon.gov.uk/parks,"Local Park, City Of London, Greater London",London,City Of London,Greater London,EC1A 1AA
True,,4,City Of London Community Garden 4,Community Garden,vegetables,community-garden,51.537,-0.07,Local food growing project in City Of London.,A community project in City Of London growing seasonal produce.,4;5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"vegetables, herbs",15,0,0,,cityoflondon.garden.4,Spring/Summer,,https://www.cityoflondon.gov.uk/parks,"Local Park, City Of London, Greater London",London,City Of London,Greater London,EC1A 1AA
True,,5,City Of London Community Garden 5,Community Garden,vegetables,community-garden,51.542,-0.065,Local food growing project in City Of London.,A community project in City Of London growing seasonal produce.,4;5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"vegetables, herbs",15,0,0,,cityoflondon.garden.5,Spring/Summer,,https://www.cityoflondon.gov.uk/parks,"Local Park, City Of London, Greater London",London,City Of London,Greater London,EC1A 1AA
True,,6,City Of London Community Garden 6,Community Garden,vegetables,community-garden,51.547,-0.06,Local food growing project in City Of London.,A community project in City Of London growing seasonal produce.,4;5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"vegetables, herbs",15,0,0,,cityoflondon.garden.6,Spring/Summer,,https://www.cityoflondon.gov.uk/parks,"Local Park, City Of London, Greater London",London,City Of London,Greater London,EC1A 1AA
True,,7,City Of London Community Garden 7,Community Garden,vegetables,community-garden,51.552,-0.055,Local food growing project in City Of London.,A community project in City Of London growing seasonal produce.,4;5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"vegetables, herbs",15,0,0,,cityoflondon.garden.7,Spring/Summer,,https://www.cityoflondon.gov.uk/parks,"Local Park, City Of London, Greater London",London,City Of London,Greater London,EC1A 1AA
True,,8,City Of London Community Garden 8,Community Garden,vegetables,community-garden,51.557,-0.05,Local food growing project in City Of London.,A community project in City Of London growing seasonal produce.,4;5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"vegetables, herbs",15,0,0,,cityoflondon.garden.8,Spring/Summer,,https://www.cityoflondon.gov.uk/parks,"Local Park, City Of London, Greater London",London,City Of London,Greater London,EC1A 1AA
True,,9,City Of London Community Garden 9,Community Garden,vegetables,community-garden,51.562,-0.045,Local food growing project in City Of London.,A community project in City Of London growing seasonal produce.,4;5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"vegetables, herbs",15,0,0,,cityoflondon.garden.9,Spring/Summer,,https://www.cityoflondon.gov.uk/parks,"Local Park, City Of London, Greater London",London,City Of London,Greater London,EC1A 1AA
True,,10,City Of London Community Garden 10,Community Garden,vegetables,community-garden,51.567,-0.04,Local food growing project in City Of London.,A community project in City Of London growing seasonal produce.,4;5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"vegetables, herbs",15,0,0,,cityoflondon.garden.10,Spring/Summer,,https://www.cityoflondon.gov.uk/parks,"Local Park, City Of London, Greater London",London,City Of London,Greater London,EC1A 1AA
