approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,39,Greenwich Park Mulberry Tree,Wild Foraging,fruits,tree-fruits,51.4772,0.0002,Ancient mulberry in a Royal Park border.,"A historic mulberry tree near the boundary of Greenwich Park produces fruit in mid-summer. Foraging in the Royal Park interior is not permitted, but fallen fruit on the path is fair game.",7;8,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,mulberry,27,0,0,,greenwich.mulberry.old,Summer,,https://www.royalparks.org.uk/greenwich-park,Blackheath Avenue,Greenwich,Greenwich,Greater London,SE10 8QY
True,,102,Greenwich Community Garden 2,Community Garden,herbs,street-planters,51.4731,0.0056,Local food growing project in Greenwich.,A community project in Greenwich growing seasonal produce available for local residents.,1;2;3;4;5;6;7;8;9;10;11;12,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,elderberries,12,0,0,,greenwich.garden.food,Year-round,,https://www.greenwich.gov.uk/parks,"Local Park, Greenwich, Greater London",Greenwich Town,Greenwich,Greater London,SW1A 1AA
True,,103,Greenwich Community Garden 3,Wild Foraging,nuts,street-planters,51.4742,0.0015,Local food growing project in Greenwich.,A community project in Greenwich growing seasonal produce available for local residents.,1;2;3;4;5;6;7;8;9;10;11;12,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"apples, pears",3,0,0,,greenwich.garden.food,Year-round,,https://www.greenwich.gov.uk/parks,"Local Park, Greenwich, Greater London",Greenwich Town,Greenwich,Greater London,SW1A 1AA
True,,104,Greenwich Community Garden 4,Wild Foraging,vegetables,hedgerow-fruit,51.4709,0.0123,Local food growing project in Greenwich.,A community project in Greenwich growing seasonal produce available for local residents.,1;2;3;4;5;6;7;8;9;10;11;12,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"apples, pears",33,0,0,,greenwich.garden.food,Year-round,,https://www.greenwich.gov.uk/parks,"Local Park, Greenwich, Greater London",Greenwich Town,Greenwich,Greater London,SW1A 1AA
True,,105,Greenwich Community Garden 5,Wild Foraging,nuts,street-planters,51.4748,0.0012,Local food growing project in Greenwich.,A community project in Greenwich growing seasonal produce available for local residents.,1;2;3;4;5;6;7;8;9;10;11;12,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,wild garlic,47,0,0,,greenwich.garden.food,Year-round,,https://www.greenwich.gov.uk/parks,"Local Park, Greenwich, Greater London",Greenwich Town,Greenwich,Greater London,SW1A 1AA
True,,106,Greenwich Community Garden 6,Community Garden,herbs,woodland-nuts,51.4755,0.008,Local food growing project in Greenwich.,A community project in Greenwich growing seasonal produce available for local residents.,1;2;3;4;5;6;7;8;9;10;11;12,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,elderberries,20,0,0,,greenwich.garden.food,Year-round,,https://www.greenwich.gov.uk/parks,"Local Park, Greenwich, Greater London",Greenwich Town,Greenwich,Greater London,SW1A 1AA
True,,107,Greenwich Community Garden 7,Pick Your Own Farm,vegetables,wild-greens,51.4736,0.0043,Local food growing project in Greenwich.,A community project in Greenwich growing seasonal produce available for local residents.,1;2;3;4;5;6;7;8;9;10;11;12,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,cherries,42,0,0,,greenwich.garden.food,Year-round,,https://www.greenwich.gov.uk/parks,"Local Park, Greenwich, Greater London",Greenwich Town,Greenwich,Greater London,SW1A 1AA
True,,108,Greenwich Community Garden 8,Wild Foraging,nuts,woodland-nuts,51.4748,0.0129,Local food growing project in Greenwich.,A community project in Greenwich growing seasonal produce available for local residents.,6;7;8,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"apples, pears",20,0,0,,greenwich.garden.food,Summer,,https://www.greenwich.gov.uk/parks,"Local Park, Greenwich, Greater London",Greenwich Town,Greenwich,Greater London,SW1A 1AA
True,,109,Greenwich Community Garden 9,Community Orchard,vegetables,woodland-nuts,51.4737,0.013,Local food growing project in Greenwich.,A community project in Greenwich growing seasonal produce available for local residents.,5;6;7;8,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,cherries,1,0,0,,greenwich.garden.food,Spring/Summer,,https://www.greenwich.gov.uk/parks,"Local Park, Greenwich, Greater London",Greenwich Town,Greenwich,Greater London,SW1A 1AA
True,,110,Greenwich Community Garden 10,Wild Foraging,fruits,tree-fruits,51.4738,0.0145,Local food growing project in Greenwich.,A community project in Greenwich growing seasonal produce available for local residents.,9;10,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,elderberries,5,0,0,,greenwich.garden.food,Autumn,,https://www.greenwich.gov.uk/parks,"Local Park, Greenwich, Greater London",Greenwich Town,Greenwich,Greater London,SW1A 1AA
True,,1,Greenwich Park Mulberry Tree,Wild Foraging,fruits,tree-fruits,51.4772,0.0002,Ancient mulberry in Royal Park border.,A historic mulberry tree near Greenwich Park boundary produces fruit in mid-summer. Fallen fruit on paths is available for picking.,7;8,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,mulberry,27,0,0,,greenwich.mulberry.old,Summer,,https://www.royalparks.org.uk/greenwich-park,"Blackheath Avenue, Greenwich",London,Greenwich,Greater London,SE10 8QY
True,,2,Oxleas Wood Community Garden,Community Garden,vegetables,community-garden,51.4520,0.0740,Woodland community growing project in Eltham.,Community growing space in ancient woodland setting with raised beds and fruit tree area open to local residents.,4;5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"vegetables, fruit",15,0,0,,oxleas.wood.community,Spring/Summer,,https://www.greenwich.gov.uk,"Shooters Hill Road, Eltham",London,Greenwich,Greater London,SE18 3JA
