approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,6,Haggerston Park Community Orchard,Community Orchard,fruits,tree-fruits,51.5368,-0.0767,Fruit trees in Hackney's Haggerston Park.,Community orchard established by the London Orchard Project with apple and pear trees open to public picking during the harvest season.,8;9;10,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"apples, pears",31,0,0,,park.orchard.east,Autumn,,https://hackney.gov.uk/parks,Queensbridge Road,Haggerston,Hackney,Greater London,E8 3NH
True,,15,Hackney Marshes Blackberries,Wild Foraging,fruits,berries,51.5564,-0.0227,Brambles along Hackney Marshes.,Extensive blackberry brambles line the paths and field boundaries along the Lea Valley at Hackney Marshes. Best from late August through September.,8;9,https://images.unsplash.com/photo-1464306208223-e0b4495a5553?w=512&q=80,blackberries,62,0,0,,marshes.bramble.lea,Summer,,https://hackney.gov.uk/parks,Homerton Road,Hackney Marshes,Hackney,Greater London,E9 5PF
True,,17,Abney Park Cemetery Wild Garlic,Wild Foraging,vegetables,wild-greens,51.5625,-0.0788,Wild garlic in Victorian woodland cemetery.,"The ancient wooded grounds of Abney Park Cemetery in Stoke Newington provide an ideal habitat for wild garlic, best picked in March and April.",3;4;5,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,wild garlic,51,0,0,,abney.garlic.shade,Spring,,https://hackney.gov.uk/parks,Stoke Newington High Street,Stoke Newington,Hackney,Greater London,N16 0LH
True,,55,Springfield Park Orchard,Community Orchard,fruits,tree-fruits,51.5735,-0.0639,Orchard on the banks of the Lee Navigation.,"A community orchard in Springfield Park, overlooking the Lee Navigation. Apple, plum and pear trees open to the public during harvest season.",8;9;10,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"apples, plums, pears",25,0,0,,springfield.lee.orchard,Autumn,,https://hackney.gov.uk/parks,Springfield Park,Upper Clapton,Hackney,Greater London,E5 9EF
True,,105,Hackney Community Garden 5,Community Orchard,herbs,street-planters,51.5409,-0.0756,Local food growing project in Hackney.,A community project in Hackney growing seasonal produce available for local residents.,9;10,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,elderberries,13,0,0,,hackney.garden.food,Autumn,,https://www.hackney.gov.uk/parks,"Local Park, Hackney, Greater London",Hackney Town,Hackney,Greater London,SW1A 1AA
True,,106,Hackney Community Garden 6,Community Orchard,fruits,hedgerow-fruit,51.5427,-0.0438,Local food growing project in Hackney.,A community project in Hackney growing seasonal produce available for local residents.,9;10,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,blackberries,12,0,0,,hackney.garden.food,Autumn,,https://www.hackney.gov.uk/parks,"Local Park, Hackney, Greater London",Hackney Town,Hackney,Greater London,SW1A 1AA
True,,107,Hackney Community Garden 7,Pick Your Own Farm,nuts,community-garden,51.5343,-0.0766,Local food growing project in Hackney.,A community project in Hackney growing seasonal produce available for local residents.,6;7;8,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,cherries,2,0,0,,hackney.garden.food,Summer,,https://www.hackney.gov.uk/parks,"Local Park, Hackney, Greater London",Hackney Town,Hackney,Greater London,SW1A 1AA
True,,108,Hackney Community Garden 8,Wild Foraging,vegetables,hedgerow-fruit,51.5476,-0.0768,Local food growing project in Hackney.,A community project in Hackney growing seasonal produce available for local residents.,6;7;8,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,blackberries,13,0,0,,hackney.garden.food,Summer,,https://www.hackney.gov.uk/parks,"Local Park, Hackney, Greater London",Hackney Town,Hackney,Greater London,SW1A 1AA
True,,109,Hackney Community Garden 9,Wild Foraging,vegetables,street-planters,51.5321,-0.0622,Local food growing project in Hackney.,A community project in Hackney growing seasonal produce available for local residents.,9;10,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,blackberries,11,0,0,,hackney.garden.food,Autumn,,https://www.hackney.gov.uk/parks,"Local Park, Hackney, Greater London",Hackney Town,Hackney,Greater London,SW1A 1AA
True,,110,Hackney Community Garden 10,Wild Foraging,vegetables,community-garden,51.5374,-0.0587,Local food growing project in Hackney.,A community project in Hackney growing seasonal produce available for local residents.,6;7;8,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,blackberries,4,0,0,,hackney.garden.food,Summer,,https://www.hackney.gov.uk/parks,"Local Park, Hackney, Greater London",Hackney Town,Hackney,Greater London,SW1A 1AA
True,,1,Haggerston Park Community Orchard,Community Orchard,fruits,tree-fruits,51.5368,-0.0767,Fruit trees established by London Orchard Project.,Community orchard in Haggerston Park with apple and pear trees open to public picking during harvest season.,8;9;10,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"apples, pears",31,0,0,,park.orchard.east,Autumn,,https://hackney.gov.uk/parks,"Queensbridge Road, Haggerston",London,Hackney,Greater London,E8 3NH
True,,2,Abney Park Cemetery Wild Garlic,Wild Foraging,vegetables,wild-greens,51.5625,-0.0788,Wild garlic in Victorian cemetery woodland.,"Wild garlic grows in Abney Park Cemetery in Stoke Newington, best picked in March and April.",3;4;5,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,wild garlic,51,0,0,,abney.garlic.shade,Spring,,https://hackney.gov.uk/parks,Stoke Newington High Street,London,Hackney,Greater London,N16 0LH
