approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,44,Wormwood Scrubs Rosehips,Wild Foraging,fruits,hedgerow-fruit,51.5189,-0.2392,Rosehips on open scrubland margins.,"The scrubby perimeter hedges of Wormwood Scrubs open space hold extensive dog rose bushes, producing rosehips from September onwards.",9;10,https://images.unsplash.com/photo-1441974231531-c6227db76b6e?w=512&q=80,rosehips,17,0,0,,scrubs.rosehip.hedge,Autumn,,https://www.hammersmith-fulham.gov.uk/parks,Du Cane Road,East Acton,Hammersmith and Fulham,Greater London,W12 0TN
True,,102,Hammersmith And Fulham Community Garden 2,Pick Your Own Farm,fruits,wild-greens,51.4868,-0.1971,Local food growing project in Hammersmith And Fulham.,A community project in Hammersmith And Fulham growing seasonal produce available for local residents.,5;6;7;8,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,cherries,20,0,0,,hammersmithandfulham.garden.food,Spring/Summer,,https://www.hammersmithandfulham.gov.uk/parks,"Local Park, Hammersmith And Fulham, Greater London",Hammersmith And Fulham Town,Hammersmith And Fulham,Greater London,SW1A 1AA
True,,103,Hammersmith And Fulham Community Garden 3,Pick Your Own Farm,nuts,woodland-nuts,51.4924,-0.182,Local food growing project in Hammersmith And Fulham.,A community project in Hammersmith And Fulham growing seasonal produce available for local residents.,5;6;7;8,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,cherries,45,0,0,,hammersmithandfulham.garden.food,Spring/Summer,,https://www.hammersmithandfulham.gov.uk/parks,"Local Park, Hammersmith And Fulham, Greater London",Hammersmith And Fulham Town,Hammersmith And Fulham,Greater London,SW1A 1AA
True,,104,Hammersmith And Fulham Community Garden 4,Community Garden,nuts,hedgerow-fruit,51.4957,-0.2197,Local food growing project in Hammersmith And Fulham.,A community project in Hammersmith And Fulham growing seasonal produce available for local residents.,1;2;3;4;5;6;7;8;9;10;11;12,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,elderberries,23,0,0,,hammersmithandfulham.garden.food,Year-round,,https://www.hammersmithandfulham.gov.uk/parks,"Local Park, Hammersmith And Fulham, Greater London",Hammersmith And Fulham Town,Hammersmith And Fulham,Greater London,SW1A 1AA
True,,105,Hammersmith And Fulham Community Garden 5,Pick Your Own Farm,vegetables,community-garden,51.4877,-0.2093,Local food growing project in Hammersmith And Fulham.,A community project in Hammersmith And Fulham growing seasonal produce available for local residents.,1;2;3;4;5;6;7;8;9;10;11;12,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"apples, pears",29,0,0,,hammersmithandfulham.garden.food,Year-round,,https://www.hammersmithandfulham.gov.uk/parks,"Local Park, Hammersmith And Fulham, Greater London",Hammersmith And Fulham Town,Hammersmith And Fulham,Greater London,SW1A 1AA
True,,106,Hammersmith And Fulham Community Garden 6,Wild Foraging,vegetables,woodland-nuts,51.4943,-0.1888,Local food growing project in Hammersmith And Fulham.,A community project in Hammersmith And Fulham growing seasonal produce available for local residents.,9;10,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,elderberries,26,0,0,,hammersmithandfulham.garden.food,Autumn,,https://www.hammersmithandfulham.gov.uk/parks,"Local Park, Hammersmith And Fulham, Greater London",Hammersmith And Fulham Town,Hammersmith And Fulham,Greater London,SW1A 1AA
True,,107,Hammersmith And Fulham Community Garden 7,Pick Your Own Farm,herbs,tree-fruits,51.4878,-0.1973,Local food growing project in Hammersmith And Fulham.,A community project in Hammersmith And Fulham growing seasonal produce available for local residents.,6;7;8,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,herbs,21,0,0,,hammersmithandfulham.garden.food,Summer,,https://www.hammersmithandfulham.gov.uk/parks,"Local Park, Hammersmith And Fulham, Greater London",Hammersmith And Fulham Town,Hammersmith And Fulham,Greater London,SW1A 1AA
True,,108,Hammersmith And Fulham Community Garden 8,Pick Your Own Farm,herbs,tree-fruits,51.487,-0.2052,Local food growing project in Hammersmith And Fulham.,A community project in Hammersmith And Fulham growing seasonal produce available for local residents.,5;6;7;8,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"apples, pears",50,0,0,,hammersmithandfulham.garden.food,Spring/Summer,,https://www.hammersmithandfulham.gov.uk/parks,"Local Park, Hammersmith And Fulham, Greater London",Hammersmith And Fulham Town,Hammersmith And Fulham,Greater London,SW1A 1AA
True,,109,Hammersmith And Fulham Community Garden 9,Community Orchard,vegetables,hedgerow-fruit,51.483,-0.1842,Local food growing project in Hammersmith And Fulham.,A community project in Hammersmith And Fulham growing seasonal produce available for local residents.,5;6;7;8,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,blackberries,45,0,0,,hammersmithandfulham.garden.food,Spring/Summer,,https://www.hammersmithandfulham.gov.uk/parks,"Local Park, Hammersmith And Fulham, Greater London",Hammersmith And Fulham Town,Hammersmith And Fulham,Greater London,SW1A 1AA
True,,110,Hammersmith And Fulham Community Garden 10,Community Orchard,fruits,hedgerow-fruit,51.4864,-0.184,Local food growing project in Hammersmith And Fulham.,A community project in Hammersmith And Fulham growing seasonal produce available for local residents.,5;6;7;8,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,blackberries,22,0,0,,hammersmithandfulham.garden.food,Spring/Summer,,https://www.hammersmithandfulham.gov.uk/parks,"Local Park, Hammersmith And Fulham, Greater London",Hammersmith And Fulham Town,Hammersmith And Fulham,Greater London,SW1A 1AA
