approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,5,Green Gate Common Orchard,Community Orchard,fruits,tree-fruits,51.5799,-0.0853,Public orchard on Haringey common.,"Heritage fruit trees open to the public, planted by the London Orchard Project on this small common in Haringey.",8;9;10,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"apples, pears",18,0,0,,gate.green.common,Autumn,,https://www.haringey.gov.uk/parks,Green Gate,Tottenham,Haringey,Greater London,N15 3LB
True,,21,Highgate Wood Hazelnuts,Wild Foraging,nuts,woodland-nuts,51.5771,-0.1455,Ancient woodland nut foraging.,"The ancient oak woodland of Highgate Wood contains hazel coppice and some sweet chestnut, providing a modest nut harvest in early autumn.",9;10,https://images.unsplash.com/photo-1507750545-0909477b819e?w=512&q=80,"hazelnuts, chestnuts",37,0,0,,highgate.hazel.wood,Autumn,,https://www.cityoflondon.gov.uk/highgate-wood,Muswell Hill Road,Highgate,Haringey,Greater London,N6 5HQ
True,,33,Alexandra Palace & Park Blackberries,Wild Foraging,fruits,berries,51.5937,-0.1284,Brambles on palace woodland slopes.,"The wilder wooded slopes and perimeter hedges of Alexandra Park hold good patches of blackberries in late summer, away from the busier park areas.",8;9,https://images.unsplash.com/photo-1464306208223-e0b4495a5553?w=512&q=80,blackberries,44,0,0,,ally.pally.bramble,Summer,,https://www.alexandrapalace.com,Alexandra Palace Way,Wood Green,Haringey,Greater London,N22 7AY
True,,53,Downhills Park Orchard,Community Orchard,fruits,tree-fruits,51.5897,-0.0942,Community orchard in Haringey park.,An established community orchard in Downhills Park with apple and pear trees open to the public. Haringey Council supports the site.,8;9;10,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"apples, pears",17,0,0,,downhills.park.orchard,Autumn,,https://www.haringey.gov.uk/parks,Philip Lane,Tottenham,Haringey,Greater London,N15 4HH
True,,5,Downhills Park Orchard,Community Orchard,fruits,tree-fruits,51.5897,-0.0942,Community orchard in Haringey park.,An established community orchard in Downhills Park with apple and pear trees open to the public. Haringey Council supports the site.,8;9;10,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"apples, pears",17,0,0,,downhills.park.orchard,Autumn,,https://www.haringey.gov.uk/parks,"Philip Lane, Tottenham",London,Haringey,Greater London,N15 4HH
True,,6,Haringey Community Garden 1,Community Garden,vegetables,wild-greens,51.5624,-0.1224,Local food growing project in Haringey.,A community project in Haringey growing seasonal produce available for local residents.,4;5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"apples, pears",14,0,0,,haringey.garden.42,Spring/Summer,,https://www.haringey.gov.uk/parks,"Local Park, Haringey, Greater London",London,Haringey,Greater London,SW1A 1AA
True,,7,Haringey Community Garden 2,Community Orchard,nuts,street-planters,51.5799,-0.133,Local food growing project in Haringey.,A community project in Haringey growing seasonal produce available for local residents.,4;5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,elderberries,21,0,0,,haringey.garden.35,Spring/Summer,,https://www.haringey.gov.uk/parks,"Local Park, Haringey, Greater London",London,Haringey,Greater London,SW1A 1AA
True,,8,Haringey Community Garden 3,Wild Foraging,vegetables,street-planters,51.5832,-0.1297,Local food growing project in Haringey.,A community project in Haringey growing seasonal produce available for local residents.,4;5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"apples, pears",19,0,0,,haringey.garden.10,Spring/Summer,,https://www.haringey.gov.uk/parks,"Local Park, Haringey, Greater London",London,Haringey,Greater London,SW1A 1AA
True,,9,Haringey Community Garden 4,Community Garden,nuts,community-garden,51.5556,-0.1013,Local food growing project in Haringey.,A community project in Haringey growing seasonal produce available for local residents.,4;5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,elderberries,16,0,0,,haringey.garden.12,Spring/Summer,,https://www.haringey.gov.uk/parks,"Local Park, Haringey, Greater London",London,Haringey,Greater London,SW1A 1AA
True,,10,Haringey Community Garden 5,Community Garden,fruits,community-garden,51.5816,-0.1394,Local food growing project in Haringey.,A community project in Haringey growing seasonal produce available for local residents.,4;5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,wild garlic,26,0,0,,haringey.garden.96,Spring/Summer,,https://www.haringey.gov.uk/parks,"Local Park, Haringey, Greater London",London,Haringey,Greater London,SW1A 1AA
