approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,1,Havering Community Garden 1,Wild Foraging,vegetables,tree-fruits,51.5621,0.1335,Local food growing project in Havering.,A community project in Havering growing seasonal produce available for local residents.,4;5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"apples, pears",17,0,0,,havering.garden.69,Spring/Summer,,https://www.havering.gov.uk/parks,"Local Park, Havering, Greater London",London,Havering,Greater London,SW1A 1AA
True,,2,Havering Community Garden 2,Community Orchard,fruits,wild-greens,51.5825,0.1436,Local food growing project in Havering.,A community project in Havering growing seasonal produce available for local residents.,4;5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,wild garlic,22,0,0,,havering.garden.43,Spring/Summer,,https://www.havering.gov.uk/parks,"Local Park, Havering, Greater London",London,Havering,Greater London,SW1A 1AA
True,,3,Havering Community Garden 3,Wild Foraging,fruits,hedgerow-fruit,51.5881,0.1366,Local food growing project in Havering.,A community project in Havering growing seasonal produce available for local residents.,4;5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,blackberries,7,0,0,,havering.garden.1,Spring/Summer,,https://www.havering.gov.uk/parks,"Local Park, Havering, Greater London",London,Havering,Greater London,SW1A 1AA
True,,4,Havering Community Garden 4,Community Orchard,fruits,wild-greens,51.5726,0.1479,Local food growing project in Havering.,A community project in Havering growing seasonal produce available for local residents.,4;5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,herbs,30,0,0,,havering.garden.3,Spring/Summer,,https://www.havering.gov.uk/parks,"Local Park, Havering, Greater London",London,Havering,Greater London,SW1A 1AA
True,,5,Havering Community Garden 5,Wild Foraging,vegetables,community-garden,51.5717,0.1472,Local food growing project in Havering.,A community project in Havering growing seasonal produce available for local residents.,4;5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"apples, pears",29,0,0,,havering.garden.40,Spring/Summer,,https://www.havering.gov.uk/parks,"Local Park, Havering, Greater London",London,Havering,Greater London,SW1A 1AA
True,,6,Havering Community Garden 6,Community Orchard,nuts,hedgerow-fruit,51.5737,0.1621,Local food growing project in Havering.,A community project in Havering growing seasonal produce available for local residents.,4;5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,elderberries,30,0,0,,havering.garden.41,Spring/Summer,,https://www.havering.gov.uk/parks,"Local Park, Havering, Greater London",London,Havering,Greater London,SW1A 1AA
True,,7,Havering Community Garden 7,Community Garden,nuts,community-garden,51.5605,0.1657,Local food growing project in Havering.,A community project in Havering growing seasonal produce available for local residents.,4;5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,vegetables,22,0,0,,havering.garden.82,Spring/Summer,,https://www.havering.gov.uk/parks,"Local Park, Havering, Greater London",London,Havering,Greater London,SW1A 1AA
True,,8,Havering Community Garden 8,Wild Foraging,nuts,community-garden,51.5919,0.1539,Local food growing project in Havering.,A community project in Havering growing seasonal produce available for local residents.,4;5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,wild garlic,21,0,0,,havering.garden.5,Spring/Summer,,https://www.havering.gov.uk/parks,"Local Park, Havering, Greater London",London,Havering,Greater London,SW1A 1AA
True,,9,Havering Community Garden 9,Community Garden,fruits,community-garden,51.5939,0.1558,Local food growing project in Havering.,A community project in Havering growing seasonal produce available for local residents.,4;5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,vegetables,13,0,0,,havering.garden.22,Spring/Summer,,https://www.havering.gov.uk/parks,"Local Park, Havering, Greater London",London,Havering,Greater London,SW1A 1AA
True,,10,Havering Community Garden 10,Community Orchard,nuts,community-garden,51.5734,0.1522,Local food growing project in Havering.,A community project in Havering growing seasonal produce available for local residents.,4;5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,blackberries,23,0,0,,havering.garden.100,Spring/Summer,,https://www.havering.gov.uk/parks,"Local Park, Havering, Greater London",London,Havering,Greater London,SW1A 1AA
