approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,1,Hillingdon Community Garden 1,Community Orchard,nuts,street-planters,51.4934,-0.4424,Local food growing project in Hillingdon.,A community project in Hillingdon growing seasonal produce available for local residents.,4;5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"apples, pears",16,0,0,,hillingdon.garden.30,Spring/Summer,,https://www.hillingdon.gov.uk/parks,"Local Park, Hillingdon, Greater London",London,Hillingdon,Greater London,SW1A 1AA
True,,2,Hillingdon Community Garden 2,Community Orchard,nuts,street-planters,51.4962,-0.43,Local food growing project in Hillingdon.,A community project in Hillingdon growing seasonal produce available for local residents.,4;5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,blackberries,29,0,0,,hillingdon.garden.81,Spring/Summer,,https://www.hillingdon.gov.uk/parks,"Local Park, Hillingdon, Greater London",London,Hillingdon,Greater London,SW1A 1AA
True,,3,Hillingdon Community Garden 3,Community Orchard,fruits,hedgerow-fruit,51.5088,-0.4282,Local food growing project in Hillingdon.,A community project in Hillingdon growing seasonal produce available for local residents.,4;5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,blackberries,17,0,0,,hillingdon.garden.97,Spring/Summer,,https://www.hillingdon.gov.uk/parks,"Local Park, Hillingdon, Greater London",London,Hillingdon,Greater London,SW1A 1AA
True,,4,Hillingdon Community Garden 4,Wild Foraging,fruits,tree-fruits,51.4985,-0.4496,Local food growing project in Hillingdon.,A community project in Hillingdon growing seasonal produce available for local residents.,4;5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,wild garlic,30,0,0,,hillingdon.garden.46,Spring/Summer,,https://www.hillingdon.gov.uk/parks,"Local Park, Hillingdon, Greater London",London,Hillingdon,Greater London,SW1A 1AA
True,,5,Hillingdon Community Garden 5,Community Garden,vegetables,tree-fruits,51.5074,-0.4118,Local food growing project in Hillingdon.,A community project in Hillingdon growing seasonal produce available for local residents.,4;5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"apples, pears",24,0,0,,hillingdon.garden.9,Spring/Summer,,https://www.hillingdon.gov.uk/parks,"Local Park, Hillingdon, Greater London",London,Hillingdon,Greater London,SW1A 1AA
True,,6,Hillingdon Community Garden 6,Community Orchard,vegetables,tree-fruits,51.5004,-0.4217,Local food growing project in Hillingdon.,A community project in Hillingdon growing seasonal produce available for local residents.,4;5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,elderberries,17,0,0,,hillingdon.garden.10,Spring/Summer,,https://www.hillingdon.gov.uk/parks,"Local Park, Hillingdon, Greater London",London,Hillingdon,Greater London,SW1A 1AA
True,,7,Hillingdon Community Garden 7,Community Orchard,vegetables,street-planters,51.5019,-0.4246,Local food growing project in Hillingdon.,A community project in Hillingdon growing seasonal produce available for local residents.,4;5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,blackberries,6,0,0,,hillingdon.garden.97,Spring/Summer,,https://www.hillingdon.gov.uk/parks,"Local Park, Hillingdon, Greater London",London,Hillingdon,Greater London,SW1A 1AA
True,,8,Hillingdon Community Garden 8,Community Orchard,nuts,wild-greens,51.5025,-0.4334,Local food growing project in Hillingdon.,A community project in Hillingdon growing seasonal produce available for local residents.,4;5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,blackberries,7,0,0,,hillingdon.garden.92,Spring/Summer,,https://www.hillingdon.gov.uk/parks,"Local Park, Hillingdon, Greater London",London,Hillingdon,Greater London,SW1A 1AA
True,,9,Hillingdon Community Garden 9,Community Garden,fruits,tree-fruits,51.5148,-0.4442,Local food growing project in Hillingdon.,A community project in Hillingdon growing seasonal produce available for local residents.,4;5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,vegetables,6,0,0,,hillingdon.garden.98,Spring/Summer,,https://www.hillingdon.gov.uk/parks,"Local Park, Hillingdon, Greater London",London,Hillingdon,Greater London,SW1A 1AA
True,,10,Hillingdon Community Garden 10,Community Orchard,nuts,street-planters,51.5007,-0.4285,Local food growing project in Hillingdon.,A community project in Hillingdon growing seasonal produce available for local residents.,4;5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,blackberries,16,0,0,,hillingdon.garden.17,Spring/Summer,,https://www.hillingdon.gov.uk/parks,"Local Park, Hillingdon, Greater London",London,Hillingdon,Greater London,SW1A 1AA
