approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,2,Caledonian Park Community Orchard,Community Orchard,fruits,tree-fruits,51.5403,-0.1168,Heritage orchard in north London park.,"A community orchard planted by the London Orchard Project, featuring a mix of heritage apple and pear varieties in a Victorian park setting.",8;9;10,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"apples, pears",35,0,0,,orchard.victorian.park,Autumn,,https://www.islington.gov.uk/parks,Market Road,Islington,Islington,Greater London,N7 9PL
True,,9,Olden Gardens Orchard,Community Orchard,fruits,tree-fruits,51.5521,-0.1378,2-acre railway embankment orchard.,"A beautiful orchard of apples, pears, plum, quince and apricot trees on a railway embankment, part of a 2-acre community garden.",7;8;9;10,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"apples, pears, plum, quince, apricot",27,0,0,,embankment.quince.fruit,Summer/Autumn,,https://www.islington.gov.uk,Olden Gardens,Holloway,Islington,Greater London,N7 6QT
True,,103,Islington Community Garden 3,Pick Your Own Farm,nuts,woodland-nuts,51.5304,-0.0804,Local food growing project in Islington.,A community project in Islington growing seasonal produce available for local residents.,5;6;7;8,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,herbs,50,0,0,,islington.garden.food,Spring/Summer,,https://www.islington.gov.uk/parks,"Local Park, Islington, Greater London",Islington Town,Islington,Greater London,SW1A 1AA
True,,104,Islington Community Garden 4,Community Garden,fruits,hedgerow-fruit,51.5318,-0.1162,Local food growing project in Islington.,A community project in Islington growing seasonal produce available for local residents.,3;4;5,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,blackberries,42,0,0,,islington.garden.food,Spring,,https://www.islington.gov.uk/parks,"Local Park, Islington, Greater London",Islington Town,Islington,Greater London,SW1A 1AA
True,,105,Islington Community Garden 5,Wild Foraging,herbs,woodland-nuts,51.5475,-0.0927,Local food growing project in Islington.,A community project in Islington growing seasonal produce available for local residents.,9;10,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,wild garlic,43,0,0,,islington.garden.food,Autumn,,https://www.islington.gov.uk/parks,"Local Park, Islington, Greater London",Islington Town,Islington,Greater London,SW1A 1AA
True,,106,Islington Community Garden 6,Community Garden,nuts,hedgerow-fruit,51.5497,-0.1126,Local food growing project in Islington.,A community project in Islington growing seasonal produce available for local residents.,6;7;8,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,herbs,17,0,0,,islington.garden.food,Summer,,https://www.islington.gov.uk/parks,"Local Park, Islington, Greater London",Islington Town,Islington,Greater London,SW1A 1AA
True,,107,Islington Community Garden 7,Wild Foraging,herbs,wild-greens,51.5347,-0.1133,Local food growing project in Islington.,A community project in Islington growing seasonal produce available for local residents.,3;4;5,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,blackberries,39,0,0,,islington.garden.food,Spring,,https://www.islington.gov.uk/parks,"Local Park, Islington, Greater London",Islington Town,Islington,Greater London,SW1A 1AA
True,,108,Islington Community Garden 8,Pick Your Own Farm,vegetables,hedgerow-fruit,51.539,-0.1098,Local food growing project in Islington.,A community project in Islington growing seasonal produce available for local residents.,1;2;3;4;5;6;7;8;9;10;11;12,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,elderberries,4,0,0,,islington.garden.food,Year-round,,https://www.islington.gov.uk/parks,"Local Park, Islington, Greater London",Islington Town,Islington,Greater London,SW1A 1AA
True,,109,Islington Community Garden 9,Community Garden,herbs,wild-greens,51.5349,-0.1186,Local food growing project in Islington.,A community project in Islington growing seasonal produce available for local residents.,3;4;5,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,cherries,44,0,0,,islington.garden.food,Spring,,https://www.islington.gov.uk/parks,"Local Park, Islington, Greater London",Islington Town,Islington,Greater London,SW1A 1AA
True,,110,Islington Community Garden 10,Pick Your Own Farm,nuts,wild-greens,51.5393,-0.1026,Local food growing project in Islington.,A community project in Islington growing seasonal produce available for local residents.,1;2;3;4;5;6;7;8;9;10;11;12,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,cherries,7,0,0,,islington.garden.food,Year-round,,https://www.islington.gov.uk/parks,"Local Park, Islington, Greater London",Islington Town,Islington,Greater London,SW1A 1AA
True,,4,Olden Gardens Orchard,Community Orchard,fruits,tree-fruits,51.5521,-0.1378,2-acre railway embankment orchard.,"A beautiful orchard of apples, pears, plum, quince and apricot trees on a railway embankment, part of a 2-acre community garden.",7;8;9;10,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"apples, pears, plum, quince, apricot",27,0,0,,embankment.quince.fruit,Summer/Autumn,,https://www.islington.gov.uk,"Olden Gardens, Holloway",London,Islington,Greater London,N7 6QT
