approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,1,Kensington And Chelsea Community Garden 1,Community Orchard,nuts,wild-greens,51.5014,-0.1965,Local food growing project in Kensington And Chelsea.,A community project in Kensington And Chelsea growing seasonal produce available for local residents.,4;5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,elderberries,17,0,0,,kensingtonandchelsea.garden.56,Spring/Summer,,https://www.kensingtonandchelsea.gov.uk/parks,"Local Park, Kensington And Chelsea, Greater London",London,Kensington And Chelsea,Greater London,SW1A 1AA
True,,2,Kensington And Chelsea Community Garden 2,Community Garden,fruits,street-planters,51.4825,-0.2046,Local food growing project in Kensington And Chelsea.,A community project in Kensington And Chelsea growing seasonal produce available for local residents.,4;5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,blackberries,28,0,0,,kensingtonandchelsea.garden.95,Spring/Summer,,https://www.kensingtonandchelsea.gov.uk/parks,"Local Park, Kensington And Chelsea, Greater London",London,Kensington And Chelsea,Greater London,SW1A 1AA
True,,3,Kensington And Chelsea Community Garden 3,Wild Foraging,vegetables,community-garden,51.5088,-0.1816,Local food growing project in Kensington And Chelsea.,A community project in Kensington And Chelsea growing seasonal produce available for local residents.,4;5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"apples, pears",10,0,0,,kensingtonandchelsea.garden.67,Spring/Summer,,https://www.kensingtonandchelsea.gov.uk/parks,"Local Park, Kensington And Chelsea, Greater London",London,Kensington And Chelsea,Greater London,SW1A 1AA
True,,4,Kensington And Chelsea Community Garden 4,Community Garden,fruits,street-planters,51.493,-0.1893,Local food growing project in Kensington And Chelsea.,A community project in Kensington And Chelsea growing seasonal produce available for local residents.,4;5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,elderberries,8,0,0,,kensingtonandchelsea.garden.70,Spring/Summer,,https://www.kensingtonandchelsea.gov.uk/parks,"Local Park, Kensington And Chelsea, Greater London",London,Kensington And Chelsea,Greater London,SW1A 1AA
True,,5,Kensington And Chelsea Community Garden 5,Community Garden,vegetables,tree-fruits,51.5091,-0.201,Local food growing project in Kensington And Chelsea.,A community project in Kensington And Chelsea growing seasonal produce available for local residents.,4;5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,wild garlic,21,0,0,,kensingtonandchelsea.garden.32,Spring/Summer,,https://www.kensingtonandchelsea.gov.uk/parks,"Local Park, Kensington And Chelsea, Greater London",London,Kensington And Chelsea,Greater London,SW1A 1AA
True,,6,Kensington And Chelsea Community Garden 6,Wild Foraging,fruits,hedgerow-fruit,51.4881,-0.1971,Local food growing project in Kensington And Chelsea.,A community project in Kensington And Chelsea growing seasonal produce available for local residents.,4;5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"apples, pears",11,0,0,,kensingtonandchelsea.garden.65,Spring/Summer,,https://www.kensingtonandchelsea.gov.uk/parks,"Local Park, Kensington And Chelsea, Greater London",London,Kensington And Chelsea,Greater London,SW1A 1AA
True,,7,Kensington And Chelsea Community Garden 7,Community Orchard,fruits,street-planters,51.488,-0.1702,Local food growing project in Kensington And Chelsea.,A community project in Kensington And Chelsea growing seasonal produce available for local residents.,4;5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,elderberries,12,0,0,,kensingtonandchelsea.garden.11,Spring/Summer,,https://www.kensingtonandchelsea.gov.uk/parks,"Local Park, Kensington And Chelsea, Greater London",London,Kensington And Chelsea,Greater London,SW1A 1AA
True,,8,Kensington And Chelsea Community Garden 8,Community Garden,nuts,wild-greens,51.504,-0.2067,Local food growing project in Kensington And Chelsea.,A community project in Kensington And Chelsea growing seasonal produce available for local residents.,4;5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,elderberries,9,0,0,,kensingtonandchelsea.garden.62,Spring/Summer,,https://www.kensingtonandchelsea.gov.uk/parks,"Local Park, Kensington And Chelsea, Greater London",London,Kensington And Chelsea,Greater London,SW1A 1AA
True,,9,Kensington And Chelsea Community Garden 9,Community Orchard,vegetables,hedgerow-fruit,51.4997,-0.1941,Local food growing project in Kensington And Chelsea.,A community project in Kensington And Chelsea growing seasonal produce available for local residents.,4;5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,blackberries,15,0,0,,kensingtonandchelsea.garden.51,Spring/Summer,,https://www.kensingtonandchelsea.gov.uk/parks,"Local Park, Kensington And Chelsea, Greater London",London,Kensington And Chelsea,Greater London,SW1A 1AA
True,,10,Kensington And Chelsea Community Garden 10,Community Orchard,nuts,tree-fruits,51.5166,-0.1764,Local food growing project in Kensington And Chelsea.,A community project in Kensington And Chelsea growing seasonal produce available for local residents.,4;5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,elderberries,24,0,0,,kensingtonandchelsea.garden.64,Spring/Summer,,https://www.kensingtonandchelsea.gov.uk/parks,"Local Park, Kensington And Chelsea, Greater London",London,Kensington And Chelsea,Greater London,SW1A 1AA
