approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,1,Kingston Upon Thames Community Garden 1,Community Garden,fruits,street-planters,51.3937,-0.2766,Local food growing project in Kingston Upon Thames.,A community project in Kingston Upon Thames growing seasonal produce available for local residents.,4;5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,blackberries,16,0,0,,kingstonuponthames.garden.86,Spring/Summer,,https://www.kingstonuponthames.gov.uk/parks,"Local Park, Kingston Upon Thames, Greater London",London,Kingston Upon Thames,Greater London,SW1A 1AA
True,,2,Kingston Upon Thames Community Garden 2,Community Orchard,vegetables,street-planters,51.4142,-0.2874,Local food growing project in Kingston Upon Thames.,A community project in Kingston Upon Thames growing seasonal produce available for local residents.,4;5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,herbs,10,0,0,,kingstonuponthames.garden.49,Spring/Summer,,https://www.kingstonuponthames.gov.uk/parks,"Local Park, Kingston Upon Thames, Greater London",London,Kingston Upon Thames,Greater London,SW1A 1AA
True,,3,Kingston Upon Thames Community Garden 3,Wild Foraging,vegetables,hedgerow-fruit,51.4191,-0.2975,Local food growing project in Kingston Upon Thames.,A community project in Kingston Upon Thames growing seasonal produce available for local residents.,4;5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,wild garlic,10,0,0,,kingstonuponthames.garden.72,Spring/Summer,,https://www.kingstonuponthames.gov.uk/parks,"Local Park, Kingston Upon Thames, Greater London",London,Kingston Upon Thames,Greater London,SW1A 1AA
True,,4,Kingston Upon Thames Community Garden 4,Wild Foraging,fruits,street-planters,51.3951,-0.2972,Local food growing project in Kingston Upon Thames.,A community project in Kingston Upon Thames growing seasonal produce available for local residents.,4;5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,elderberries,24,0,0,,kingstonuponthames.garden.42,Spring/Summer,,https://www.kingstonuponthames.gov.uk/parks,"Local Park, Kingston Upon Thames, Greater London",London,Kingston Upon Thames,Greater London,SW1A 1AA
True,,5,Kingston Upon Thames Community Garden 5,Community Garden,vegetables,street-planters,51.3822,-0.2848,Local food growing project in Kingston Upon Thames.,A community project in Kingston Upon Thames growing seasonal produce available for local residents.,4;5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"apples, pears",19,0,0,,kingstonuponthames.garden.74,Spring/Summer,,https://www.kingstonuponthames.gov.uk/parks,"Local Park, Kingston Upon Thames, Greater London",London,Kingston Upon Thames,Greater London,SW1A 1AA
True,,6,Kingston Upon Thames Community Garden 6,Community Orchard,nuts,community-garden,51.4106,-0.2717,Local food growing project in Kingston Upon Thames.,A community project in Kingston Upon Thames growing seasonal produce available for local residents.,4;5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,wild garlic,19,0,0,,kingstonuponthames.garden.73,Spring/Summer,,https://www.kingstonuponthames.gov.uk/parks,"Local Park, Kingston Upon Thames, Greater London",London,Kingston Upon Thames,Greater London,SW1A 1AA
True,,7,Kingston Upon Thames Community Garden 7,Community Garden,vegetables,hedgerow-fruit,51.4029,-0.2901,Local food growing project in Kingston Upon Thames.,A community project in Kingston Upon Thames growing seasonal produce available for local residents.,4;5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,elderberries,13,0,0,,kingstonuponthames.garden.44,Spring/Summer,,https://www.kingstonuponthames.gov.uk/parks,"Local Park, Kingston Upon Thames, Greater London",London,Kingston Upon Thames,Greater London,SW1A 1AA
True,,8,Kingston Upon Thames Community Garden 8,Community Orchard,vegetables,community-garden,51.4182,-0.2927,Local food growing project in Kingston Upon Thames.,A community project in Kingston Upon Thames growing seasonal produce available for local residents.,4;5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,vegetables,9,0,0,,kingstonuponthames.garden.62,Spring/Summer,,https://www.kingstonuponthames.gov.uk/parks,"Local Park, Kingston Upon Thames, Greater London",London,Kingston Upon Thames,Greater London,SW1A 1AA
True,,9,Kingston Upon Thames Community Garden 9,Community Garden,fruits,street-planters,51.4014,-0.2812,Local food growing project in Kingston Upon Thames.,A community project in Kingston Upon Thames growing seasonal produce available for local residents.,4;5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,wild garlic,12,0,0,,kingstonuponthames.garden.77,Spring/Summer,,https://www.kingstonuponthames.gov.uk/parks,"Local Park, Kingston Upon Thames, Greater London",London,Kingston Upon Thames,Greater London,SW1A 1AA
True,,10,Kingston Upon Thames Community Garden 10,Community Garden,vegetables,hedgerow-fruit,51.4146,-0.2815,Local food growing project in Kingston Upon Thames.,A community project in Kingston Upon Thames growing seasonal produce available for local residents.,4;5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"apples, pears",15,0,0,,kingstonuponthames.garden.94,Spring/Summer,,https://www.kingstonuponthames.gov.uk/parks,"Local Park, Kingston Upon Thames, Greater London",London,Kingston Upon Thames,Greater London,SW1A 1AA
